cleaned_text	lemm_text
Робер и Раймон Аким представляют	робер раймона аким представлять
Ален Делон	ален делоно
Моника Витти	моника витти
ЗАТМЕНИЕ	затмение
Фильм Микеланджело Антониони	фильм микеланджело антониони
В ролях: Франсиско Рабаль	в роль франсиско рабаля
Лила Бриньоне, Россана Рори, Мирелла Риккьярди, Луи Сенье	лила бриньон россан рорь мирелла риккьярди луи сение
Авторы сценария Микеланджело Антониони и Тонино Гуэрра	автор сценарий микеланджело антониони тонино гуэрра
При участии Элио Бартолини и Оттьеро Оттьери	при участие элио бартолинь оттьеро оттьерь
Композитор Джованни Фуско	композитор джованни фуско
Оператор Джанни ди Венанцо	оператор джанни ди венанцо
Художник-постановщик Пьеро Полетто	художникпостановщик пьеро полетто
Производство «Интеропа Филм» - « Чинериц», Рим	производство «интероп филм» « чинериц» рим
и «Пари Фильм Продюксьон», Париж	«пари фильм продюксьон» париж
Продюсеры Робер и Раймон Аким	продюсер робер раймона аким
Режиссер Микеланджело Антониони	режиссёр микеланджело антониони
- Так что, Риккардо? - Ты о чем?	так что риккардо ты чем
О том, о чем мы говорили всю ночь.	о тот говорить ночь
Да. Давай решать.	да давать решать
Я уже решила.	я решить
Да?	да
- Я ухожу, Риккардо. - Идешь гулять в такое время?	я уходить риккардо идти гулять такой время
В последний раз.	в последний раз
- Нет, Риккардо, прошу, не надо. - А что мне делать?	нет риккардо просить надо а делать
Скажи, что мне сделать, и я сделаю это. Обещаю.	сказать сделать сделать это обещать
Я сделаю все, что ты скажешь.	я сделать весь сказать
Только скажи, что, - и я исполню это до твоего прихода.	только сказать что исполнить это твой приход
Я хотел сделать тебя счастливой.	я хотеть сделать счастливый
Когда мы встретились, мне было 20.	когда встретиться 20
Тогда я была счастлива.	тогда счастливый
Послушай.	послушать
Вчера я принесла тебе перевод немецкой статьи.	вчера принести ты перевод немецкий статья
Прости, я не могу больше этим заниматься.	простить мочь это заниматься
Но я знаю, кто может тебе помочь.	но знать ты помочь
Я попрошу их, если хочешь.	я попросить они хотеть
Мне кажется, я больше не должна это делать.	я кажется должный это делать
Но если ты настаиваешь, я продолжу.	но настаивать продолжить
Больше ничего не скажешь?	большой сказать
- Я ухожу. - Подожди!	я уходить подождать
- Чего мне еще ждать? - Подожди, пожалуйста.	что ждать подождать пожалуйста
Мы избегали некоторых тем. Зачем сейчас их затрагивать?	мы избегать некоторый тем зачем затрагивать
Нет.	нет
Кое-что ты не могла мне сказать. Ты ведь не жестока.	коечто мочь сказать ты жестокий
К тебе я жестока.	к ты жестокий
Пусть так, Виттория, но это неважно.	пусть так виттория это неважно
Скажи одно: ты меня не любишь?	сказать один любить
Ты не хочешь выйти за меня замуж?	ты хотеть выйти замуж
Не знаю.	не знать
Когда ты разлюбила меня?	когда разлюбить я
Не знаю.	не знать
Ты уверена?	ты уверить
Да.	да
Но ведь должна быть причина, какая-то причина. Я могу ее понять.	но должный причина какаять причина я мочь понять
Я не знаю причины.	я знать причина
- Я хотел... - Сделать меня счастливой.	я хотеть сделать счастливый
Но с тобой я не стала счастливее.	но ты стать счастливый
Нет, пожалуйста, не начинай.	нет пожалуйста начинать
- У тебя появился другой? - Нет.	у появиться другой нет
Нет, я ведь сто раз тебе говорила.	нет сто ты говорить
Я могу позвонить тебе?	я мочь позвонить ты
Нет.	нет
Я подумал... Извини, я не предложил проводить тебя.	я подумать извинить предложить проводить ты
Риккардо, я пойду одна.	риккардо пойти один
Пешком? Я пойду с тобой.	пешком я пойти ты
- Зачем ты меня провожаешь? - Я же всегда тебя провожал.	зачем провожать я провожать
Виттория, мы ведь никогда не выходили по утрам.	виттория выходить утро
Так рано.	так рано
Открыто! Может, позавтракаем?	открыто мочь позавтракать
Я не голодна, Риккардо.	я голодный риккардо
Не голодна.	не голодный
Для меня это тоже была ужасная ночь.	для это ужасный ночь
Прости.	простить
До свидания. Хотя нет.	до свидание хотя нет
Мы ведь будем созваниваться? Или нет?	мы быть созваниваться или нет
Не будем?	не быть
Береги себя.	беречь себя
Ты совершенно прав.	ты совершенно право
Синьорина. Синьорина.	синьорина синьорина
Мама!	мама
Да.	да
 - Сколько дашь?	сколько дать
10 тысяч? Идет.	10 тысяча идти
Нет-нет, «Фиат» подскочил в цене с 2930 до 3053.	нетнуть «фиат» подскочить цена 2930 3053
Простите, синьорина, у вас есть какая-то информация?	простить синьорина какаять информация
Минутку.	минутка
Я только что узнал, что акции «Финсидера» поднимутся. Купи мне пока 50 тысяч.	я узнать акция «финсидера» подняться купить пока 50 тысяча
- Хорошо. - Договорились.	хорошо договориться
Куплю 20 тысяч акций «Финсидера» по 20!	купить 20 тысяча акция «финсидера» 20
Я продам 5 тысяч!	я продать 5 тысяча
Продаю 5 тысяч!	продавать 5 тысяча
Куплю 30 тысяч акций «Финсидера» по 20!	купить 30 тысяча акция «финсидера» 20
Плачу по 40!	плач 40
Да.	да
Плачу по 40!	плач 40
- Что ты творишь? - Просто верь мне.	что творить просто верить я
Плачу по 60!	плач 60
Плачу по 60!	плач 60
Плачу по 70!	плач 70
Продаю 20 тысяч по 70!	продавать 20 тысяча 70
Пьеро!	пьеро
- 4 миллиона! - Браво!	4 миллион бравый
Пульетти! Впустите меня?	пульетти впустить я
В последний раз.	в последний раз
Мама.	мама
Как ты тут оказалась?	как оказаться
Мама...	мама
Думаешь, надо покупать?	думать покупать
- Собираюсь покупать. - Кто бы знал?	собираться покупать кто знать
Я успел взять «Финсидер» за 20.	я успеть взять «финсидер» 20
- У меня их 2000. - Придержите их. Они еще поднимутся.	у 2000 придержать они они подняться
Ты меня не знаешь, но я тебя знаю. Как дела?	ты знаешь знать как дело
Должен сообщить печальную новость.	должный сообщить печальный новость
Наш коллега, синьор Пьетроцци Доменико, скончался сегодня от сердечного приступа.	наш коллега синьор пьетроцци доменико скончаться сегодня сердечный приступ
Чувства переполняют меня,	чувство переполнять я
я не могу найти подходящих слов.	мочь найти подходящий слово
Прошу вас почтить его память минутой молчания.	просить почтить память минута молчание
- Так делают в честь футболистов. - Вы его знали?	так делать честь футболист вы знать
Конечно. Но здесь одна минута стоит миллиарды!	конечно но один минута стоить миллиард
Куда ты?	куда ты
- Подожди на улице, я скоро выйду. - Хорошо.	подождать улица скоро выйти хорошо
Знаешь, сколько я сегодня заработала?	знаешь сколько сегодня заработать
- Мама, я должна тебе сказать... - Дорогая, подожди минутку, не сейчас.	мама должный ты сказать дорогой подождать минутка сейчас
Груши сладкие? Очень сладкие? Взвесьте килограмм.	груша сладкое очень сладкое взвесить килограмм
- Килограмм 20 грамм. 1 90 лир. - И еще за 20 грамм платить?	килограмм 20 грамм 1 90 лира и 20 грамм платить
- Идем, не спорь из-за 20-ти грамм. - Помни: без лиры лимона не будет.	идти спорить изз 20ть грамм помнить лира лимон быть
Знаю.	знать
Держите. Спасибо.	держать спасибо
Ты позавтракаешь с Риккардо?	ты позавтракать риккардо
Да, с Риккардо.	да риккардо
Пока, Ви.	пока ви
Пока!	пока
- Извини, это я. - Что случилось, Анетта?	извинить это я что случиться анетта
Со мной - ничего, но молоток стучал так громко, что Джорджио проснулся	с я ничто молоток стучать громко джорджио проснуться
и начал жаловаться, типа твои друзья засиживаются допоздна.	начать жаловаться тип твой друг засиживаться допоздна
Извини. Проходи.	извинить проходить
А завтра он должен улетать.	а завтра должный улетать
Он уже 3 дня твердит о своем самолете.	он 3 день твердить свой самолёт
Я так поправилась! Не могу отказаться от сладостей.	я поправиться не мочь отказаться сладость
А ты похудела. Как тебе это удается?	а похуделый как ты это удаваться
Это от переживаний.	это переживание
Прошлой ночью я глаз не сомкнула.	прошлый ночью глаз сомкнуть
- И сейчас спать не хочу. - Снова скандал?	и спать хотеть снова скандал
Да. Мы всю ночь спорили.	да мы ночь спорить
И чего ради?	и ради
Я так устала, так подавлена.	я устать подавить
Разочарована и сбита с толку.	разочаровать сбить толк
Что мне тебе сказать?	что ты сказать
Порой мне все равно, что держать в руках:	порой равно держать рука
иголку с ниткой, книжку или мужчину.	иголка нитка книжка мужчина
Хочешь, я отвечу?	хотеть ответить
Скажи, что меня нет.	сказать нет
Слушаю.	слушать
- Она приглашает составить ей компанию. - Я ее почти не знаю.	она приглашать составить компания я знать
Хорошо. Да, мы придем.	хорошо да прийти
- Добрый вечер. Прошу. - Это Марта.	добрый вечер просить это март
- Здравствуйте. - Сегодня у меня день знакомств.	здравствовать сегодня день знакомство
Проходите.	проходить
- Почему ты еще не спишь? - Когда муж в отъезде, я плохо сплю.	почему спать когда муж отъезд плохо спать
- И потом, эта ужасная жара. - Разве в Кении ты к ней не привыкла?	и потом этот ужасный жара разве кения привыкнуть
Там не так. По-другому. По крайней мере, где я жила.	там так подругий по крайний мера жить
А я наоборот, без мужа лучше сплю.	а наоборот муж спать
Какая большая, удобная кровать!	какой большой удобный кровать
Что это за озеро?	что это озеро
Это возле Найроби. Наиваша. - Наиваша?	это возле найроби наиваша наиваша
А вот еще одно.	а один
Здесь мы жили. У нас там своя ферма. Вон там, слева.	здесь жить у свой ферма вон там слева
- Здесь? - Чуть подальше.	здесь чуть далёкий
- Значит, здесь? - Да.	значит здесь да
Там много тропических птиц и бегемотов.	там тропический птица бегемот
- Бегемоты вас не тревожили? - Нет.	бегемот тревожить нет
Они выходят по ночам и пасутся с коровами.	они выходить ночь пастись корова
Представляете, один бегемот может дочиста объесть целый акр травы.	представлять бегемот дочиста объесть целый акр трава
Нам периодически приходилось убивать одного из них.	мы периодически приходиться убивать один они
- А этого слона ты убила? - Нет, отец. Но я была с ним.	а слон убить нет отец но он
- Ты не боялась? - Нет, я же там родилась.	ты бояться нет родиться
Разве ты боишься машин?	разве бояться машина
Посмотрите эти книги.	посмотреть книга
Это Килиманджаро.	это килиманджаро
Да. «Снега Килиманджаро».	да «снег килиманджаро»
Высота - 6 тысяч метров.	высота 6 тысяча метр
Знаешь, африканские горы необыкновенно красивы. Вот, смотри.	знаешь африканский гора необыкновенно красивый вот смотреть
Водопады Замбези.	водопад замбези
Кения - красивейшая страна Африки.	кения красивый страна африка
Она красивее таких стран, как Конго, Родезия, Сомали, ЮАР.	она красивый такой страна конго родезия сомали юар
Там есть деревья высотой 50-60 метров.	там дерево высота 5060 метр
Это - баобаб.	это баобаб
Африка - изумительная страна. Смотри, какие виды.	африка изумительный страна смотреть какой вид
Но там ведь всегда жарко.	но жарко
В Кении есть все: джунгли, снега, саванна.	в кения весь джунгли снег саванна
Похожа на нее?	похожий нея
Не отличить!	не отличить
Секундочку!	секундочка
Все, хватит играть в негров.	весь хватить играть негр
- Почему твой отец не возвращается? - В Кении у него своя ферма, лошади.	почему твой отец возвращаться в кения свой ферма лошадь
Он выращивает цветы.	он выращивать цвета
Только, боюсь, там скоро начнутся волнения.	только бояться скоро начаться волнение
Все снова достали свои револьверы.	весь снова достать свой револьвер
Все - это кто? Белые или цветные?	весь это кто белые цветной
Перестаньте говорить по-английски, я ни слова не понимаю.	перестать говорить поанглийски слово понимать
Все снова схватились за оружие.	весь снова схватиться оружие
Правда?	правда
6 миллионов негров хотят вышвырнуть 60 тысяч белых.	6 миллион негр хотеть вышвырнуть 60 тысяча белых
Хорошо, что они недавно слезли с деревьев, сбросив хвосты.	хорошо недавно слезть дерево сбросить хвост
- Иначе бы нас уже вышвырнули. - Самое время.	иначе вышвырнуть самый время
Могу сказать лишь одно:	мочь сказать лишь один
у них есть человек 10 вождей, которые учились в Оксфорде.	человек 10 вождь который учиться оксфорд
Остальные - обезьяны. 6 миллионов обезьян.	остальной обезьяна 6 миллион обезьяна
Видимо, симпатичных, раз тебе там нравилось.	видимо симпатичный ты нравиться
Вот, возьми Конго. Закончив первый класс, там считают себя министрами.	вот взять конго закончить один класс считать министр
- Пусть сначала окончат второй. - Ты вернулась в Кению рожать ребенка?	пусть сначала окончить два ты вернуться кения рожать ребёнок
Кения - мой дом. Там есть самая современная клиника.	кения дом там самый современный клиника
- Собака убежала! - Как?	собака убежать как
Если дверь не закрывать на цепочку, то пес может ее открыть.	если дверь закрывать цепочка пёс открыть
Боже! Муж с ума сойдет, если его любимец пропадет!	бог муж ум сойти любимец пропасть
Вряд ли я когда-нибудь вернусь в Кению. Муж не хочет там жить.	вряд когданибудь вернуться кения муж хотеть жить
Мы очень близки друг другу, но, все-таки, есть стена.	мы очень близкий друг друг но всетаки стен
А здесь мне некуда пойти, кроме магазина.	а некуда пойти кроме магазин
- Тебе нравиться быть одной? - Я не люблю одиночество	ты нравиться один я любить одиночество
и тоскую по своему народу. - По обезьянам?	тосковать свой народ по обезьяна
Видимо, там меньше задумываешься о счастье, - все идет своим чередом.	видимо маленький задумываться счастие идти свой чередом
- Я ошибаюсь? - Нет.	я ошибаться нет
А здесь, наоборот, все так усложняется.	а здесь наоборот усложняться
Даже любовь.	даже любовь
Смотри, вон они!	смотреть вон они
Зевс!	зевс
Зевс!	зевс
Марта, который из них твой?	март который твой
Вон тот! Черный! Это - пудель.	вон тот чёрный это пудель
Вы что-то не поделили, да?	вы чтоть поделить да
Ну-ка.	нук
Послушай, я хочу тебе кое-что сказать. Послушай!	послушать хотеть ты коечто сказать послушать
Виттория!	виттория
Виттория!	виттория
Виттория!	виттория
Алло, Франко, это Виттория.	алло франко это виттория
Не шути так. Лучше помоги мне.	не шутить так хороший помочь я
- Я ушла от Риккардо. - Наконец-то!	я уйти риккардо наконецтый
Это серьезно! Риккардо у моей двери, еще натворит что.	это серьёзно риккардо мой дверь натворить что
Нет, приезжать необязательно. Я позвоню, если что.	нет приезжать необязательно я позвонить что
Я хотела сказать, что ему сейчас тяжело.	я хотеть сказать тяжело
- Будь с ним рядом. - Я бы предпочел быть рядом с тобой.	быть ряд я предпочесть ряд ты
Почему бы нам не встретиться?	почему мы встретиться
Через 43 минуты мы подлетим к аэропорту Рима.	через 43 минута подлететь аэропорт рим
А что самое трудное в управлении таким самолетом?	а самый трудный управление такой самолёт
Найти пункт назначения.	найти пункт назначение
- Ты сбавил скорость? - Да.	ты сбавить скорость да
- Так что сказал диспетчер? - Впереди по курсу густая облачность.	так сказать диспетчер впереди курс густой облачность
Но, кажется, я вижу просвет.	но кажется видеть просвет
- Бери левее, потом мы выровняем курс. - Хорошо.	брать левый выровнять курс хорошо
Что это за облако?	что это облако
Похоже на слоисто-дождевое, но обычно они образуются ниже.	похоже слоистодождевой обычно образоваться ниже
Оно такое огромное.	оно такой огромный
И словно светится изнутри!	и словно светиться изнутри
Оно образовано каплями воды и снежинками.	оно образовать капля вода снежинка
Смотрите! Мы летим прямо в него!	смотреть мы лететь прямо он
- Как здорово! - Неплохо.	как здорово неплохо
- Мне надо позвонить. - Я пока отмечусь.	я позвонить я пока отметиться
Я с тобой.	я ты
Виттория, ты пойдешь с нами?	виттория пойти мы
