cleaned_text	lemm_text
<b>ГЕНУИН (Настоящая)</b>	bгенуин настоящаяb
<i>История вампира</i>	iистория вампираi
Режиссер: Роберт Вине	режиссёр роберт вина
Оператор Вилли Хамайстер Автор сценария Карл Майер Художники Вальтер Райманн и Чезаре Кляйн.	оператор вилли хамайстер автор сценарий карл майер художник вальтер райманна чезара кляйн
В роли Генуин - Ферн Андра	в роль генуин ферна андра
Ганс Генрих фон Твардовски	ганс генрих фон твардовск
По сложившейся привычке Перси, художник,	по сложиться привычка перси художник
каждый день погружался всей душой в свою любимую историю.	каждый день погружаться весь душа любимый история
Жрица культа, исполненного странных ритуалов, Генуин сначала боялась жестокости.	жрица культ исполнить странный ритуал генуин сначала бояться жестокость
В ходе войны между враждебными племенами	в ход война враждебный племя
она была захвачена в плен...	захватить плена
Волею судеб она оказалась на невольничьем рынке.	воля судьба оказаться невольничий рынок
Есть одна, это Генуин.	есть один это генуин
Она была жрицей побежденного племени.	она жрица победить племя
Она прекрасна, но они ее развратили.	она прекрасный развратить
Сейчас она свирепа и груба.	сейчас свирепый грубый
Давай запрем ее здесь, чтоб она не сбежала.	давать запереть здесь сбежать
Ты узнал его? Это Гайар, цирюльник.	ты узнать он это гайар цирюльник
Каждый день он приходит в этот дом ровно в полдень.	каждый день приходить дом ровно полдень
И никогда никому не рассказывает, что он там видел.	и никто рассказывать видеть
Нам не нравятся дела с такой таинственностью.	мы нравиться дело таинственность
Как обычно, он уснул.	как обычно уснуть
В начале каждого месяца привозили еду.	в начало каждый месяц привозить еда
Дай мне сейчас вознестись, только сразу!	дать вознестись сразу
Нет, мой ангел, нет, моя красавица.	нет ангел нет красавица
Там жизнь - сплошная гадость.	там жизнь сплошной гадость
Здесь тебе все рады.	здесь ты рад
Только здесь ты сможешь быть счастлива.	только смочь счастливый
Если б я смогла подняться, то была бы свободной,	если б смочь подняться свободный
наслаждалась бы молодостью и влюбленностью.	наслаждаться молодость влюблённость
В этом доме творятся подозрительные вещи.	в дом твориться подозрительный вещий
Почему они все это так скрывают?	почему это скрывать
Пойдем и заявим судье.	пойти заявить судья
Цирюльника надо допросить. Он у нас заговорит!	цирюльник допросить он заговорить
Завтра ровно в 12 часов Вы обязаны явиться для допроса. Судья.	завтра ровно 12 часы вы обязать явиться допрос судья
Как видите, я не могу придти сюда завтра в полдень.	как видеть мочь прийти сюда завтра полдень
А нельзя ли, чтобы в этот раз меня подменил мой племянник Флориан?	а ли подменить племянник флориан
На следующий день.	на следующий день
После столь многих лет могу ли я приехать повидаться с вами? Ваш внук Перси.	после столь многий год мочь приехать повидаться вы ваш внук перси
У Флориана первый клиент в жизни.	у флориан один клиент жизнь
Мой внук Перси пишет, что приезжает.	мой внук перси писать приезжать
Может и приехать.	мочь приехать
Как отреагирует Генуин, когда увидит его?	как отреагировать генуин увидеть он
Сколько своих варварских инстинктов покажет ему?	сколько свой варварский инстинкт показать он
Пусть подождет.	пусть подождать
Лестница! Я нашла выход!	лестница я найти выход
Негр сюда идет. Быстро, кольцо! Возьми его!	негр сюда идти быстро кольцо взять он
Покажи кольцо ему, и он будет тебя слушаться.	показать кольцо он слушаться
Генуин, любовь моя!	генуин любовь мой
Убей себя! Убей себя!	убить себя убить себя
Жертва, как много лет назад...	жертва год назад
Какое прекрасное доказательство любви!	какой прекрасный доказательство любовь
Убей его и принеси мне доказательство!	убить принести доказательство
Он спит?	он спать
Жажда испытать свою соблазнительность нахлынула вновь.	жажда испытать соблазнительность нахлынуть вновь
Кто ты?	кто ты
Я - Генуин.	я генуин
Ты прекрасна, Генуин.	ты прекрасный генуин
Дорогой мой друг, я счастлив, приходи, побудь со мной.	дорогой друг счастливый приходить побыть я
Мне нужно рассказать тебе о моем счастье.	я нужно рассказать ты мыть счастие
Приходи. И принеси	приходить и принести
самые лучшие платья и украшения, какие только найдешь.	самый хороший платье украшение какой найти
Проси у меня все, что хочешь.	просить весь хотеть
Огромнейшее, прекраснейшее, самое впечатляющее...	огромный прекрасный самый впечатляющий
Так я смогу выразить силу моей любви.	так смочь выразить сила мой любовь
Я убийца, убийца!	я убийца убийца
Этот дом проклят.	этот дом проклятый
Мой племянник, он в лихорадке и говорит об убийстве.	мой племянник лихорадка говорить убийство
Генри, я схожу с ума. Эта женщина хочет меня убить!	генри сходить ум этот женщина хотеть убить
Перси мертв.	перси мёртвый
Мертв!	мёртвый
Я солгал. Перси еще жив.	я солгать перси живой
Мы уедем сегодня вечером. Мы покинем этот ужасный дом.	мы уехать сегодня вечером мы покинуть ужасный дом
Она ведьма! Здесь живет ведьма! Мой племянник Флориан околдован...	она ведьма здесь жить ведьма мой племянник флориан околдовать
Мертва. Она мертва!	мёртвый она мёртвый
Музыка Ларри Маротта	музыка ларри маротт
перевод Taciturne fenixclub.com	перевод taciturne fenixclubcom
