cleaned_text	lemm_text
<i>Это проверка гипножабы массового оповещения.</i>	iэтый проверка гипножаба массовый оповещенияi
<i>Если гипноз на вас подействовал,</i>	iести гипноз подействовалi
<i>вы будете смотреть любую фигню, что будет показана далее.</i>	iвы быть смотреть любой фигня показать далееi
<i>Далее в эфире:</i>	iдалее эфиреi
<i>Футурама!</i>	iфутурамаi
Профессор, у меня все волосы дыбом!	профессор волос дыбом
Понятно.	понятно
Собственно, всё.	собственно весь
О, а ещё я весь в жутких ожогах.	о ещё весь жуткий ожог
И?! Что с того?!	и что тот
Ну... А как так вышло?	ну а выйти
Так ты ничего не помнишь?	так помнить
Неа. Ничего.	неа ничто
Как когда отрубился на пьянке в колледже.	как отрубиться пьянка колледж
Разве что в этот раз мне не нарисовали пенис на лбу.	разве нарисовать пенис лоб
Ну, думаю, это только к лучшему.	ну думать это хороший
Учитывая все невообразимые ужасы, что тебе пришлось перенести.	учитывать невообразимый ужас ты прийтись перенести
Давай больше не будем об этом вспоминать.	давать быть вспоминать
Всё началось несколько дней назад.	весь начаться несколько день назад
<i>Мы были космическими преступниками,</i>	iмы космический преступникамиi
<i>бежавшими от закона.</i>	iбежать законаi
Огонь из всех орудий и канал связи для моего победного йодля!	огонь орудие канал связь мой победный йодлить
<i>И вот, когда вы с Лилой попрощались, крепким языкопожатием.</i>	iи вот лила попрощаться крепкий языкопожатиемi
<i>Мы нырнули в огромную червоточину.</i>	iмы нырнуть огромный червоточинуi
<i>Дабы навсегда исчезнуть.</i>	iдаба навсегда исчезнутьi
Да, мы вернулись.	да вернуться
Ура!	ура
Святое совпадение Бухты Провидения!	святой совпадение бухта провидение
Да мы вернулись к Земле!	да вернуться земля
Ну разумеется!	ну разумеется
Это была Панамская червоточина -	это панамский червоточина
основной транспортный канал Земли.	основной транспортный канал земля
Забавно...	забавно
Да, что-то вроде канала Камеди Централ.	да чтоть вроде канал камедь централ
И мы как раз на нём!	и он
До меня дошло!	до дошлый
Нам не хватает мощности на носовой геймбой!	мы хватать мощность носов геймбой
Марио совсем тормозит!	марио тормозить
Приготовиться к аварийной посадке!	приготовиться аварийный посадка
Вас понял.	вы понять
Активировать спасательные сферы!	активировать спасательный сфера
А в моей даже кондиционер имеется.	а мой кондиционер иметься
Благодаря моей замечательной спасательной сфере,	благодаря мой замечательный спасательный сфера
я выжил, отбелабшись либшь лебкими побреждебиями мозбга.	выжить отбелабшиться либть лебкий побреждебие мозбг
А остальные?	а остальной
Они здесь, за этой простынёй, скрывающей весь ужас.	они здесь простыня скрывать весь ужас
Они что, мертвы?	они что мёртвый
О, нет, нет, нет.	о нет нет нет
Гораздо хуже.	гораздо худой
ФУТУРАМА ПЕРЕРОЖДЕНИЕ	футурам перерождение
Посторонись, Бог!	посторониться бог
Приготовьтесь к перерождению!	приготовиться перерождение
Не тот рубильник.	не рубильник
Давайте, стволовые клетки, займитесь уже своей научной чепухой!	давать стволовой клетка заняться свой научный чепуха
Стволовые клетки зародышей?	стволовой клетка зародыш
