cleaned_text	lemm_text
Я не знаю, зачем ты это делаешь.	я знать это делать
Твой отец был бы в отчаянии.	твой отец отчаяние
Что ж, тогда хорошо, что его здесь нет, и он этого не видит.	что ж хорошо нет видеть
В предыдущей серии Halt and Catch Fire...	в предыдущий серия halt and catch fire
Я прихватил не тот пакет.	я прихватить пакет
В больнице, с Бозом, то, что я сказала…	в больница боз то сказала…
я не хотела.	хотеть
Прошу, я даже не помню, что ты сказала.	просить помнить сказать
Ты знаешь, что с ней будет?	ты знаешь быть
О, Comet… Джо продолжит и дальше.	о comet… джо продолжить далёкий
Я собираюсь уйти с поста управляющего партнера.	я собираться уйти пост управлять партнёр
В самом деле?	в самый дело
Если ты все еще хочешь эту должность, я поддержу тебя.	если хотеть должность поддержать ты
Давай выйдем.	давать выйти
Нет! Пусть они видят, какая у нас неразбериха.	нет пусть видеть неразбериха
Начинается.	начинаться
Что я ищу? Хмм...	что искать хмм
Что я ищу?	что искать
Что я ищу?	что искать
Бутлеги...	бутлег
Гаечный ключ на 3/4 дюйма.	гаечный ключ 34 дюйм
Лучший кофе в городе.	хороший кофе город
Вайнону Райдер. Она мне так нравится.	вайнона райдер она нравиться
Ландшафтный дизайн?	ландшафтный дизайн
- Обувь. - Обувь.	обувь обувь
Смысл жизни, братан...	смысл жизнь братан
Я ищу идеальный подарок.	я искать идеальный подарок
Я ищу что-то смешное.	я искать чтоть смешной
Мир во всем мире.	мир весь мир
Я ищу вдохновение!	я искать вдохновение
Я ищу лекарство.	я искать лекарство
- Я ищу… - Я ищу...	я ищу… я искать
Я ищу...	я искать
Я ищу...	я искать
Я ищу...	я искать
Я ищу...	я искать
Чувак, интернет.	чувак интернет
- Интернет? - Интернет.	интернет интернет
Что, Бога ради, я буду искать в Интернете?	что бог ради быть искать интернет
Да, ты мог бы...	да мочь бы
найти в Интернете что угодно.	найти интернет угодный
<i>Что ты ищешь?</i>	iчто ищешьi
Ладно… это реклама.	ладно… это реклама
А реклама существует для продажи продуктов.	а реклама существовать продажа продукт
Но это не просто продукт. Нет.	но это просто продукт нет
Это новый способ связи.	это новый способ связь
Новый способ бытия.	новый способ бытие
Включай.	включать
Итак, это новый Comet, и он запускается сегодня вечером.	итак это новый comet запускаться сегодня вечером
Теперь мы не просто еще одна остановка	теперь просто один остановка
на пути людей к чему-то еще.	путь человек чемуть ещё
Мы - пункт назначения.	мы пункт назначение
Это результат совместных усилий каждого из находящихся здесь людей,	это результат совместный усилие каждый находиться человек
от наших незаурядных серферов	наш незаурядный серфер
