cleaned_text	lemm_text
Всемирная паутина может стать следующим самым большим открытием	всемирный паутина мочь становиться следующий самый большой открытие
со времен хлеба в нарезку.	время хлеб нарезка
В предыдущих сериях Halt and Catch Fire...	предыдущий серия halt and catch fire ...
Гордон? Гордон, ты в порядке?	гордон гордон порядок
Донна Эмерсон, старший партнер.	донна эмерсон старший партнер
Я сама недавно освободилась от оков.	недавно освобождаться оковы
Тебе совсем не хотелось быть Кларк, не так ли?	хотеться кларк
Я не могу работать с тобой.	мочь работать
Почему… ты здесь?	почему …
Ты знаешь.	знать
Это первый веб-браузер.	это первый веб браузер
Онлайн-каталог исследований...	онлайн каталог исследование ...
Работающий на NeXT.	работать next
В сети в Европе.	сеть европа
Чем станет Всемирная паутина?	становиться всемирный паутина
С Новым годом.	новый год
Как Токио?	токио
Хорошо.	
Холодно.	холодно
Хорошо. Хорошо, ну…	…
Это она?	это
Мы сделали первые шаги с браузером,	сделать первый шаг браузер
нам бы хотелось пробежаться по ним вместе с тобой, чтобы мы могли, ну, знаешь,	хотеться пробежаться вместе мочь знать
сразу взяться за дело, когда ты вернешься в город.	сразу взяться дело вернуться город
Гордон, я буду работать над проектом дистанционно.	гордон работать проект дистанционно
Мне нужно поговорить с Джо.	нужно поговорить джо
Только мне.	
Да. Ладно.	ладно
Хочет поговорить с тобой.	хотеть поговорить
Алло?	але
Как дела?	дело
Я не понимаю.	понимать
Я рассказала Тому о том, что случилось.	рассказывать случаться
И мы с ним оба решили,	оба решать
что будет лучше,	
если я буду работать над браузером дистанционно...	работать браузер дистанционно ...
отсюда.	отсюда
Сколько там сейчас времени?	сколько время
У них на 17 часов вперед,	17 час вперед
так что, который час здесь...	который час ...
Слушай, ей не обязательно быть на телефоне,	слушать обязательно телефон
чтобы мы могли загрузить его на Gopher.	мочь загружать gopher
Она написала его. Она должна быть доступна.	написать должный доступный
Парни, мне нужно… мне нужно...	парень нужно … нужно ...
Хватит стучать!	хватить стучать
Пожалуйста!	пожалуйста
Ты же знаешь, что там сейчас полночь.	знать полночь
Она указала это время.	указывать время
Может, Годзилла снова сражается с Мотрой.	годзилла снова сражаться мотра
Попробуем еще раз дозвониться через 20 минут.	попробовать дозваниваться 20 минута
Парни!	парень
Парни, парни, пожалуйста!	парень парень пожалуйста
Хорошо?	
Еще слишком рано для этого.	слишком рано это
Это потому что его вообще не скачивают.	это вообще скачивать
Нет, ты права. Прости меня.	правый прощать
69 скачиваний за последний квартал. Так лучше?	69 скачивание последний квартал
За целый год мы едва всколыхнули пруд.	целый год едва всколыхивать пруд
Конечно, дело в багах.	дело баг
Я отслеживаю их так быстро, как могу,	отслеживать быстро мочь
но у тебя целая вечность уходит, чтобы...	целый вечность уходить ...
Ладно.	ладно
Ладно, прекрасно.	ладно прекрасно
Это было бы прекрасно.	это прекрасно
- Как Кэмерон? - Никогда не бывает доступна.	кэмерон бывать доступный
А если нам каким-то образом удается до нее дозвониться,	какой-то образ удаваться дозваниваться
она либо занята, либо оправдывается, либо...	либо занятый либо оправдываться либо ...
Прицепилась к 69 скачиваниям.	прицепляться 69 скачивание
Слушай, Джо, наверху мы поденно создаем	слушать джо наверху поденно создавать
бизнес интернет-провайдера,	бизнес интернет провайдер
это значит нам не нужен молниеносный успех	это значить нужный молниеносный успех
с веб-браузером.	веб браузер
Но зачем ты продолжаешь	продолжать
заниматься этим с ней?	заниматься это
Эта работа важна.	работа важный
Я не это спросил.	это спрашивать
Я удостоверюсь, чтобы баги были исправлены.	удостоверяться баги исправлять
Шеп, ты разговаривал с Кэмерон?	шеп разговаривать кэмерон
Гордон, это Майк Хаусмен	гордон это майк хаусмен
