cleaned_text	lemm_text
Ранее в Готэме ...	ранее готэма
Прошлой ночью какой-то псих заморозил полицейского до смерти.	прошлый ночью какойтый псих заморозить полицейский смерть
Он использовал переохлажденный жидкий гелий.	он использовать переохладить жидкий гелий
Это - одно из самых эффективных веществ в мире	это один самый эффективный вещество мир
для быстрого снижения температуры.	быстрый снижение температура
Он просто хочет знать, откуда оно взялось	он просто хотеть знать откуда оно взяться
так мы сможем отследить парня	смочь отследить парень
Вы признаетесь в убийстве?	вы признаться убийство
Да.	да
Я не преступник, понимаете?	я преступник понимать
Я просто... безумен.	я просто безумный
Я почти переступил черту, не так ли?	я переступить черта ли
Это в твоем характере.	это твой характер
Напугал меня немного.	напугать немного
Добро пожаловать в мой мир.	добро пожаловать мир
Я могу заморозить тебя, как мы и планировали.	я мочь заморозить ты планировать
- Но? - Я не смогу вернуть тебя назад.	но я смочь вернуть назад
Решение А14.	решение а14
Нет, нет, нет, нет, нет, нет, нет.	нет нет нет нет нет нет нет
Я просто думаю обо всех тех бедных мышах, на которых ты экспериментируешь.	я просто думать о тот бедный мышь который экспериментировать
Что ты собираешься делать теперь?	что собираться делать теперь
Искать этого Малоуна самостоятельно?	искать малоуна самостоятельно
Честно говоря, я не думал так далеко вперед.	честно говорить думать далеко вперёд
Нора.	нора
Ты поможешь спасти мою жену.	ты помочь спасти мой жена
Мой муж делал ужасные вещи.	мой муж делать ужасный вещий
Но он делал все эти ужасные вещи ради меня.	но делать ужасный вещий ради я
Я умираю.	я умирать
Он хочет спасти меня.	он хотеть спасти я
Я хотел бы сделать признание.	я хотеть сделать признание
Я человек, который замораживал людей.	я человек который замораживать человек
А16. Сработало.	а16 сработать
Я умер?	я умереть
Я не могу поверить, что оно сработало.	я мочь поверить оно сработать
Я иду к тебе, Нора.	я идти ты нора
Я иду, чтобы спасти тебя.	я идти спасти ты
Где все?	где весь
Послушайте.	послушать
Ace Chemicals делают жидкий гелий	ace chemicals делать жидкий гелий
который использовал Виктор Фрайс, чтобы привести свое оружие в действие.	который использовать виктор фрайса привести свой оружие действие
Фрайс был замечен входящим в здание 20 минут назад.	фрайса заметить входящая здание 20 минута назад
Он в отчаянии	он отчаяние
и крайне опасен.	крайне опасный
Давайте сделаем это.	давать сделать это
Черт.	черта
Какого черта здесь произошло?	какой черта произойти
Ночной дворник.	ночной дворник
Может быть заложником.	мочь заложник
Детективы.	детектив
Канистры пропали.	канистра пропасть
Похоже, он получил, зачем приходил.	похоже получить приходить
Что он задумал?	что задумать
"""Освободите мою жену."""	освободить мой жена
Как Швейцария?	как швейцария
У них есть горы, снег.	у гора снег
Люди вежливые.	человек вежливый
Альфред сказал, что вы хотели говорить со мной.	альфред сказать хотеть говорить я
Альфред хотел, чтобы я поговорила с вами.	альфред хотеть поговорить вы
Он волнуется по поводу вас.	он волноваться повод вы
Он обеспокоен тем, что вы можете скрывать	он обеспокоить тем мочь скрывать
травму, которую вы должны чувствовать.	травма который должный чувствовать
Ему не нужно беспокоиться.	он нужно беспокоиться
Я говорю ему, я в порядке,	я говорить он порядок
а он мне не верит.	верить
Вы были насильственно похищены. Вы чуть не умерли.	вы насильственно похитить вы умереть
Вам должно было быть очень страшно.	вы должный очень страшно
Это нормально чувствовать травму.	это нормальный чувствовать травма
Здесь нечего стыдиться.	здесь нечего стыдиться
Мне не было страшно.	я страшно
Нет?	нет
Что вы чувствовали?	что чувствовать
Я чувствовал себя живым.	я чувствовать живой
Сильно живым.	сильно живой
Как вы думаете, что я ненормальный?	как думать ненормальный
Вы, конечно, необычный,	вы конечно необычный
если вы честны.	честный
Я всегда честен.	я честный
Это хороший принцип	это хороший принцип
Трудно осуществимый	трудно осуществимый
Я стараюсь.	я стараться
А как вы себя чувствуете сейчас?	а чувствовать сейчас
Как я говорю, я чувствую себя... нормально.	как говорить чувствовать себя нормальный
Активизировался.	активизироваться
У меня есть второй шанс в жизни.	у два шанс жизнь
Что вы собираетесь делать с этим шансом?	что собираться делать это шанс
Мои планы остаются неизменными.	мой план оставаться неизменный
Найти человека, который убил моих родителей.	найти человек который убить мой родитель
Брюс, вам пора завязывать.	брюс пора завязывать
Точно.	точно
Завязывать.	завязывать
Никаких опасных	никакой опасный
и, возможно, навязчивых идей.	и возможно навязчивый идея
Я найду его.	я найти он
Ты школьник, а не детектив из отдела убийств.	ты школьник детектив отдел убийство
Я полагаю, что можно быть двумя людьми сразу,	я полагать два человек сразу
разве вы так не думаете ?	думать
Да, можно.	да можно
Итак, вы нашли виновника, что потом?	итак найти виновник потом
Я позволю закону идти своим чередом.	я позволить закон идти свой чередом
Это правдивый ответ?	это правдивый ответ
Это ответ, который я даю вам.	это ответ который давать вы
Что случилось с честным Брюсом?	что случиться честной брюс
Это очень хороший вопрос.	это очень хороший вопрос
Я предполагаю, что это - другой Брюс.	я предполагать это брюс
Извините, я не хочу быть легкомысленным с вами.	извинить хотеть легкомысленный вы
Этот разговор был очень полезен.	этот разговор очень полезный
Разъясняющим.	разъяснять
Возможно, мы повторим это снова когда-нибудь.	возможно повторить это снова когданибудь
Конечно, мы можем сделать это.	конечно мочь сделать это
"""Освободите мою жену"" ?!"	освободить мой жена
Этот парень думает, убив семь полицейских,	этот парень думать убить семь полицейский
он может заставить нас освободить свою жену ?!	заставить освободить жена
Я дам волю своему ботинку по его замороженной заднице!	я дать воля свой ботинок заморозить задница
Сумасшедший лунатик, сукин сын, я порву его...	сумасшедший лунатик сукин сын порвать он
Я собираюсь перевести дыхание.	я собираться перевести дыхание
Как насчет этого заложника--дворника--какие-нибудь требования?	как насчёт заложникадворникакакиенибудь требование
Еще нет.	ещё нет
Очевидно мы имеем дело с сумасшедшим,	очевидно иметь дело сумасшедший
и как только он поймет, что мы не собираемся выпускать его жену,	понять собираться выпускать жена
он придет к нам,	прийти мы
пытаться забрать ее, не так ли?	пытаться забрать она ли
Что еще он мог бы сделать?	что мочь сделать
Я полагаю.	я полагать
Когда он это сделает, мы будем готовы к нему,	когда это сделать быть готовый он
и мы возьмем его.	взять он
- Где она сейчас? - В камере предварительного заключения.	где сейчас в камера предварительный заключение
Ли и медработник присматривают за ней.	ли медработник присматривать она
Ли говорит, если ли она не отправится скоро в больницу,	ли говорить отправиться скоро больница
она может умереть.	умереть
Черт возьми.	черта взять
Мы не можем охранять центральную больницу Готэма.	мы мочь охранять центральный больница готэма
Там слишком много точек доступа, слишком много гражданских лиц.	там слишком точка доступ слишком гражданский лицо
Аркхэм.	аркхэма
У них есть полноценное отделение реанимации, правильно?	у полноценный отделение реанимация правильно
Мы отвезем ее в Аркхэм.	мы отвезти аркхэма
Таким образом она сможет получить помощь, которая ей нужна,	такой образ смочь получить помощь который нужный
и мы сможем захватить Фрайса, не подвергая опасности гражданских лиц.	смочь захватить фрайса подвергать опасность гражданский лицо
Имеет смысл.	иметь смысл
Смысл?	смысл
Это сумасшедший дом,	это сумасшедший дом
заполненный безумными людьми.	заполнить безумный человек
У тебя есть другие идеи?	у другой идея
Н-Нет.	ннета
Подготовь ее к переезду.	подготовить переезд
Я позвоню директору психушки.	я позвонить директор психушка
И сообщите это прессе.	и сообщить это пресса
Я хочу, чтобы Фрайс заглотил приманку.	я хотеть фрайса заглотить приманка
Я позволю тебе сказать Ли	я позволить ты сказать ли
что мы везем ее больную в психушку.	везти больной психушка
Она поймет.	она понять
Ах, да, абсолютно, полностью.	ах да абсолютно полностью
Позволь мне сказать это прямо.	позволить сказать это прямо
Твой план, использовать умирающую женщину в качестве приманки.	твой план использовать умирать женщина качество приманка
Подсадной утки в Аркхэме.	подсадный утка аркхэма
Это не так.	это так
Вы собираетесь сказать ее мужу, где вы ее держите?	вы собираться сказать муж держать
- Да, но... - тогда это так.	да но это так
Это наименее худший из нескольких плохих вариантов.	это наименее плохой несколько плохой вариант
Мы бы могли распространить слух, что она в больнице Готэма	мы мочь распространить слух больница готэма
но что произойдет, когда Фрайс нападет?	произойти фрайса напасть
Она наполнена людьми, которые слишком больны, чтобы двигаться.	она наполнить человек который слишком больной двигаться
Это и есть рациональный путь.	это рациональный путь
Иногда рациональный путь не самый лучший.	иногда рациональный путь самый хороший
Если был бы другой путь, мы бы им воспользовался.	если путь воспользоваться
Поверь мне, Нора Фрайс будет в совершенной безопасности.	поверь я нора фрайса совершенный безопасность
Я-я должен идти.	яя должный идти
Я поеду с ней.	я поехать она
Ли, в Аркхэме есть врачи.	ли аркхэма врач
Она моя пациентка.	она пациентка
Раньше я работала там, я знаю этих врачей. Я еду.	ранний работать там знать этот врач я еда
Это не безопасно.	это безопасно
Это безопасно для Норы, но это не безопасно для меня?	это безопасно нора это безопасно я
Нет, сейчас, сейчас, посмотри	нет сейчас сейчас посмотреть
Да, продолжай думать, умник, я заберу свои вещи.	да продолжать думать умник забрать свой вещий
Нет, ты знаешь, что я имел в виду.	нет знаешь иметь вид
Если ты используешь это на мне, я закричу	если использовать это я закричать
Кто это был?	кто это быть
Одна из жертв Фрайса.	один жертва фрайса
Я надеялся извлечь следы формулы Фрайса	я надеяться извлечь след формула фрайса
из человеческой ткани, но не тут-то было.	человеческий ткань тутто быть
Кстати, вам звонили.	кстати звонить
GCPD хочет передать Нору Фрайс	gcpd хотеть передать нора фрайса
в медицинское крыло Аркхэма.	медицинский крыло аркхэма
Вы имеете в виду жену?	вы иметь вид жена
Видимо, она очень больна.	видимо очень больной
Полиция думает, что Фрайс может попытаться освободить ее.	полиция думать фрайса попытаться освободить она
Им нужно более безопасное медицинское помещение.	имя нужно безопасный медицинский помещение
Фрайс должно быть сделает все , чтобы спасти свою жену.	фрайса должный сделать спасти жена
Как романтично.	как романтично
Как прекрасно.	как прекрасно
Здесь я отчаянно нуждаюсь в его экспертных знания по криогенике,	здесь отчаянно нуждаться экспертный знание криогеника
а он собирается выехать прямо на дом.	собираться выехать прямо дом
Судьба улыбается нам.	судьба улыбаться мы
Быстро, Пибоди, мы должны подготовиться.	быстро пибодить должный подготовиться
...придя в себя после полной заморзки,	прийти полный заморзкий
прежде, чем споткнуться, к недоумению GCPD.	прежде споткнуться недоумение gcpd
Он был доставлен в Готэм Мемориал,	он доставить готэма мемориал
где он подлечил незначительные травмы и был отпущен.	подлечить незначительный травма отпустить
Мы получили сообщение,	мы получить сообщение
что Нору Фрайс, жену скандально известного мистера Фриза,	нора фрайса жена скандально известный мистер фриз
везут в медицинское крыло Аркхэма...	везти медицинский крыло аркхэма
Аркхэм?	аркхэма
Она находится в больнице, а не брошена среди сумасшедших	она находиться больница бросить среди сумасшедший
...никаких официальных обвинений...	никакой официальный обвинение
Это ловушка.	это ловушка
Конечно это так.	конечно это так
Они используют ее, чтобы добраться до меня.	они использовать она добраться я
Дураки.	дурак
Они думают, что стены и оружие могут остановить меня?	они думать стена оружие мочь остановить я
Они понятия не имеют.	они понятие иметь
Они узнают.	они узнать
Отпустите меня, скоты!	отпустить я скот
Я хочу поговорить с профессором Стрэнджем.	я хотеть поговорить профессор стрэнджема
Директор Стрэндж очень занят сегодня.	директор стрэндж очень занятый сегодня
Но будьте уверены,	но быть уверить
ничего не происходит в Аркхэме	происходить аркхэма
что не соответствует его пожеланиям.	соответствовать пожелание
Что это за штука ?	что это штука
Что вы делаете со мной?	что делать я
Вы должны быть лицом нашей программы реабилитации.	вы должный лицо наш программа реабилитация
Если мы сможем вылечить такого человека, как Освальд Кобблпот,	если смочь вылечить такой человек освальд кобблпот
мы можем вылечить кого угодно.	мочь вылечить кто угодный
Я отказываюсь.	я отказываться
Я отказываюсь быть частью вашей программы.	я отказываться частью ваш программа
У вас нет выбора.	у выбор
Знай это, женщина.	знать это женщина
Никому до сих пор не удалось сожалеть, о то что он досаждал Пингвину.	никто сей пора удаться сожалеть досаждать пингвин
А ты мне досаждаешь!	а досаждать
Принимайте ваше следующее решение очень аккуратно.	принимать ваш следующий решение очень аккуратно
Утка.	утка
Утка.	утка
Утка.	утка
Утка...	утка
Утка.	утка
Утка !	утка
Слава богу.	слава бог
- Это был всего лишь сон.	это лишь сон
- Утка.	утка
Это был всего лишь сон.	это лишь сон
Гусь.	гусь
Ты должен гнаться за мной.	ты должный гнаться я
Ты - гусь.	ты гусь
Нет. Нет. Я-Я, э-э...	нет нет яя ээ
Я...	я
Я-Я пингвин.	яя пингвин
Гусь!	гусь
Гусь!	гусь
Гусь! Гусь!	гусь гусь
Проблема?	проблема
Он не хочет быть гусем.	он хотеть гусем
Это интересно участвовать в группе, мистер Кобблпот.	это интересно участвовать группа мистер кобблпот
