cleaned_text	lemm_text
- Миша! - Как дела, Мелоди?	миша как дело мелодить
Не знала, что ты вернулся.	не знать вернуться
Прости, что пришла без предупреждения.	простить пришлый предупреждение
Шарлотта не брала трубку, я волновалась.	шарлотта брать трубка волноваться
Хотела узнать, всё ли в порядке.	хотеть узнать весь порядок
- Ты когда вернулся? - Только что. Проходи.	ты вернуться только что проходить
Не хочу вам мешать. Вы давно не виделись.	не хотеть мешать вы давно видеться
- Какая чушь! - Ты думала, я умерла?	какой чушь ты думать умереть
Я просто волновалась.	я просто волноваться
Знаю, это глупо.	знать это глупо
Я вечно переживаю без всякого повода.	я вечно переживать всякий повод
Останешься ужинать?	остаться ужинать
Ну что вы! Я не хочу вам мешать.	ну вы я хотеть мешать
Еще раз простите, что помешала.	ещё простить помешать
Ты с ума сошла? Проходи.	ты ум сойти проходить
Вы давно не виделись...	вы давно видеться
Всего 5 дней.	всего 5 день
Могу и потерпеть.	мочь потерпеть
<i>Сегодня прошел</i>	iсегодня прошелi
<i>традиционный военный парад.</i>	iтрадиционный военный парадi
<i>В этом году в нем участвовали военные из Мали.</i>	iв год немой участвовать военный малиi
Как работа?	как работа
Без изменений.	без изменение
Свободного времени мало, но я справляюсь.	свободный время мало справляться
Ты еще так молода!	ты молодой
Ты меня поражаешь.	ты поражать
А ты уже в старики записался?	а старик записаться
Мне надоело слышать, что я молода.	я надоесть слышать молодой
Выбросить?	выбросить
Нет. Когда остается крошечный кусочек мыла,	нет когда оставаться крошечный кусочек мыло
нужно приклеить его к новому куску.	нужно приклеить новый кусок
Зачем выбрасывать хорошее мыло?	зачем выбрасывать хороший мыло
Теперь два куска образуют	теперь кусок образовать
единое целое.	единый целое
"Как в фильме ""Муха""."	как фильм муха
Большой кусок мыла изменится навсегда.	большой кусок мыло измениться навсегда
Трогательно, правда?	трогательно правда
Меня это трогает.	я это трогать
Ты явно не в себе.	ты явно себя
Какая прелесть!	какой прелесть
Это не слишком-то сексуально.	это слишкомтый сексуально
Правда?	правда
По крайней мере, я так считаю.	по крайний мера считать
Но кто меня слушает?	но слушать
Ты любишь фенхель?	ты любить фенхель
Зачем ты ездил в Пуату?	зачем ездить пуата
Я встречался со специалистом	я встречаться специалист
