cleaned_text	lemm_text
Вам ведь любая музыка нравится, а?	вы любой музыка нравиться а
И мне тоже.	и тоже
Малер, The Drifters, Mello-Kings, Бах.	малер the drifters mellokings бах
- О чем вы думаете? - О том, что ты ужасный водитель.	о думать о тот ужасный водитель
О чем ты говоришь? Да я шикарный водитель.	о говорить да шикарный водитель
Машина - часть меня самого. Она - продолжение моего...	машина часть самый она продолжение мой
- Надеюсь, парень, что со страховкой у тебя все в порядке.	надеяться парень страховка порядок
Мм... Ну да.	мм ну да
Она тебе скоро понадобится. Дай мне свою лицензию с регистрацией.	она ты скоро понадобиться дать лицензия регистрация
Ну да, вот...	ну да вот
- Ты такая же сумасшедшая, как и я.	ты такой сумасшедший я
- Ты не сумасшедший. Ты просто боишься.	ты сумасшедший ты просто бояться
С чего ты взяла?	с взять
Тебя трясет.	ты трясти
Как тебя зовут?	как звать
Меня - Джимми. Почему ты смотришь в сторону?	я джимми почему смотреть сторона
о, да	о
да.	да
Хочешь вина?	хотеть вино
Что ты делаешь?	что делать
Не делай этого.	не делать это
Ты не понимаешь? Я перенесу тебя в страну твоих снов.	ты понимать я перенести страна твой сон
Тебе только нужно довериться мне.	ты нужно довериться я
- Что? - Ты - сплошное дерьмо.	что ты сплошной дерьмо
Нет, я так не думаю.	нет думать
Я думаю.	я думать
Кэрол.	кэрол
- Что Кэрол? - Просто Кэрол.	что кэрол просто кэрол
Слушай, можно я... Я просто хочу спросить тебя.	слушай я я просто хотеть спросить ты
- Разве ты не хотела... - Перехотела.	разве хотеть перехотеть
- Без этого шума мы никак не можем? - Это Шиффоны, папа.	без шум никак мочь это шиффон папа
А где пленка Джерри Вейла, которую я подарил тебе на Рождество?	а плёнка джерри вейл который подарить ты рождество
- Мы тут встретились за ланчем, так? - Ладно, прикинь это.	мы встретиться ланч так ладный прикинуть это
Никогда тебя не понимал. То у тебя допотопная тухлятина,	никогда понимать то допотопный тухлятина
то пять писклявых негритосов.	пять писклявый негритос
А Джерри Вейл сейчас мог бы петь в Ла Скала.	а джерри вейл мочь петь ла скал
- Скажешь, это не прекрасно? - Чего б тебе не бросить курить?	сказать это прекрасно что б ты бросить курить
Я брошу курить, когда ты бросишь трахаться.	я бросить курить бросить трахаться
Хочешь такой костюмчик? Я бы мог тебе это устроить.	хотеть костюмчик я мочь ты это устроить
- Нет, спасибо. Мне желтое как-то... - Что ты там бормочешь про желтое?	нет спасибо я жёлтый както что бормотать жёлтый
- Мне парень продавал его как кремовый. - Кремовый?	я парень продавать кремовый кремовый
- Что случилось? У тебя неприятности?	что случиться у неприятность
