cleaned_text	lemm_text
С Новым годом.	новый год
Как Токио?	токио
Хорошо.	
Холодно.	холодно
Хорошо. Хорошо, ну…	…
Это она?	это
Мы сделали первые шаги с браузером,	сделать первый шаг браузер
нам бы хотелось пробежаться по ним вместе с тобой, чтобы мы могли, ну, знаешь,	хотеться пробежаться вместе мочь знать
сразу взяться за дело, когда ты вернешься в город.	сразу взяться дело вернуться город
Гордон, я буду работать над проектом дистанционно.	гордон работать проект дистанционно
Мне нужно поговорить с Джо.	нужно поговорить джо
Только мне.	
Да. Ладно.	ладно
Хочет поговорить с тобой.	хотеть поговорить
Алло?	але
Как дела?	дело
Я не понимаю.	понимать
Я рассказала Тому о том, что случилось.	рассказывать случаться
И мы с ним оба решили,	оба решать
что будет лучше,	
если я буду работать над браузером дистанционно...	работать браузер дистанционно ...
отсюда.	отсюда
Сколько там сейчас времени?	сколько время
У них на 17 часов вперед,	17 час вперед
так что, который час здесь...	который час ...
Слушай, ей не обязательно быть на телефоне,	слушать обязательно телефон
чтобы мы могли загрузить его на Gopher.	мочь загружать gopher
Она написала его. Она должна быть доступна.	написать должный доступный
Парни, мне нужно… мне нужно...	парень нужно … нужно ...
Хватит стучать!	хватить стучать
Пожалуйста!	пожалуйста
Ты же знаешь, что там сейчас полночь.	знать полночь
Она указала это время.	указывать время
Может, Годзилла снова сражается с Мотрой.	годзилла снова сражаться мотра
Попробуем еще раз дозвониться через 20 минут.	попробовать дозваниваться 20 минута
Парни!	парень
Парни, парни, пожалуйста!	парень парень пожалуйста
Хорошо?	
Еще слишком рано для этого.	слишком рано это
Это потому что его вообще не скачивают.	это вообще скачивать
Нет, ты права. Прости меня.	правый прощать
69 скачиваний за последний квартал. Так лучше?	69 скачивание последний квартал
За целый год мы едва всколыхнули пруд.	целый год едва всколыхивать пруд
Конечно, дело в багах.	дело баг
Я отслеживаю их так быстро, как могу,	отслеживать быстро мочь
но у тебя целая вечность уходит, чтобы...	целый вечность уходить ...
Ладно.	ладно
Ладно, прекрасно.	ладно прекрасно
Это было бы прекрасно.	это прекрасно
- Как Кэмерон? - Никогда не бывает доступна.	кэмерон бывать доступный
А если нам каким-то образом удается до нее дозвониться,	какой-то образ удаваться дозваниваться
она либо занята, либо оправдывается, либо...	либо занятый либо оправдываться либо ...
Прицепилась к 69 скачиваниям.	прицепляться 69 скачивание
Слушай, Джо, наверху мы поденно создаем	слушать джо наверху поденно создавать
бизнес интернет-провайдера,	бизнес интернет провайдер
это значит нам не нужен молниеносный успех	это значить нужный молниеносный успех
с веб-браузером.	веб браузер
Но зачем ты продолжаешь	продолжать
заниматься этим с ней?	заниматься это
Эта работа важна.	работа важный
Я не это спросил.	это спрашивать
Я удостоверюсь, чтобы баги были исправлены.	удостоверяться баги исправлять
Шеп, ты разговаривал с Кэмерон?	шеп разговаривать кэмерон
Гордон, это Майк Хаусмен	гордон это майк хаусмен
из America Online.	america online
- Приятно познакомиться, Гордон. - Да, взаимно.	приятно познакомиться гордон взаимно
Да, я бы хотел обсудить приобретение вашей пользовательской базы.	хотеть обсуждать приобретение ваш пользовательский база
AOL и правда так боится открытого интернета?	aol правда бояться открытый интернет
Ну, либо это,	либо это
либо мы раздавим вас, когда расширимся на запад.	либо раздавливать расширяться запад
Что ж, позвольте сказать вам, Майк…	позволять сказать майк …
Мне нужно показать тебе кое-что прямо сейчас.	нужно показывать кое-что прямо
Майк, это Джо МакМиллан. Наш отдел веб-сервисов.	майк это джо макмиллан наш отдел веб сервис
Впечатляет. Вас интересует Паутина.	впечатлять интересовать паутина
Все движется туда.	двигаться туда
Гордон.	гордон
Простите нас.	прощать
Он называется Mosaic.	называться mosaic
Ладно, еще один браузер в игре.	ладно браузер игра
По-прежнему есть Nexus, Viola, Midas...	по-прежнему nexus viola midas ...
Не забудь про Millennuim, спасибо Донне.	забывать millennuim спасибо донна
У нее столько же прав на эту идею, что и у нас.	столько правый идея
Но они не такие, как этот.	
Встроенные изображения, поддержка веб-форумов,	встроенный изображение поддержка веб форум
доступен на всех платформах.	доступный весь платформа
Если бы Кэмерон 5 месяцев не находилась в режиме радиомолчания,	кэмерон 5 месяц находиться режим радиомолчание
если бы она исправила баги, помогла нам с итерациями...	исправлять баги помогать итерация ...
Я не против проигрыша,	против проигрыш
но мы даже не собираемся конкурировать.	собираться конкурировать
Где же Кэмерон, черт возьми?	кэмерон черт взять
Теперь мы сделаем собственный чип.	сделать собственный чип
Сюда.	сюда
Ты в порядке?	порядок
Да.	
Прекрасно.	прекрасно
Держу пари, это была ее новая игра.	держать пари это новый игра
Я уверен, она просто зациклилась на ней,	уверенный просто зациклиться
и забыла о нас.	забывать
Что если мы откроем доступ?	открывать доступ
Ну, знаешь, неограниченный доступ для каждого пользователя...	знать неограниченный доступ каждый пользователь ...
без почасовых ставок,	почасовой ставка
знаешь, просто с фиксированной ежемесячной оплатой.	знать просто фиксированный ежемесячный оплата
Хорошая идея, разумная.	хороший идея разумный
Слушай, я не собираюсь заводить волынку,	слушать собираться заводить волынка
но меня раздражает то,	раздражать
что она все еще должна нам окончательный вариант.	должный окончательный вариант
У нас было преимущество первопроходцев.	преимущество первопроходец
Теперь парадный вход в сеть - это Mosaic.	парадный вход сеть это mosaic
Да, я слышал, у них был миллион загрузок	слышать миллион загрузка
- за первые полгода. - Это раздутый показатель.	первый полгода это раздутый показатель
