cleaned_text	lemm_text
Побег не был моей идеей.	побег мой идея
Бежать куда? Мы не знали ничего иного.	бежать куда мы знать иной
Это Зак сказал что нужно бежать и, полагаю, он спас мне жизнь	это зак сказать нужно бежать и полагать спасти жизнь
Я считала что нам лучше не разделятся, но он не слушал.	я считать мы разделиться слушать
У меня не было шанса сказать ему спасибо.	у шанс сказать спасибо
Я приказал осмотреть все, сверху донизу, иначе поотрываю головы.	я приказать осмотреть весь сверху донизу иначе поотрывать голов
Найдите их. Всех.	найти они весь
Что если они выйдут за ограждение?	что выйти ограждение
Это Лайдекер. Я хочу чтобы их по возможности взяли живьем.	это лайдекер я хотеть возможность взять живьём
Но если они выйдут за ограждение, уничтожить. Это понятно?	но выйти ограждение уничтожить это понятно
Подтверждаю, сэр. Вы отдали приказ в 10:06.	подтверждать сэр вы отдать приказ 1006
Это моя ответственность.	это ответственность
Стреляйте.	стрелять
Макс!	макс
Сэр? Пока мы взяли семерых. Трое ранены, двое убиты.	сэр пока взять семеро трое раненый двое убитый
У вас будут большие проблемы, если хоть один из них выйдет наружу.	у быть большой проблема выйти наружу
Если посмотреть трезво, на улице -12, сэр. Как далеко смогут уйти эти дети?	если посмотреть трезво улица 12 сэр как далеко смочь уйти ребёнок
Просто найдите их.	просто найти они
Иногда мне кажется, что это случилось с кем-то другим,	иногда кажется это случиться кемтый другой
Как будто слышала чью-то историю.	как слышать чьюто история
Тяжело не знать, ушел ли кто-то еще.	тяжело знать уйти ктоть ещё
Если бы я знала точно, что ушла одна, было бы гораздо хуже.	если знать точно уйти один гораздо худой
По крайней мере я могу придумать их жизнь,	по крайний мера мочь придумать жизнь
Например, Джони. Он, возможно, стал фотографом, или архитектором.	например джони он возможно стать фотограф архитектор
На самом деле они как я,	на самый дело я
живут убегая, всегда оглядываясь через плечо.	жить убегать оглядываться плечо
Надежда для неудачников. Этому я научилась от людей,	надежда неудачник это научиться человек
которых встречала в жизни, словно бы подхватила от них грип. Но это - холодная правда.	который встречать жизнь словно подхватить грипа но это холодный правда
Я все же надеюсь, что они где-то там,	я надеяться гдеть там
и с ними все в порядке.	они порядок
- Вот дерьмо. - Что дерьмо?	вот дерьмо что дерьмо
Я прихожу домой в 3 утра, тебя все еще нет.	я приходить домой 3 утро нет
Чуствую себя как будто меня переехала бетономешалка,	чуствовать переехать бетономешалка
а ты встаешь, полная жизни.	вставать полный жизнь
