cleaned_text	lemm_text
"""ДАГОН"""	дагон
Милый, что случилось?	милый случиться
Да так, что-то с желудком. НадеЮсь, Не ЯЗВа. Хотелось бы надеяться.	да так чтоть желудок надеяться не язва хотеться надеяться
Ты вспотел. Опять кошмары?	ты вспотеть опять кошмар
Да, один и тот же кошмар.	да кошмар
Пол!	половина
Что с тобой?	что ты
Все в порядке, просто последние два дня я какой-то чудной.	весь порядок просто последний день какойтый чудный
Знаешь, ты должен расслабиться.	знаешь должный расслабиться
Давай, надо отдохнуть после таких трудов.	давать отдохнуть такой труд
Ты можешь заняться и Ховардом.	ты мочь заняться ховард
Я знаю, но ты же волшебник. От твоих прикосновений все становится золотом.	я знать волшебник от твой прикосновение становиться золото
Зачем ты это говоришь?	зачем это говорить
Неужели ты совсем лишен чувства юмора?	неужели лишить чувство юмор
Разве ты не видишь, что все как-то изменилось?	разве видеть както измениться
Еще бы не изменилось! Мы чертовски богаты!	ещё измениться мы чертовски богатый
Испытаем, как это приятно. Давай, Пол!	испытать это приятно давать половина
Мне это не кажется приятным.	я это кажется приятный
Ну, ладно.	ну ладный
Постой. Барбара, ты не так поняла.	постоять барбара понять
Я получил сейчас такое удовольствие. Ты не понимаешь, это...	я получить такой удовольствие ты понимать это
Перестань, Пол! Хорошо? Пожалуйста.	перестать половина хорошо пожалуйста
Прости.	простить
А тебе обязательно здесь курить?	а ты обязательно курить
Это яхта Ховарда, он не возражает.	это яхта ховард возражать
"""Это яхта Ховарда, он не возражает!"". Ну и ладно."	это яхта ховард возражать ну ладный
Слушай. Вот что, Пол: почему бы тебе не оставить на 5 минут в покое эту вещь?	слушай вот что половина почему ты оставить 5 минута покой вещь
Милая, наши акции могут взять и пойти ко дну, а мы и не узнаем!	милый наш акция мочь взять пойти к дно узнать
Меня это нисколько не волнует.	я это нисколько волновать
Одно из двух: если цена перестает колебаться, то все в порядке.	один два цена переставать колебаться порядок
Если же она перестает падать, то одно из двух...	если переставать падать один два
Послушай, мы же на яхте, у побережья Испании. Пол!	послушать яхта побережье испания половина
Испания, родина, да?	испания родина да
Со своей матерью я не смог бы даже испанский язык выучить.	с свой матерь смочь испанский язык выучить
Она только и думала, как свалить в Штаты.	она думать свалить штат
И вот теперь ты здесь. Круг замкнулся. Это судьба.	и здесь круг замкнуться это судьба
Жизни не задашь новую программу.	жизнь задать новый программа
Почему? Это же двоичная система.	почему это двоичный система
Посмотри: мужчина - женщина, богатый - бедный, живой - мертвый...	посмотреть мужчина женщина богатый бедный живой мёртвый
- Пол. Пол, вставай! - А что, это интересно.	половина половина вставать а что это интересно
- Что ты делаешь? - Ничего, просто иду в отпуск.	что делать ничто просто идти отпуск
Барбара!	барбара
Детка! Осторожнее с этой вещью! Там файлы компании! Вики, извини.	детка осторожный вещь там файл компания вика извинить
Вот! Теперь акции пошли ко дну!	вот теперь акция послать к дно
Что ты сделала?! Ты спятила, что ли? Совсем дура?	что сделать ты спятить ли совсем дура
Очнись, Пол! Оглянись вокруг! Как прекрасно!	очнуться половина оглянуться вокруг как прекрасно
Должно быть, будет великолепный закат!	должный быть великолепный закат
"""Должно быть, будет великолепный закат!"". Что ж, здорово!"	должный быть великолепный закат что ж здорово
Это действительно меняет дело!	это действительно менять дело
Правда, есть одна неувязка - эти файлы были только на диске!	правда один неувязка файл диск
Но я не напрягаюсь, нет! Я не напрягаюсь!	но напрягаться нет я напрягаться
Черт, Пол, ты так напрягаешься, что у тебя скоро задница лопнет!	черта половина напрягаться скоро задница лопнуть
Дети мои, вы не подвинетесь? Это последние лучи, а вы мне все загораживаете.	ребёнок мой подвинуться это последний луч загораживать
Помнишь, дорогая, как мы тоже с тобой воевали?	помнить дорогой ты воевать
Мне хотелось выбросить тебя за борт.	я хотеться выбросить борт
Это было бы дешевле.	это дешёвый
Эй, вы слышите?	эй слышать
Да, это доносится из деревни.	да это доноситься деревня
Наверное, какое-нибудь религиозное празднество.	наверное какоенибудь религиозный празднество
Как раз то, что нам нужно, - хор монахинь.	как то мы нужно хор монахиня
Я собираюсь освежиться. Увидимся. Прошу прощения.	я собираться освежиться увидеться просить прощение
Что-то мне не нравится эта туча.	чтоть нравиться этот туча
Еще бы, это же самая настоящая буря.	ещё бы это самый настоящий буря
Так, дорогие мои, убираем все с палубы или крепим веревками.	так дорогой мой убирать палуба крепить верёвка
Эта туча движется прямо на нас.	этот туча двигаться прямо мы
Не мешало бы отплыть от этого рифа.	не мешать отплыть риф
- Поднять якорь! - Разумеется! А где он?	поднять якорь разумеется а он
Я нашла!	я найти
- Не смотри за борт, морской волк! - Ничего!	не смотреть борт морской волк ничто
Черт!	черта
- Смотрите! - Держитесь!	смотреть держаться
Боже!	бог
- Ребята, все хорошо? - Да!	ребята хорошо да
- Да! - Я схватился!	да я схватиться
- Да? - Да!	да да
- Ховард! На помощь! Ховард! - Вики!	ховард на помощь ховард вика
Спокойно, родная.	спокойно родной
Пол, дай мне руку.	половина дать рука
- Все хорошо, Вики, все хорошо. - Я передам сигнал бедствия.	весь хорошо вика хорошо я передать сигнал бедствие
Все хорошо, Вики, хорошо.	весь хорошо вика хорошо
- Милая, ты можешь пошевелить ногой? - Нет, нет. Не могу, не могу.	милый мочь пошевелить нога нет нет не мочь мочь
Радио каюк, компьютеру тоже!	радио каюк компьютер тоже
Ладно, вот что: возьми это и дай ракету в сторону берега. Скорее!	ладный что взять это дать ракета сторона берег скорее
Не волнуйся, дорогая. Мы тебя отсюда вытащим.	не волноваться дорогой мы отсюда вытащить
Эй, вы!	эй вы
Куда, черт побери, все подевались?	куда черта побрать подеваться
Проклятье!	проклятие
Придется взять лодку и сплавать на берег за помощью.	прийтись взять лодка сплавать берег помощь
Хорошо, плывите вы с Полом. Я остаюсь с Вики.	хорошо плыть полый я оставаться вика
- Это моя яхта. - Ховард, прошу тебя.	это яхта ховард просить ты
- Я остаюсь здесь. - Ладно.	я оставаться здесь ладный
- Хорошо, держи. - Спасибо.	хорошо держать спасибо
Вики, я скоро вернусь. Хорошо?	вика скоро вернуться хорошо
- Ой, мама, мама, мама, мама... - Потерпи, милая. Потерпи.	ой мама мама мама мама потерпеть милый потерпеть
Держись, Вики, ладно? Держись.	держаться вика ладный держаться
- Думаешь, мы их вытащим? - Если эта калоша не потонет!	думать вытащить если этот калоша потонуть
Ховард!	ховард
Мы умрем?	мы умереть
Вот еще! Ты подумай: мы с тобой - и пережили крушение, дорогая!	вот ещё ты подумать ты пережить крушение дорогой
Мы-то, похоже, выживем, но если буря усилится, Ховарду и Вики конец.	мытый похоже выжить буря усилиться ховард вика конец
- Проклятье, что это было? - Наверное, мы задели за камень.	проклятие это быть наверное задеть камень
Хорошо бы, если так.	хорошо бы так
Лодка течет, может, можно чем-нибудь вычерпать?	лодка течь мочь чемнибыть вычерпать
Нечем, придется выкинуть ее на помойку!	нечего прийтись выкинуть помойка
- Там что-то в воде. - Что?	там чтоть вода что
Я не знаю. Я что-то почувствовала.	я знать я чтоть почувствовать
Я ничего не вижу.	я видеть
Вики, убери голову!	вика убрать голова
- Зачем они стреляют? - Только бы это были не акулы!	зачем стрелять только это акула
Ладно, мы возвращаемся!	ладный возвращаться
Ты спятила? Мы туда не доплывем! Нам и до помойки-то теперь не добраться!	ты спятить мы туда доплыть мы помойкито добраться
Да?	да
Черт!	черта
- Выбрось его! - Что?	выбросить он что
Бросай мотор!	бросать мотор
Давай!	давать
Греби!	грести
Давай же!	давать же
Посмотрим еще, чья возьмет!	посмотреть ещё чей взять
- Давай! - Как ты гребешь этой штукой?	давать как грести штука
Где, черт возьми, все?	где черта взять весь
Этого только не хватало!	это хватать
Сюда.	сюда
Постой! Голоса!	постоять голос
Они там, в церкви!	они там церковь
<i>Тайный орден Дагона</i>.	iтайный орден дагонаi
Эй! Нам нужна помощь!	эй мы нужный помощь
Помогите, пожалуйста!	помочь пожалуйста
Что за дьявольщина тут творится?	что дьявольщина твориться
Какая странная церковь!	какой странный церковь
Да?	да
Нам нужна полиция!	мы нужный полиция
- Нам нужна полиция! - И врач!	мы нужный полиция и врач
Нам нужен врач! Наша яхта разбилась! Наши друзья ранены!	мы нужный врач наш яхта разбиться наш друг раненый
- Где? Покажите мне. - Идемте.	где показать я идти
Вон там! Вон!	вон там вон
- Нам придется плыть туда. - Невозможно, буря!	мы прийтись плыть туда невозможно буря
Но на яхте люди!	но яхта человек
Эй, эй, ребята! Они нам помогут?	эй эй ребята они мы помочь
Отвезите мужчину на яхту. Я останусь с женщиной.	отвезти мужчина яхта я остаться женщина
Они доставят вас туда.	они доставить туда
- Он говорит, что они возьмут нас. - Скорее! Поехали!	он говорить взять мы скорее поехать
Может быть, один из вас останется и сообщит полиции?	мочь быть остаться сообщить полиция
Что еще?	что ещё
Он говорит, что кто-нибудь должен остаться и сообщить полиции.	он говорить ктонибыть должный остаться сообщить полиция
Сеньорита может остаться.	сеньорита остаться
Ладно, ты остаешься.	ладный оставаться
Нет, нет. Ты боишься кораблей. Я сама поеду.	нет нет ты бояться корабль я сам поехать
Ничего, не волнуйся.	ничто волноваться
Правда, мне как-то не по душе оставлять тебя с этим типом.	правда както душа оставлять это тип
У меня от него мурашки по коже.	у мурашка кожа
Я помогу сеньорите найти полицию и врача.	я помочь сеньорита найти полиция врач
Ладно. Послушай, будь осторожен, хорошо?	ладный послушать быть осторожный хорошо
Да. Одно из двух...	да один два
Не работает? В отеле есть телефон.	не работать в отель телефон
"- В отеле? - Да, в отеле ""Море""."	в отель да отель мор
Вы сообщите полиции, я приведу врача.	вы сообщить полиция привести врач
- Спасибо. - Не за что.	спасибо не что
Пожалуйста, мне нужен телефон. Это срочно.	пожалуйста нужный телефон это срочно
Священник сказал, что можно воспользоваться вашим телефоном, чтобы вызвать полицию. Да?	священник сказать воспользоваться ваш телефон вызвать полиция да
Так Вы дадите мне, наконец, позвонить?	так вы дать я наконец позвонить
А ну, отстань!	а ну отстать
Отец, он на меня напал! Отец! Отец!	отец напасть отец отец
Вот так, причаливайте к борту!	вот так причаливать борт
Ховард, Вики, я приехал!	ховард вика приехать
Ховард!	ховард
Вики!	вика
Ховард!	ховард
А ваши друзья?	а ваш друг
Сеньорита поехала за полицией.	сеньорита поехать полиция
Куда?	куда
В Сантьяго, 50 километров. В Имбоке нет полиции.	в сантьяго 50 километр в имбок полиция
Она сказала, что зайдет в отель. Она приедет через час.	она сказать зайти отель она приехать час
Какой отель?	какой отель
Я должен тут кое с кем встретиться, с одной женщиной.	я должный кой кто встретиться один женщина
Сеньорита.	сеньорита
Нет?	нет
Сеньорита?	сеньорита
Ну, тогда хоть дайте мне комнату, пока она не вернется.	ну дать комната пока вернуться
Комнатейра, пожалуйста.	комнатейра пожалуйста
Ну, комнату, пожалуйста.	ну комната пожалуйста
Премного благодарен.	премного благодарный
Она наверху?	она наверху
Она наверху, да?	она наверху да
Он здесь. Он пошел в номер. Мы его возьмем.	он здесь он пойти номер мы взять
Я ни черта не понимаю.	я черта понимать
Что за поганое дерьмо?!	что поганый дерьмо
Барбара?	барбара
Я так рад, что ты вернулась.	я рад вернуться
Что же это?	что это
Давай!	давать
Что вам угодно?	что угодный
Дерьмо!	дерьмо
Нет!	нет
О, нет!	о нет
Ксавьер, он ушел. Он в сушильне.	ксавьер уйти он сушильня
В сушильне? Хорошо. Не будем медлить.	в сушильня хорошо не быть медлить
О, боже мой, Ховард!	о бог мой ховард
Подожди немного!	подождать немного
Помогите! Помогите! Помогите!	помочь помочь помочь
- Ты, придурок, заткнись! - Помогите!	ты придурок заткнуться помочь
Что с вами, кретины? Зачем вы это делаете?	что вы кретин зачем это делать
Ты должен мне помочь. И больше - ни звука, тишина, ты понимаешь?	ты должный помочь и звук тишина понимать
Ты понимаешь?	ты понимать
Да. Хорошо, не надо.	да хорошо надо
Почему, почему они убили моего друга?	почему почему убить мой друг
Они взять его лицо. Они убить тебя. Они взять твое лицо.	они взять лицо они убить ты они взять твой лицо
Там, на яхте, была женщина.	там яхта женщина
Она умереть. Две женщины умереть.	она умереть два женщина умереть
Две женщины?	два женщина
Да. Женщина с яхты, женщина ходить с тобой в церковь.	да женщина яхта женщина ходить ты церковь
Женщина, которая ходила со мной в церковь, умерла?	женщина который ходить я церковь умереть
- Да. Они убивать. - Откуда ты знаешь?	да они убивать откуда знаешь
Я видеть, как они убивать. Женщины...	я видеть убивать женщина
Они умереть.	они умереть
Никто не уходить из Имбока. Люди приходить, никто не уходить.	никто уходить имбок человек приходить никто уходить
Но зачем? Почему вы убиваете нас? Что мы вам сделали?	но зачем почему убивать мы что сделать
Ты, конечно, думать, Иезекиль псих.	ты конечно думать иезекиль псих
Но я говорить тебе правда. Я говорить тебе тайна, тайна Имбока.	но говорить ты правда я говорить ты тайна тайна имбок
Очень давно Имбока быть другая.	очень давно имбок другой
Люди Имбоки почитать Христос. Город Бога.	человек имбока почитать христос город бог
Я быть...	я быть
Сын рыбака.	сын рыбак
Мы бедные, в океане нет рыба. Поэтому мы молиться.	мы бедный океан рыба поэтому молиться
Но Бог, он не отвечать.	но бог отвечать
Тогда приходить капитан Камбарро.	тогда приходить капитан камбарро
Он великий человек, он плавать в большой Тихий океан, чтобы найти золото.	он великий человек плавать большой тихий океан найти золото
Он говорить: люди в Имбока дураки, что они молиться Богу, который не отвечать молитва.	он говорить человек имбок дурак молиться бог который отвечать молитва
Он говорить, что знать Бог, который отвечать молитва, который давать рыба, и не только.	он говорить знать бог который отвечать молитва который давать рыба только
"Священник говорить ""нет""."	священник говорить нет
Но капитан говорить, что он привести великий бог Дагон в Имбока.	но капитан говорить привести великий бог дагон имбок
Я в первый раз услышать молитва о пище.	я один услышать молитва пища
Иа! Иа! Кастулу фатага!	иа иа кастул фатаг
Лучше бы я не слышать.	хороший слышать
Лучше бы я не видеть.	хороший видеть
Скоро Имбока богатый.	скоро имбок богатый
Много рыба и много золото.	много рыба золото
Золото из море.	золото мор
Люди любить золото.	человек любить золото
Люди идти против Бог, не слушать Христос.	человек идти против бог слушать христос
Весь Имбока молиться Дагон. Все хорошо знать Дагон.	весь имбок молиться дагон весь знать дагон
Весь Имбока молиться Дагон.	весь имбок молиться дагон
