cleaned_text	lemm_text
[Напевая] Казалось бы всё что видишь ты -	напевать казалось весь видеть
Насилие в фильмах и секс по ТиВи.	насилие фильм секс тивить
Но где же все те Морали столпы	но тот мораль столп
На что опереться мне?	на опереться я
Как хорошо, ты в семье	как хорошо семья
Как хорошо, что просто Есть те, которым можно	как хорошо просто есть тот который
Воистину дать смех и	воистину дать смех
Слезы тебе.	слеза ты
Ты в своей семье!	ты свой семья
Должен сказать, чувствую какое-то странное удовлетворение...	должный сказать чувствовать какоеть странный удовлетворение
когда вижу как черный шар сваливает все эти самодовольные белые кегли.	видеть чёрный шар сваливать самодовольный белые кегль
Не вини их за то, что они самодовольны.	не вини то самодовольный
Черный шар к ним явился неприглашенным	чёрный шар явиться неприглашенный
Черный шар все сделал правильно!	чёрный шар сделать правильно
Если черный шар тут не причем - то бояться нечего	если чёрный шар причём бояться нечего
Интересно, что творится там внизу.	интересно твориться внизу
"Джуд Хиш*? *: Актер из комедии положений ""Dear John"""	джуда хиш актёр комедия положение dear john
Эй.	эй
Что происходит?	что происходить
Ничего.	ничто
Хорошо.	хорошо
Ребята, привет. Ваш экипаж здесь.	ребята привет ваш экипаж здесь
Эй, ты как раз вовремя! Морт в одном шаре от идеальной игры.	эй вовремя морт один шар идеальный игра
О Боже. Давление слишком велико.	о бог давление слишком большой
Я потерял контроль над своим мочевым пузырем.	я потерять контроль свой мочевой пузырь
Почему я не зажимаю свой пенис прищепкой, как советует Мюриель?	почему зажимать свой пенис прищепка советовать мюриель
О Боже, ты сделал идеальную игру.	о бог сделать идеальный игра
"Я лишь никогда не переставал верить. Скажем ""Нет!"" наркотикам!"	я лишь переставать верить скажем нет наркотик
Здорово, Морт, расслабся. Ты что, думаешь, был самим Господом Богом	здорово морт расслабиться ты что думать сам господь бог
Нет, он вон там.	нет вон там
Эй, хочешь посмотреть, что я могу? хорошо, готова? Смотри.	эй хотеть посмотреть мочь хорошо готовый смотреть
Пиво, кружка. Ок, видишь?	пиво кружка ок видеть
Во. Представь, я тут отойду на минутку.	в представить отойти минутка
О, твою мать!	о твой мать
Само льется, ух ты! Удивительно.	сам литься ух ты удивительно
Никогда не видет, чтоб кто-нибудь так делал. Хочешь куда-нибудь пойти?	никогда видти ктонибыть делать хотеть куданибудь пойти
Сейчас приду. Схожу по-маленькому.	сейчас прийти сходить помаленький
Ок, все готовы? Эй, а где Куагмайр?	ок готовый эй куагмайра
Куагмайр: Может, сядешь и сделаешь то, для чего пришла?	куагмайра мочь сесть сделать то пришлый
Скандал в кегельбане Куахога сегодня вечером...	скандал кегельбан куахог сегодня вечером
где местный житель, Глен Куагмайр...	местный житель глен куагмайра
был обвинен в подглядывании в дамской комнате.	обвинить подглядывание дамский комната
А теперь: Дайана - толстуха.	а теперь дайана толстуха
Он твой, Джо.	он твой джо
Тебе повезло, что у меня есть здесь кое-какие связи...	ты повезти коекакий связь
благодаря моим 18ти медалям за героизм.	благодаря мой 18ть медаль героизм
Опять он завел про медали.	опять завести медаль
Эй, Джо, если ты так любишь свои медали, почему бы тебе не жениться на них?	эй джо любить свой медаль почему ты жениться они
Я как-то проделал что-то подобное.	я както проделать чтоть подобный
И на случай вашей смерти...	и случай ваш смерть
вы бы хотели оформить страховку для вашей жены?	хотеть оформить страховка ваш жена
Ага.	ага
И ваша жена - кусок пирога?	и ваш жена кусок пирог
Правильно. Люблю тебя!	правильно любить ты
Хорошо, распишитесь здесь.	хорошо расписаться здесь
А знаете что? Можете взять и отменить это.	а знаете что мочь взять отменить это
Так, так. Смотрите, кто пришел.	так так смотреть прийти
Подожди, подожди. Смотри, я знаю, что здесь должны быть извинения...	подождать подождать смотреть знать должный извинение
так что, Лоис, скажи Куагмайру, что извиняешься за то, что его арестовали.	что лоис сказать куагмайра извиняться то арестовать
Прости меня? Это он - тот, кто должен извиняться передо мной.	простить я это тот должный извиняться перед я
Он подсматривал за мной в туалете!	он подсматривать я туалет
Хорошо. Ясно, что он считает тебя привлекательной, Лоис. Это замечательно.	хорошо ясно считать привлекательный лоис это замечательный
Спасибо тебе, Гленн, за комплимент нашей семье.	спасибо ты гленна комплимент наш семья
Хватит, мы не можем больше терпеть его неуважения к женщинам.	хватить мочь терпеть неуважение женщина
Мы напишем властям, чтобы его отселили.	мы написать власть отселить
Да, я не хочу привести ребенка в мир, где живет этот бабник.	да хотеть привести ребёнок мир жить бабник
Во первых, Бонни, скажи: ты была беременна шесть лет, правильно?	в один бонний сказать беременный шесть год правильно
решала бы раньше: или иметь ребенка, или нет.	решать ранний иметь ребёнок нет
Во-вторых, Куагмайр - хороший парень. Только немного взбаламошный.	вовторое куагмайра хороший парень только немного взбаламошный
-Это не средняя прожарка. -Тогда заставь их забрать.	это средний прожарка тогда заставить забрать
Извините за это.	извинить это
Во-вторых, Куагмайр - хороший парень. Только немного взбаламошный.	вовторое куагмайра хороший парень только немного взбаламошный
Все. Да ладно! Дайте ему еще шанс, а?	весь да ладный дать шанс а
Ладно. Но еще один такой случай как в боулинге...	ладный но случай боулинг
и Куагмайр здесь жить не будет.	куагмайра жить быть
Теперь, не беспокойся об этом, Куагмайр.	теперь беспокоиться это куагмайра
Твои друзья помогут тебе изменить твои манеры.	твой друг помочь ты изменить твой манера
Не знаю, Питер. Я не уверен, что смогу.	не знать питер я уверенный смочь
Куаграйр: Мег, уйди!	куаграйра мег уйти
Ладно, Глен. Это упражнение должно научить тебя самоконтролю.	ладный глен это упражнение должный научить самоконтроль
"Вот свежий каталог ""Секрет Виктории""."	вот свежий каталог секрет виктория
О, Господи. О, Господи. Мертвые котята. Мертвые котята.	о господь о господь мёртвый котёнок мёртвый котёнок
Старые монашки. Действительно старые монашки.	старое монашка действительно старое монашка
Рене Зельвегер. Ну, приехали.	рен зельвегер ну приехать
-Все в порядке. -Хорошо получилось. Хорошо.	весь порядок хорошо получиться хорошо
Питер, ты уверен, что Куаграйр готов появиться на людях?	питер уверенный куаграйра готовый появиться человек
Не о чем беспокоится, Лоис.	не беспокоиться лоис
Мы разработали надежный метод реабилитации.	мы разработать надёжный метод реабилитация
Меня навел на мысль тот конус, который носил Брайан после операции.	я навести мысль конус который носить брайан операция
ОК, если я сделаю это, то мы все будет трахаться.	ок сделать это трахаться
Да! Очко! Очко!	да очко очко
