cleaned_text	lemm_text
Возвращайся спать, Кеннет. Мама должна работать.	возвращаться спать кеннет мама должный работать
Подожди секундочку, подожди...	подождать секундочка подождать
Сука!	сук
"""Багровая мгла"""	багровый мгла
<i>Экстренные службы среагировали</i>	iэкстренный служба среагировалиi
<i>на скопление транспорта на севере 95-го шоссе.</i>	iна скопление транспорт север 95го шоссеi
<i>Полицейский департамент Фортхэвена советует автомобилистам</i>	iполицейский департамент фортхэвен советовать автомобилистамi
<i>избегать всех подъездных путей</i>	iизбегать подъездный путейi
<i>к окружной больнице Фортхэвена до дополнительного уведомления.</i>	iк окружный больница фортхэвен дополнительный уведомленияi
<i>Это звучит плохо, друзья,</i>	iэтый звучать плохо друзьяi
<i>поэтому оставайтесь на волне Фортхэвен 87.3,</i>	iпоэтому оставаться волна фортхэвен 873i
<i>относительно всех новостей, которые происходят.</i>	iотносительно новость который происходятi
<i>Я - Ден Мэстерс. И далее на...</i>	iя ден мэстерс и далее наi
Жизненно важные органы?	жизненно важный орган
До сих пор фибрилляция желудочков, 20 минут.	до сей пора фибрилляция желудочек 20 минута
Продолжайте непрямой массаж сердца.	продолжать непрямой массаж сердце
Заряд дефибриллятора, 360.	заряд дефибриллятор 360
Внимание.	внимание
- Остановка сердца. - Нулевой сигнал на выходе.	остановка сердце нулевой сигнал выход
- Ничего. - Доктор Томас.	ничто доктор томас
Мы пробуем снова.	мы пробовать снова
Мы остановимся.	мы остановиться
Руководство команды, которое уверенно в себе и оперативно...	руководство команда который уверенно оперативно
ни один пациент не может просить большего.	пациент просить больший
Ладно, положите мистера Д. обратно в его коробку,	ладный положить мистер далее обратно коробка
и все отчитываются передо мной в моем кабинете для разбора полётов.	отчитываться перед я мыть кабинет разбор полёт
Вперед и вверх.	вперёд вверх
Ты справилась, Кэт.	ты справиться кэт
Йо, Кэт!	йо кэт
- Когда-нибудь делала это с манекеном? - Господи.	когданибудь делать это манекен господь
Гаррис, Гаррис.	гаррис гаррис
Извини. Я собирался позвонить тебе.	извинить я собираться позвонить ты
Я уже почти собрался, если это будет каким-то утешением.	я собраться это какимтый утешение
Нет.	нет
Это ваши вундеркиндеры?	это ваш вундеркиндер
Наша работа в безопасности.	наш работа безопасность
- За мной. - Так что с Гаррисом?	за я так гаррис
Его последний исследовательский проект был высок по амбициям,	он последний исследовательский проект высокий амбиция
но низок по безопасности пациента.	низкий безопасность пациент
Они прекратили финансирование и перевели его сюда.	они прекратить финансирование перевести сюда
Ага, с остальными отбросами.	ага остальной отброс
Каковы адренергические эффекты от лекарств первого ряда при остановке сердца?	каков адренергический эффект лекарство первое ряд остановка сердце
Увеличение коронарного диастолического давления,	увеличение коронарный диастолический давление
увеличение эндокардиоперфузии во время сокращений.	увеличение эндокардиоперфузия время сокращение
Скажи мне, что это твой не самый лучший удар.	сказать я это твой самый хороший удар
Позёрство.	позёрство
Господи, вам, двум хреновым умникам, надо гораздо чаще выходить наружу!	господь вы два хреновый умник гораздо чаща выходить наружу
- О, Харриет, ты весьма остра, а? - Ладно.	о харриета весьма острый а ладный
Хватит уже. Сегодня мы отдыхаем.	хватить уже сегодня отдыхать
Черт... чуваки.	черта чувак
Я не могу. Мне надо выяснить, почему Мистер Д. не добился своего сегодня.	я мочь я выяснить почему мистер далее добиться свой сегодня
Кэт, ты же знаешь, что Мистер Д. без мозгов и сделан из пластика, верно?	кэт знаешь мистер далее мозги сделать пластик верно
Как любой хренов парень. На хрен Мистера Д.	как люба хреновый парень на хрен мистер далее
Я уверена - ты что-то задумала, Харриет.	я уверить чтоть задумать харриета
Вовсе нет. Я всё ещё жду звонка от Мистера Б. Я чувствую себя такой использованной.	вовсе нет я весь ещё ждать звонок мистер б я чувствовать использовать
- Джейк собирается быть там. - И?	джейк собираться там и
"Что ж, мне надоела эта ""Я слишком занята для бойфренда"" хрень."	что ж надоесть этот я слишком занятый бойфренд хрень
Ты горяча. Он горяч. Пускай это случится.	ты горячить он горячий пускай это случиться
