cleaned_text	lemm_text
ДИНАМИЧНАЯ МУЗЫКА	динамичный музыка
-Вудик, ко мне!	вудик ко
Я кому сказал - ко мне!	сказать ко
Вудик!	вудик
ТРЕВОЖНАЯ МУЗЫКА	тревожный музыка
ПЁС ЛАЕТ	пес лаять
-Э-э, парень!	э э парень
Ты чего?	
Слышь, парень!	слышь парень
Вудик, а чего это с ним?	вудик это
ПЁС ЛАЕТ	пес лаять
Вроде молод ещё, чтоб так напиваться.	вроде молодой напиваться
ПЁС ЛАЕТ	пес лаять
ТРЕВОЖНАЯ МУЗЫКА	тревожный музыка
СТУК В ДВЕРЬ	стук дверь
-Да-да.	
-Разрешите?	разрешать
-Да, товарищ заместитель, заходите.	товарищ заместитель заходить
ЗВОНОК ТЕЛЕФОНА	звонок телефон
-У нас убийство.	убийство
-Уже?	
-Первое за восемнадцать лет.	первый восемнадцать год
-Эх, Витя, Витя...	эх витя витя ...
Тихое место, спокойное, с экологией.	тихий место спокойный экология
-У нас убийство, товарищ майор.	убийство товарищ майор
-Я вот всё думаю, а мой предшественник	думать предшественник
чего так рано на пенсию вышел?	рано пенсия выходить
Проблемы со здоровьем?	проблема здоровье
-Не думаю. Он мастер спорта по городошному спорту.	думать мастер спорт городошный спорт
Ваш предшественник - подполковник Рагулин.	ваш предшественник подполковник рагулин
-Рагулин...	рагулин ...
-У нас убийство, товарищ майор. Понимаете?	убийство товарищ майор понимать
-Я понимаю, товарищ капитан, первое за 18 лет.	понимать товарищ капитан первый 18 год
-След взяла только до дороги, значит, на машине отсюда уехали.	след взять дорога значит машина отсюда уезжать
-Посмотри ещё по верху.	посмотреть верх
Тараненко, что имеем?	тараненко иметь
-Да пока не много имеем, товарищ майор.	пока иметь товарищ майор
Возле тела обнаружены две пары следов.	возле тело обнаруживать пара след
Ботинки 41-го и, скорее всего, кроссовки 43 размера,	ботинок 41 го скоро кроссовок 43 размер
это исключая следы обнаружившего тело гражданина Горина.	это исключая след обнаруживать тело гражданин горин
Он допрошен и отпущен.	допрашивать отпускать
Грибник. Это он с собакой обнаружил тело, когда из леса вышли.	грибник это собака обнаруживать тело лес выходить
-Причём следов самого мальчика не обнаружено.	причем след мальчик обнаруживать
-Значит, убивали не здесь.	значит убивать
-Наверняка сюда привезли уже тело.	наверняка сюда привозить тело
-Личность убитого?	личность убивать
-Васька. Гринёвых сын.	васька гринев сын
Вот же беда, твою мать! С моим - в одном классе.	беда твой мать класс
Двадцать одно ножевое, включая прямое в сердце.	двадцать ножевой включая прямой сердце
СВИСТИТ	свистеть
Предполагаемая длина орудия преступления - 15-14 сантиметров.	предполагаемый длина орудие преступление 15 14 сантиметр
-Столько ранений... Маньяк, что ли?!	столько ранение ... маньяк ?!
Ещё и нервный. Или два маньяка.	нервный маньяк
Может, второй только помогал тело тащить?	второй помогать тело тащить
-Не такой уж и нервный.	нервный
На лице ни одного пореза, тело положил как подарок.	лицо порез тело полагать подарок
Со всех холмов видно, первый грибник сразу - рядом тропинка - заметит.	весь холм видно первый грибник сразу рядом тропинка замечать
Предполагаемое время убийства?	предполагать время убийство
-Ну это после вскрытия.	это вскрытие
-Хорошо.	
ТЯЖЁЛЫЙ ВЗДОХ	тяжелый вздох
-Вот зараза...	зараза ...
-Ребята! В семье Алёны Черновой случилось несчастье.	ребята семья алена черновой случаться несчастие
Неизвестные бандиты совершили покушение на её маму.	неизвестный бандит совершать покушение мама
Я прошу вас поддержать её в этот трудный момент	просить поддерживать трудный момент
и учитывать этот факт при общении с ней.	учитывать факт общение
Алёна пережила шок, но с сегодняшнего дня она снова посещает школу.	алена переживать шок сегодняшний день снова посещать школа
-Вы бы, Юлия Сергеевна, сразу на доске ссылку на видео написали.	юлия сергеевна сразу доска ссылка видео написать
У вас с головой всё в порядке?	голова порядок
-Красавина, встала и вышла вон из класса.	красавина вставать выходить вон класс
Быстро!	быстро
-Знаете что, Юлия Сергеевна, лучше бы эти отморозки пришли и вас убили.	знать юлия сергеевна отморозок приходить убивать
-Ты что такое несёшь, Чернова? -Что слышали.	нести чернов слышать
Нужно убивать не таких, как моя мама, а таких дур, как вы.	нужно убивать мама дура
-Ты куда пошла? Ты куда пошла? Я тебя не выпускала из класса!	пойти пойти выпускать класс
-Ну? Это он?	это
Васенька?	васенька
ЖЕНЩИНА ПЛАЧЕТ	женщина плакать
А слушай... А ты же... ты же близорукий.	слушать ... ... близорукий
У тебя же минус два.	минус
Я тебе давно говорила, что тебе нужно очки носить.	давно говорить нужно очки носить
Ты мог обознаться. Слышишь?	мочь обознаваться слышать
Скажите, это же не Васенька? Правда?	сказать это васенька правда
Послушайте, пойдёмте вместе со мной.	послушать пойти вместе
Вы меня слышите?	слышать
Ну я... я буду опознавать.	... опознавать
-Тело для похорон сможете забрать не раньше, чем через неделю.	тело похороны смочь забирать рано неделя
Оно сейчас улика. Нужно для судмедэксперта.	оно улика нужно судмедэксперт
Держитесь, тёть Зин.	держаться тетя зина
И вы, дядь Толь, держитесь.	дядь толь держаться
ЖЕНЩИНА ПЛАЧЕТ	женщина плакать
-Ну я, конечно, понимаю, у девочки психическая травма.	понимать девочка психический травма
Потерять одного из родителей в таком возрасте	потерять родитель возраст
и при таких обстоятельствах, пусть и временно...	обстоятельство пусть временно ...
Но вы и меня должны понять.	должный понимать
Существует педагогический авторитет, учебная субординация.	существовать педагогический авторитет учебный субординация
-Что вы предлагаете? -Только одно.	предлагать
Чтобы Алёна при всех извинилась перед Юлией Сергеевной.	алена извиняться юлия сергеевна
-За что? Я, что ли, виновата, что она дура?	виноватый дура
-Но это ни в какие ворота... -Я не буду перед ней извиняться.	это ворота ... извиняться
Я просто назвала вещи своими именами, и всё.	просто называть вещь свой имя
-Ну, в таком случае у меня нет иного выхода,	случай иной выход
как исключить Алёну из нашей школы.	исключать алена наш школа
-С превеликим удовольствием.	превеликий удовольствие
-Выйди за дверь, подожди меня там.	выходить дверь подождать
-Вы видели, я сделала всё, что могла.	видеть сделать мочь
-Вы знаете, я в прошлом тоже педагог.	знать прошлый педагог
И если честно...	честно ...
если бы я оказалась на месте Алёны,	оказываться место алена
я бы вашей Юлии Сергеевне сказала ровно то же самое.	ваш юлия сергеевна сказать ровно самый
Всего вам хорошего.	хороший
-Майор Борисов. Ваш заместитель по угро.	майор борисов ваш заместитель угро
-Мы с капитаном собрались к родителям мальчика. Составите нам копанию?	капитан собираться родитель мальчик составлять копание
-Как я понял, в Москве начальники ОВД непосредственно занимаются	понимать москва начальник овд непосредственно заниматься
преступлениями, совершёнными на территории обслуживания?	преступление совершенный территория обслуживание
А пристяжными у них выступают заместители по работе	пристяжной выступать заместитель работа
с личным составом.	личный состав
-Как я понял, вы, в отличие от предыдущего начальника,	понимать отличие предыдущий начальник
больше по конюшням специализируетесь, да? Или повысили уровень квалификации	конюшня специализироваться повышать уровень квалификация
до уровня, позволяющего хамить вышестоящему начальству. Вот что,	уровень позволять хамить вышестоящий начальство
майор, устали, наверное? Отдыхайте сегодня.	майор уставать наверное отдыхать сегодня
Дежурный! -Да.	дежурный
-Майора в здание не пускать. -Так точно.	майор здание пускать точно
-Это приказ. Поехали.	это приказ поехать
-От калитки до окна комнаты мальчика обнаружены узкие следы.	калитка окно комната мальчик обнаруживать узкий след
-Сорок первый, сорок третий?	сорок первый сорок третий
-Только сорок первый. Отпечатков на фрамуге нет, окно было открыто,	сорок первый отпечаток фрамуга окно открывать
так преступник и проник в комнату.	преступник проникать комната
-Т.е. похищал он в одиночку, а тело на поляну подкладывал с подельником?	т е похищать одиночка тело поляна подкладывать подельник
-Вероятно, хотя логичнее было бы наоборот.	вероятно хотя логичный наоборот
-День рождения был у соседа, у Володьки Захаренкова.	день рождение сосед володька захаренкова
Вышли мы из дома.	выходить дом
"-Васенька уже в кровати лежал. Читал ""Трёх мушкетёров""."	васенька кровать лежать читать мушкетер
Понимаете, он у нас такой был...	понимать ...
-Старались мы, в общем, чтобы он поменьше в Интернете сидел,	стараться общий мало интернет сидеть
и всяких гаджетов-фигаджетов ему не покупали.	всякий гаджет фигаджет покупать
