cleaned_text	lemm_text
Эй-эй!	эйэй
Только не тут! Только не в моём доме!	только тут только мой дом
Что?	что
Слушайте, если я знаю о вас, не значит, что мне нравится	слушать знать вы значит нравиться
смотреть на вот это.	смотреть это
А ты не должен быть на прослушивании? Примерно час ещё?	а должный прослушивание примерно час ещё
Я извиняюсь, если я не чёрная женщина среднего возраста.	я извиняться чёрный женщина среднее возраст
И ещё я извиняюсь, если иногда хожу не на те прослушивания.	и ещё извиняться ходить тот прослушивание
И если я притворяюсь, что ничего не знаю о вас, то	и притворяться знать вы
вы могли бы притворяться, что тут нечего знать...	мочь притворяться нечего знать
Ладно. Извини.	ладный извинить
Я всё слышу!	я весь слышать
Рейчел на работе.	рейчело работа
Я ещё слышу!	я ещё слышать
Русские субтитры Dais 2008	русский субтитр dais 2008
Та серия, где Йети.	тот серия йести
- Привет! - Здравствуй. - Что это?	привет здравствовать что это
- Да, моя мама оставила мне семейные ценности,	да мама оставить семейный ценность
которые остались ещё от бабушки! Не могу поверить!	который остаться ещё бабушка не мочь поверить
Год назад у меня и семьи то не было, а тут уже семейные ценности!.. Класс.	год назад семья быть семейный ценность класс
О!, мягкая.	о мягкий
Это норка? - Да,	это норка да
Ну почему моя мать оставила мех?	ну почему мать оставить мех
Она что не знала меня совсем!?	она знать совсем
У меня же хорошее пальто, из-за которого не пострадало	у хороший пальто изз который пострадать
ни одно невинное животное.	один невинный животный
Только Филипинские дети пахали до кровавых мозолей на пальцах	только филипинский ребёнок пахать кровавый мозоль палец
за 12 центов в час.	12 цент час
Да нет же, я всё это придумал!	да же весь это придумать
Эй, Росс,	эй росс
не надо вешать здесь объявлений.	вешать объявление
Так, а все же вешают...	так вешать
А ТЫ не вешай.	а ты вешать
Что это?	что это
Просто хочу избавиться от пары вещей.	просто хотеть избавиться пара вещий
Но это же все твои вещи.	но это твой вещий
Да, все.	да весь
Это же хорошо. Эмили захочет, чтобы мы купили всё новое.	это хорошо эмиль захотеть купить весь новое
Вещи только наши. Вместе. Абсолютно новые.	вещий наш вместе абсолютно новое
