cleaned_text	lemm_text
КомМиссия?	коммиссия
Она как раз в это время проводится!	она это время проводиться
И мы поставим лоток!	и поставить лоток
Лоток? Мы будем что-то продавать?	лоток мы быть чтоть продавать
Обязательно!	обязательно
Это будет дебют фанарта Мацунаги.	это дебют фанарта мацунагой
Ямада, нам нужна твоя помощь.	ямада мы нужный твой помощь
Конечно! Это так почётно!	конечно это почётно
Этим летом КомМиссия будет наша!	это летом коммиссия наш
[ Аояма-сан ]	аоямасан
Извините, но мне звонят.	извинить звонить
Потом поговорим.	потом поговорить
Ты уже вернулся?	ты вернуться
Да.	да
Я рада.	я рада
Ты не звонил и я волновалась.	ты звонить волноваться
Прошу прощения.	просить прощение
Спасибо тебе за всё.	спасибо ты весь
Не за что.	не что
Я рада, что ты был рядом.	я рада ряд
Хочу послать тебе что-нибудь в подарок.	хотеть послать ты чтонибыть подарок
Нет такой необходимости.	нет необходимость
Чашек было достаточно.	чашка достаточно
Чашек?	чашка
Те, что я прислала?	тот прислать
Именно, я их бережно храню.	именно бережно хранить
Не надо хранить,	не хранить
они куплены для использования.	купить использование
Да вот как-то не было возможности...	да както возможность
Тогда...	тогда
Что?	что
"""Себедомой""?"	себедомой
"""Себедомой"". Это технический термин?"	себедомой это технический термин
Да, я приду.	да прийти
Не знаю такого.	не знать такой
Поездун просит помощи?	поездун просить помощь
"""Себедомой"". Нужен криптолог!"	себедомой нужный криптолог
Хорошо, до встречи.	хорошо встреча
Только что положил трубку.	только положить трубка
Она меня пригласила к себе домой.	она пригласить домой
К себе домой?	к домой
"""Себедомой"" - это ""К себе домой"". Вот оно что!"	себедомой это к домой вот оно что
Не может быть!	не быть
Капитан, это засада!	капитан это засада
Мы окружены!	мы окружить
Ответ невозможен.	ответ невозможный
ДА!	да
Требую подробностей.	требовать подробность
Когда я сказал, что не пользуюсь чашками, она пригласила меня на чай.	когда сказать пользоваться чашка пригласить чаять
А ещё она спросила:	а ещё спросить
"""Может быть завтра?""."	мочь завтра
Чай из Гермесовых чашек?	чаять гермесов чашка
Не верю!	не верить
Чашки! Из них ты будешь с ней пить чай!	чашка из быть пить чаять
Поездун, доверься мне.	поездун довериться я
Скажи завтра, что любишь её.	сказать завтра любить её
Не могу.	не мочь
Я попью чая и вернусь.	я попить чай вернуться
Нет, ты скажешь ей!	нет сказать она
Подождите! У неё дома?	подождать у она дом
Перед тем как сказать о чувствах, убедись, что нет её родителей!	перед сказать чувство убедиться её родитель
Ну она мне сказала, что никого не будет.	ну сказать никто быть
Никого не будет дома?	никто дом
Родителей не будет до самой ночи.	родитель самый ночь
Да, да, да, ДА!!!	да да да да
Поездун, это твой шанс!	поездун это твой шанс
Потрясающе! Великолепно!	потрясающе великолепно
Камикадзе! Камикадзе за Поездуна!	камикадзе камикадзе поездун
Если тебя пригласили домой, то ты достиг цели!	если пригласить домой достигнуть цель
"Это называется ""подцепить"" кого-то?"	это называться подцепить коготь
Подцепить?	подцепить
Сержант... мой пульс... пропал...	сержант пульс пропасть
Аккуратно! Не расстраивай мамочку!	аккуратно не расстраивать мамочка
Если она позвала тебя, когда никого не будет дома, то она хочет только ЭТОГО.	если позвать ты никто дом хотеть это
Я так разочарован!	я разочаровать
Что за ЭТО ты имеешь в виду?	что это иметь вид
Поездун, ты - болван. ЭТО - убийство!	поездун болван это убийство
Если ты пойдёшь к ней домой, то обязательно родится ребёнок!	если пойти домой обязательно родиться ребёнок
Я весь в гусиной коже.	я весь гусиный кожа
Неужели здесь нет больше никого, кто бы ходил к девушке в гости?	неужели никто ходить девушка гость
А меня отшивали много раз.	а отшивать раз
Спокойствие! Мы же о Гермес говорим.	спокойствие мы гермес говорить
"Рановато утверждать: ""Дом - постель"". Как считаете?"	рановато утверждать дом постель как считать
Предлагаю делать всё по шагам:	предлагать делать весь шаг
прийти к ней домой, рассказать о чувствах...	прийти домой рассказать чувство
