cleaned_text	lemm_text
ЖОРЖ КТО?	жорж кто
Мама...	мама
Ты умрешь?	ты умереть
Пиявки помогут?	пиявка помочь
Их советует Брюсе.	они советовать брюс
До завтра.	до завтра
202 кости, говоришь?	202 костя говорить
И у каждой свое название?	и каждый свой название
Подарок от щедрого доктора!	подарок щедрый доктор
Ты знал, что у мужчин и женщин отличается только одна кость?	ты знать мужчина женщина отличаться один костя
Бедро.	бедро
Люди подумали, что ты Сатана!	человек подумать сатана
Да, они вопили!	да вопить
Молодой человек, пожалуйста, снимите шляпу в святом храме.	молодая человек пожалуйста снять шляпа святой храм
А, это ты, Аврора.	а это ты аврор
Лучше надеть шляпу, тебе не следует ходить с непокрытой головой.	хороший надеть шляпа ты следовать ходить непокрытый голова
Ее бабушка - принцесса Аврора,	она бабушка принцесса аврор
но ее мать была из парижских низов.	мать парижский низы
Будто я не знаю!	будто знать
В ее роду принцессы и потаскухи.	в род принцесса потаскуха
В седле она словно сам дьявол.	в седло словно дьявол
Ее отец умер, когда ей было 4 года.	она отец умереть 4 год
Я хочу быть больше, чем возлюбленной,	я хотеть большой возлюбить
нужной, важной...	нужный важный
Я думала, что это фильм Жоржа Мельеса.	я думать это фильм жорж мельеса
А я думала – Жоржа Бернаноса.	а думать – жорж бернанос
Да что же это такое?	да это такой
Это заходит слишком далеко.	это заходить слишком далеко
Жорж Санд мастурбирует в поле!	жорж санда мастурбировать пол
Этого же не было в ее время?	это время
Думаешь, это появилось недавно?	думать это появиться недавно
<i>Под развалинами стен, среди высоких трав	iпод развалина стена среди высокий трава
<i>Оленья голова рогатая возвышалась над всем.	iолений голова рогатый возвышаться весь
<i>Героев кончен век, их благородный глас	iгерой конченый век благородный глас
<i>не славит подвигов былых.	iне славить подвиг былой
Согреемся.	согреться
Это Жанна Д`Арк! Наша народная героиня!	это жанна дарк наш народный героиня
Нет, ни за что!	нет что
<i>«О, папа, я так ошибалась», -	i«о папа ошибалась»
<i>плакала Шарлота, обнимая его.	iплакать шарлот обнимать он
<i>«Я больше не хочу часы,	i«я хотеть часы
<i>и если бы они у меня были, я бы их тут же возвратила!»	iи быть возвратила»
<i>Мсье де Фонре был очарован, видя	iмсьё де фонр очаровать видеть
<i>что сердце дочери откровенно,	iчто сердце дочь откровенно
<i>поддался натиску чувств…	iподдаться натиск чувств…
Здравствуйте, дети! Откуда вы едите?	здравствовать ребёнок откуда есть
Нам сказали, что здесь есть работа.	мы сказать работа
Идите на ферму, спросите Дэни.	идти ферма спросить дэнить
Узнайте, нужны ли вы ему.	узнать нужный он
Почитай ты, Морис…	почитай ты морис…
Какое несчастье!	какой несчастие
У меня не было носового платка!	у носовой платок
Охотник, который знает,	охотник который знать
когда высморкаться…	высморкаться…
Кази, муж мой, пойди принеси мой моток красной пряжи!	кази муж мой пойти принести мотка красный пряжа
Красной пряжи моток, какой пустячок!	красный пряжа мотка пустячок
Красные нити, как просила леди, не успеете слова произнести…	красный нить просить леди успеть слово произнести…
Джек Робинсон!	джек робинсон
Лови, сынок, красные!	ловить сынок красный
Дэни продал своих призовых быков на ярмарке в Линере,	дэнить продать свой призовой быков ярмарка линера
за 850 франков.	850 франк
Я хочу, чтобы из Парижа	я хотеть париж
ты привез мне поющую канарейку.	привезти петь канарейка
Моих двух съели.	мой два съесть
Так о чем я?	так я
И табак тоже! Здесь он отвратительный!	и табак тоже здесь отвратительный
Вы говорили о быках.	вы говорить бык
Вам повезло, сегодня в Неви	вы повезти сегодня невить
они подешевели на 50 франков за пару.	подешеветь 50 франк пара
Он купил двух пахотных быков за 750 франков.	он купить два пахотный быков 750 франк
Я вам потом покажу.	я показать
Они прибудут из Сайнтона.	они прибыть сайнтон
Там славное белое вино…	там славный белый вино…
Сайнтон очень пострадал во времена религиозных войн.	сайнтон очень пострадать время религиозный война
Мои быки еще не родились.	мой бык родиться
Они прекрасны, уверяю вас.	они прекрасный уверять вы
Ну все!	ну весь
Так больше продолжаться не может!	так продолжаться мочь
Следи за его учебой,	следить учёба
но самое главное – за его здоровьем.	самый главный – здоровье
Я на тебя рассчитываю.	я рассчитывать
Докажи, что мы друзья.	доказать друг
Я буду писать регулярно и добросовестно.	я быть писать регулярно добросовестно
Когда тебе позволят вернуться?	когда ты позволить вернуться
Я буду отправлять письма до востребования Ла Шатре.	я быть отправлять письмо востребование ла шатёр
Когда прочитаешь,	когда прочитать
сжигай их или спрячь.	сжигать спрячь
Ты знаешь, как действовать, ведь у меня есть муж.	ты знаешь действовать муж
Сынок, сегодня ночью будут танцы в Ноане, не так ли?	сынок сегодня ночью быть танец ноана ли
Однажды…	однажды…
мне довелось увидеть…	довестись увидеть…
в центральной Франции, в области Бери…	центральный франция область бери…
молодую девушку, то беспокойную, то печальную…	молодая девушка беспокойный печальную…
Я буду жить в Париже.	я быть жить париж
Одна?	один
Без мужа?	без муж
Казимир и я пришли к соглашению.	казимир прислать соглашение
Уезжаешь?	уезжать
Куда?	куда
В Париж.	в париж
Да.	да
Познакомьтесь с моим племянником, он только что прибыл из Шатро.	познакомиться мой племянник прибыть шатро
Луи Фонтан, Барон Дюдеван.	луи фонтан барон дюдевать
Фонтан, я не буду из тебя пить!	фонтан быть пить
Играй, Клод.	играть клод
Попробуй представить, что он слышит.	попробовать представить слышать
Танцует как безумец.	танцевать безумец
Или будто во сне.	или сон
Ты говорила, что Париж грязный, шумный город,	ты говорить париж грязный шумный город
и он не понравился тебе.	понравиться ты
Мое мнение не изменилось.	мой мнение измениться
Как ты будешь жить? На какие деньги?	как быть жить на какой деньга
Я не могу здесь больше жить, Урсула.	я мочь жить урсула
Каждый месяц Казимир будет присылать мне часть денег от дохода фермы.	каждый месяц казимир присылать часть деньга доход ферма
Но я хочу сама зарабатывать на жизнь.	но хотеть сам зарабатывать жизнь
Это как?	это как
Буду работать.	быть работать
