cleaned_text	lemm_text
Людям нужен экспертный каталог, руководство по неорганизованному лабиринту сети.	человек нужный экспертный каталог руководство неорганизованный лабиринт сеть
"В предыдущих сериях ""Halt and Catch Fire""..."	в предыдущий серия halt and catch fire
Это именно то, на что я надеялась!	это именно то надеяться
Людей нужно добавить. Текущая модель не масштабируема.	человек нужно добавить текущий модель масштабировать
Вы официально приняты на должность главного онтолога Comet.	вы официально принять должность главный онтолог comet
Ты живешь с Дианой, у которой больше денег, чем у всех нас, вместе взятых.	ты жить диана который деньга мы вместе взять
Это будет конец для нас.	это конец мы
Наш программер уже несколько месяцев бьется головой об стенку.	наш программер несколько месяц биться голова стенка
У нас нет алгоритма.	у алгоритм
На чем он застрял?	на застрять
За Rover и преимущественное финансирование.	за rover преимущественный финансирование
Теперь внезапно мы противостоим	теперь внезапно противостоять
капитализированному кошмару.	капитализировать кошмар
Кто написал новый алгоритм?	кто написать новый алгоритм
Я была немного удивлена.	я немного удивить
Потому что, ну, знаешь, у тебя так долго не получалось.	потому что ну знаешь долго получаться
Поэтому я просто… я должна спросить…	поэтому просто… должный спросить…
Кто написал новый алгоритм?	кто написать новый алгоритм
Я написал.	я написать
Хотя нужно отдать должное Бозу.	хотя нужно отдать должное бозу
Ему пришла отличная идея.	он пришлый отличный идея
Да, мы называем это	да называть это
“залом ожидания”.	“залом ожидания”
В реальной жизни люди стоят в очередях. Почему бы не в сети?	в реальный жизнь человек стоять очередь почему сеть
И я создал программу очереди.	и создать программа очередь
Да. Наш робот был грубым.	да наш робот грубый
Мне пришлось обучить засранца манерам.	я прийтись обучить засранец манер
Ну, развлекайся.	ну развлекаться
Нет!	нет
- О боже. - В чем дело?	о бог в дело
Это так раздражает.	это раздражать
Что это? Игра Кэмерон?	что это игра кэмерон
Я думала, что тот обзорщик просто гавнюк, но...	я думать обзорщик просто гавнюк но
...это в самом деле невозможно.	это самый дело невозможно
Как будто она не хочет, чтобы кто-нибудь победил.	как хотеть ктонибыть победить
Ты пробовала все три?	ты пробовать три
Они все возвращают тебя в начало.	они возвращать начать
Я за мороженым.	я мороженое
Эй, как думаешь, из меня выйдет хороший шпион?	эй думать выйти хороший шпион
“Я оставляю сообщения,	“я оставлять сообщение
но ты не звонишь”.	звонишь”
А что? Хочешь посмотреть что-нибудь другое?	а что хотеть посмотреть чтонибыть другой
Нет! Мне очень интересно.	нет я очень интересно
- Да? - У нее нелепый акцент.	да у нелепый акцент
Сколько раз ты смотрел	сколько смотреть
это кино?	это кино
Господи, не знаю. Слишком много. Сбился со счета.	господь знать слишком много сбиться счёт
- Четыре раза в кинотеатре. - О боже.	четыре раз кинотеатр о бог
Спокойно. Мне нравится то, что нравится.	спокойно я нравиться то нравиться
Мне нравится, что тебе нравится то, что нравится.	я нравиться ты нравиться то нравиться
Хотя совершенно неудивительно, что это твой любимый фильм.	хотя совершенно неудивительно это твой любимый фильм
Что это значит?	что это значит
Шутишь?	шутить
Разношерстная команда друзей проворачивает аферы	разношёрстный команда друг проворачивать афера
при помощи лишь заумных технических навыков	помощь лишь заумный технический навык
и щепотки решимости.	щепотка решимость
Ну...	ну
“Великолепное функционирование дается мне машинально”.	“великолепный функционирование даваться машинально”
Предсказания!	предсказание
Что у тебя?	что ты
Что? Покажи!	что показать
“Скоро я встречусь с волнующим “Тимом””.	“скоро встретиться волнующий “тимом””
Проклятье!	проклятие
И, держу пари, ему нравится свинг.	и дерзить пари нравиться свинг
Почему свинг?	почему свинг
Да, разве ты не этим занимаешься каждую пятницу?	да это заниматься каждый пятница
Роликовое дерби.	роликовый дерби
Серьезно?	серьёзно
Я даже не знаю, как ты их спутал.	я знать спутать
Ну, в мое оправдание, я был невероятно отвлечен	ну мой оправдание невероятно отвлечённый
тем, как сильно мне хотелось переспать с тобой.	тем сильно хотеться переспать ты
Хорошее оправдание.	хороший оправдание
Да?	да
Роликовое дерби?	роликовый дерби
Горячо.	горячо
Знаю. Хочешь придти завтра?	знать хотеть прийти завтра
Да. Да, да, хочу.	да да да хотеть
Постой.	постоять
Кажется, завтра девочки у меня.	кажется завтра девочка я
Ладно.	ладный
Ну, я не знаю.	ну знать
Может…	может…
Может, спрошу, захотят ли они тоже пойти.	мочь спросить захотеть пойти
Хорошо.	хорошо
Договорились.	договориться
Не возражаешь, если мы немного перемотаем?	не возражать немного перемотать
Не хочу пропустить сумасбродные приключения.	не хотеть пропустить сумасбродный приключение
Думаю, мы пропустили намного больше.	думать пропустить намного большой
Я оставляю сообщения,	я оставлять сообщение
но ты не звонишь.	звонить
Еще раз.	ещё раз
Я оставляю сообщения, но ты не звонишь.	я оставлять сообщение звонить
А потом он проделал весь путь обратно к моему дому,	а проделать весь путь обратно мой дом
чтобы привезти мне сумку, которую я забыла,	привезти сумка который забыть
потому что знал, что я люблю свое “Yoo-hoo”.	знать любить свой “yoohoo”
Можешь поверить?	мочь поверить
Эти люди - самые приятные люди на планете.	этот человек самый приятный человек планета
Не знаю, почему люди все еще живут в городах.	не знать почему человек жить город
Чтобы не надо было ехать 30 минут за продуктами.	чтобы ехать 30 минута продукт
- Я имею в виду… - Точно подмечено.	я иметь виду… точно подметить
Однако, мы были не совсем неправы.	однако неправый
Что?	что
Comet.	comet
Поиск всегда был захватом территории.	поиск захват территория
Но я думал, мы ее застолбили.	но думать застолбить
Теперь, со всеми этими деньгами,	теперь весь этот деньга
Rover сможет внедрять инновации так, как не можем мы,	rover смочь внедрять инновация так мочь мы
особенно с нынешней структурой.	особенно нынешний структура
Так что я...	так я
Я, наверное, пытаюсь сказать, что...	я наверное пытаться сказать что
ты была права.	право
Будущее - за алгоритмическим поиском...	будущее алгоритмический поиск
А! Дерьмо.	а дерьмо
Ты в порядке?	ты порядок
Да.	да
Я не знаю, почему мы ждали, чтобы переориентироваться.	я знать почему ждать переориентироваться
Думаю, сегодня я останусь в трейлере.	думать сегодня остаться трейлер
Что?	что
Пока ты туда доберешься, будет 11.	пока туда добраться 11
Хорошо. Делай что хочешь, но...	хорошо делать хотеть но
- Что? - Я действительно надеялся,	что я действительно надеяться
что утром ты придешь со мной в Comet.	утром прийти я comet
Я хотел провести с Гордоном сеанс “мозгового штурма”,	я хотеть провести гордон сеанс “мозговой штурма”
и нам бы очень пригодилась твоя точка зрения.	мы очень пригодиться твой точка зрение
Джо, я не хотела заводить тебя	джо хотеть заводить
- этим алгоритмом, хорошо? - Ты...	это алгоритм хорошо ты
- Забудь об этом. - Это не ты. Это все Rover.	забыть это это ты это rover
Вы просто должны продолжать делать то, что делаете.	вы просто должный продолжать делать то делать
У вас очень… уникальный подход.	у очень… уникальный подход
Один день, может, два.	один день мочь два
Нет. Я не хочу сейчас находиться между тобой и Гордоном.	нет я хотеть находиться ты гордон
Я не прошу тебя быть посредником.	я просить посредник
Говорю тебе, важно, чтобы мы работали отдельно.	говорить ты важный работать отдельно
Кэм, Rover надерет нам задницу.	кэм rover надраться мы задница
Это не моя вина!	это вино
Я не сказал, что это твоя вина!	я сказать это твой вино
Я...	я
Я прошу твоей помощи.	я просить твой помощь
Да, сейчас.	да сейчас
Я сказал, что ты была права.	я сказать право
Ладно, вы с Гордоном не хотели, чтобы я	ладный гордон хотеть
была частью вашего маленького клуба.	частью ваш маленький клуб
Вы меня даже не слушали.	вы слушать
Это неправда.	это неправда
Я спросил, хочешь ли ты участвовать,	я спросить хотеть участвовать
и ты отказалась.	отказаться
Я также спросил, хочешь ли ты переехать сюда,	я также спросить хотеть переехать сюда
и ты также не захотела.	также захотеть
Я все время зову тебя в трейлер.	я время звать трейлер
Я не могу стоять в этой проклятой штуке!	я мочь стоять проклятый штука
Слушай, я был с тобой очень понимающим,	слушай ты очень понимать
невероятно терпеливым.	невероятно терпеливый
Прости.	простить
Не знала, что мы ведем счет.	не знать вести счёт
"Переведено специально для сообщества ""Безудержный свун по Ли Пейсу"""	перевести специально сообщество безудержный свун ли пейс
Переводчики: Tanya852, isamat, seredez.	переводчик tanya852 isamat seredez
Технический перевод: Flex Ferrum, isamat.	технический перевод flex ferrum isamat
Коррекция: ularula.	коррекция ularula
http://leepaceswoon.diary.ru https://vk.com/leepaceswoon	httpleepaceswoondiaryru httpsvkcomleepaceswoon
Эй, Кэти на грани поражения.	эй кэти грань поражение
О, я позволяю ему победить.	о позволять победить
Умоляю... Да я тебя одной левой!	умолять да один левый
Нет!	нет
О, посмотри на это!	о посмотреть это
Гордон!	гордон
Что?	что
Я не слышу своих мыслей.	я слышать свой мысль
Ты его захотел. Ты выбрал для него место.	ты захотеть ты выбрать место
Слушай. Сегодня пятница, хорошо?	слушай сегодня пятница хорошо
У всех команд, кроме двух, очереди пусты.	у команда кроме два очередь пустой
Может, прервёшь размышления?	мочь прервать размышление
Итак, сейчас, когда я ввожу “Далласские ковбои”,	итак сейчас вводить “далласский ковбои”
первые результаты - это лучшие фан-сайты.	один результат это хороший фансайт
Ладно, значит, они усовершенствовались. Это было неизбежно.	ладный значит усовершенствоваться это неизбежно
Для нас проблема в следующих нескольких результатах.	для проблема следующий несколько результат
