cleaned_text	lemm_text
seqw0.ru	seqw0ru
Источники всех форм энергии в мире иссякли.	источник форма энергия мир иссякнуть
Люди построили новый город добывая	человек построить новый город добывать
новую энергию из своих экскрементов.	новый энергия свой экскремент
Вскоре после этого, городские власти	вскоре это городской власть
огласили два акта	огласить акт
о создании и контроле новой энергии.	создание контроль новый энергия
Первый, установить в анус каждого горожанина	один установить анус каждый горожанин
идентификационный чип,	идентификационный чип
чтобы следить за их уровнем дефекации.	следить уровень дефекация
Второй,	два
поощрять дефецирующих граждан	поощрять дефецировать гражданин
"одной ""мороженкой"" вызывающей привыкание."	один морожёнка вызывающий привыкание
Позже, объемы дефекаций достигли небес,	поздний объём дефекация достигнуть небо
а города наводнили толпы наркоманов,	город наводнить толпа наркоман
"жаждущие все больше и больше ""мороженок""."	жаждать морожёнка
"Расцвела нелегальная торговля ""мороженками"""	расцвести нелегальный торговля морожёнка
а их побочный эффект	побочный эффект
породил маленьких тупых мутантов.	породить маленькая тупой мутант
"Эти мутанты организовали банду охотников за ""мороженками""."	этот мутант организовать банда охотник морожёнка
"Она обрела известность как ""Банда Подгузников""."	она обрести известность банда подгузник
Они едут. они едут.	они ехать ехать
Эй, они едут.	эй ехать
Они едут. Они едут.	они ехать они ехать
Они едут. Они едут.	они ехать они ехать
Они едут. Они едут.	они ехать они ехать
С дороги.	с дорога
Эй, тормоз, думаешь ты быстрее?	эй тормоз думать быстрый
Хочешь поспорить?	хотеть поспорить
Эй.	эй
Тупой ублюдок.	тупой ублюдок
Ачи и Шипак	ачи шипак
Мы забытые сироты.	мы забытый сирота
Когда-то мы отдали свои испражнения и молодость этому городу.	когдато отдать свой испражнение молодость это город
Но что сделали для нас власти?	но сделать власть
Разве они ценили наше дерьмо?	разве ценить наш дерьмо
Никогда.	никогда
"Мы пристрастились к ""мороженкам"", мы не можем больше срать"	мы пристраститься морожёнка мочь срать
и даже размножаться, потому-что наши хуи скукожились как орехи.	размножаться потомучто наш хуй скукожиться орех
Тогда нас выкинули из города как мусор.	тогда выкинуть город мусор
Почему?	почему
Потому-что мы превратились в мутантов,	потомучто превратиться мутант
неспособных постоянно срать.	неспособный постоянно срать
Подгузники! Подгузники!	подгузник подгузник
Тем не менее, мы сейчас в говне.	тем менее говно
"""Мороженки"" наша единственная пища,"	морожёнка наш единственный пища
и мы голодаем месяцами.	голодать месяцами
А все почему?	а почему
Все из-за этого суперкопа, Геко?	весь изз суперкопа гёкий
Нет.	нет
Все потому-что вы	весь потомучто
свора тупых пидарасов	свора тупой пидарас
не можете прикончить одного охуевшего полицейского!	мочь прикончить один охуесть полицейский
Встать!	встать
Даю последний шанс оправдаться.	давать последний шанс оправдаться
"Говорите, где достать ""мороженок"""	говорить достать морожёнка
для наших голодающих братьев.	наш голодать брат
На уроках дефекации в детском саду.	на урок дефекация детский сад
Что ты сказал?	что сказать
На уроках дефекации в детском саду.	на урок дефекация детский сад
"На фабрике ""мороженок""? Нет, на ""мороженковом"" рынке?"	на фабрика морожёнка нет мороженковый рынок
Нет, может....	нет мочь
Вы недоумки не достойны называться бандитами.	вы недоумок достойный называться бандит
знаете как зовут таких как вы?	знаете звать такой вы
Я знаю! Гопники!	я знать гопник
Точно, гопники!	точно гопник
Что за гопники?	что гопник
Ну эти гопники, которые...	ну гопник который
"Которые вышибают ""мороженки"""	который вышибать морожёнка
в Четвертой Секции.	четыре секция
Гопники, говоришь...	гопник говорить
Шипак, ты тупица.	шипак тупица
Здесь всего 18, а не двадцать.	здесь 18 двадцать
ты уже спер две?	спереть два
Сам посчитай, дебил.	сам посчитать дебил
Тупая обезьяна.	тупой обезьяна
Не получишь свою долю, пока не достанешь еще две.	не получить доля пока достать два
И никаких телок, понял?	и никакой телок понять
слышь, мудила.	слышь мудила
ПОчему я делаю всю грязную работу?	почему делать грязный работа
Эй, зато тебе легче свалить.	эй зато ты лёгкий свалить
А я все время рискую стоя на стреме.	а время рисковать стоя стрёма
ИДи и достань еще.	идти достать ещё
Надо компенсировать потерю.	надо компенсировать потеря
Ах ты мелкая гнида.	ах мелкий гнида
Если найдем какую-нибудь телку, она моя.	если найти какуюнибудь телок мой
А если опять обманешь и с ней убежишь	а обмануть убежать
я точно тебя покалечу.	точно покалечить
Черт возьми, больно же.	черта взять больно же
глупая шавка.	глупый шавка
Сегодня полиция отразила очередное	сегодня полиция отразить очередной
"нападение ""Банды Подгузников""."	нападение банда подгузник
Мы жестоко караем любое	мы жестоко карать любой
неискреннее испражнение.	неискренний испражнение
пРоблемы с дефекацией?	проблема дефекация
У меня запор.	у запор
Пейте антизапорный йогурт.	пить антизапорный йогурт
Спустишка.	спустишок
Готовность номер один, на старт	готовность номер один старт
С башки.	с башка
Раз, два. Нюхни газку. Только не заторчи там.	раз два нюхнуть газка только заторчать там
Хорош там выпендриваться. Ломай дверь.	хороший выпендриваться ломать дверь
Папочка идет.	папочка идти
Ваша мороженка готова.	ваш морожёнка готовый
Простите за беспокойство.	простить беспокойство
Нихера ты навалил, чувак.	нихер навалить чувак
Мороженка выдана.	морожёнка выдать
А вонище-то.	а вонищеть
Как то совсем невежливо сегодняшние дети срут.	как невежливый сегодняшний ребёнок срута
Он абсолютно безнадежен.	он абсолютно безнадёжный
Его выпендреж уже бесит.	он выпендреж бесить
Слышь деревяха. Хорош понтоваться. Мы ж в консервной банке.	слышь деревяха хороший понтоваться мы консервный банка
Отвали.	отвалить
Беги.	бежать
Нехерово вы меня разозлили, говнюки.	нехеровый разозлить говнюк
Пошли отсюда.	послать отсюда
Жалкие сопляки.	жалкий сопляк
Мудаки натырили кучу мороженок в четвертой секции.	мудаки натырить куча морожёнка четыре секция
Думали теперь, большие шишки?	думать теперь большой шишка
мерзкие жулики.	мерзкий жулик
Пора платить налоги.	пора платить налог
Чего?	что
А ублюдок-то с яйцами.	а ублюдокто яйцо
Мелкий говнюк.	мелкий говнюк
уже совсем мужик.	мужик
Слушай сюда, лысый.	слушай сюда лысый
Если не хочешь, чтоб я из твоего языка сделал суши,	если хотеть твой язык сделать суши
приноси мне по сотне мороженок в день.	приносить сотня морожёнка день
Черт, да у тебя кариес.	черта кариес
Будь паинькой!	быть паинька
И волосы отрасти!	и волос отрастить
Где камера моего босса знаешь?	где камера мой босс знаешь
К нему мороженки и таскай.	к он морожёнка таскать
Пошли!	послать
Ах, да, Джимми передавал привет.	ах да джимми передавать привет
У вас замечательный друг.	у замечательный друг
Чао!	чао
Джимми, ах ты сукин сын.	джимми ах сукин сын
Король дефекации в эом месяце Вася Пупкин.	король дефекация эом месяц вася пупкина
Когда вы становитесь королем,	когда становиться король
вы получаете безлимитный VIP сервис	получать безлимитный vip сервис
на шикарном курорте с красивыми девочками.	шикарный курорт красивый девочка
Чтобы стать королем дефекаций	чтобы стать король дефекация
нужно всего-лишь часто и усердно дефецировать.	нужно всеголить часто усердно дефецировать
Вы тоже можете стать королем.	вы мочь стать король
Грязные ублюдки.	грязный ублюдок
Как они смеют пихать всякую гадость в священный анус.	как сметь пихать всякий гадость священный анус
Эти нелюди подрывают саму основу нашего государства.	этот нелюди подрывать сам основа наш государство
Они вредны для нашего общества.	они вредный наш общество
Вы так не думаете, капитан?	вы думать капитан
Шеф, вы имеете в виду...	шеф иметь вид
они незаконно пользуются анусом?	незаконно пользоваться анус
- Что, сучка, нравится? - Сильнее.	что сучка нравиться сильный
Нравится? - Сильнее.	нравиться сильный
Стоп! Стоп!	стоп стоп
Стоп!	стоп
Вы тупицы, можете хоть раз сделать как надо?	вы тупица мочь сделать надо
Сколько раз нужно объяснять?	сколько нужно объяснять
думаете мы тут дешевое порно снимаем?	думать дешёвый порно снимать
Жалкие шлюхи.	жалкий шлюха
Каждый удар хлыста должен быть возвышенным.	каждый удар хлыст должный возвышенный
Девушка жертвующая своим анусом ради спасения мира.	девушка жертвовать свой анус ради спасение мир
О, как она прекрасна.	о прекрасный
Когда я закончу фильм,	когда закончить фильм
критики и зрители превознесут его до небес,	критика зритель превознести небо
и оно обретет мировую славу.	оно обрести мировой слава
О, господь мой, как я талантлив.	о господь мой талантливый
Нихера.	нихер
Эй, жополаз, у тебя проблемы.	эй жополаз проблема
Ты урод.	ты урод
Доктор Чудила еще одного охранника в тюрьме	доктор чудила один охранник тюрьма
распилил на части.	распилить часть
Ах, этот старый больной пердун.	ах старый больной пердун
Давно бы уже зажарили на электрическом стуле	давно зажарить электрический стул
если бы он не изобрел нашего киборга.	изобрести наш киборг
Переведите его в особую камеру, чтоб он не мог никого достать.	перевести особый камера мочь никто достать
И доложите, что мы с ним успешно сотрудничаем.	и доложить успешно сотрудничать
Есть, мэм.	есть мэм
А, Геко, отличная работа...	а гёкий отличный работа
Мой доклад на сегодня: Смертей 99, арестов ноль.	мой доклад сегодня смерть 99 арест ноль
Презренный киборг, какой грубый.	презренный киборг грубый
Анусовой инстинкт.	анусов инстинкт
Садо-мазо Мизери.	садомазо мизерь
Чужие возбуждаются.	чужое возбуждаться
Слышь, урод, чо такой бардак в комнате?	слышь урод чо бардак комната
Есть че-нить извратское?	есть ченить извратский
Чувак, он обдолбан внулину.	чувак обдолбать внулина
Не отчаивайся, чувак. Сунь ему в рыло еще пару раз.	не отчаиваться чувак сунуть рыло пара раз
да ты глянь на него. Говорю тебе, он в нирване.	глянуть он говорить ты нирвана
Ладно, ладно.	ладный ладный
Любишь торчать, извращенец?	любить торчать извращенец
Я нарекаю тебя Сральмэном.	я нарекать сральмэн
Сральмэн. Сральмэн.	сральмэн сральмэн
Сральмэн.	сральмэн
Да!	да
Я!	я
Сральмэн.	сральмэн
Сральмэн, может уже спасем этот мир?	сральмэн спасти мир
Сральмэн принеси мир в это ебаный мир.	сральмэн принести мир это ебаный мир
Было клево.	быть клевый
Может теперь его повыше отнесем.	мочь высокий отнести
Тогда он точно расшибется, дятел.	тогда точно расшибиться дятел
Он нам еще живой пригодится.	он мы живой пригодиться
Это еще что за херня?	это хернить
Голубиные какашки?	голубиный какашка
Мы правильно идем?	мы правильно идти
Да, сэр.	да сэр
Я уверен что это путь в тюрьму Четвертой Секции.	я уверенный это путь тюрьма четыре секция
Ох, как же прогнил этот мир.	ох прогнить мир
Тюрьма - убежище для гопников?	тюрьма убежище гопник
Мне скучно. Дайте мне отпуск.	я скучно дать отпуск
Кто украл моего Мишутку?	кто украсть мой мишутка
Отстой.	отстой
Этот мир слишком испорчен для порядочных граждан вроде меня.	этот мир слишком испортить порядочный гражданин вроде я
80 мороженок от Банды Ножей в третьей секции.	80 морожёнка банда нож три секция
80 мороженок от Банды Ножей в третьей секции.	80 морожёнка банда нож три секция
