cleaned_text	lemm_text
Да, да, друзья мои, вот он - День независимости!	да да друг мой день независимость
Леди и джентельмены, в 12 часов, 4го июля 1996го года,	леди джентельмен 12 часы 4го июль 1996го год
Америке исполняется 220 лет.	америка исполняться 220 год
Мы только-только почти уничтожили озоновый слой,	мы толькотолько уничтожить озоновый слой
мы живем в густом смоге, а теперь у нас еще и новый наркотик.	жить густой смога новый наркотик
Слушайте внимательно. Вы готовы?	слушать внимательно вы готовый
Появился новый наркотик,	появиться новый наркотик
которым американские детишки смогут угробить себя...	который американский детишки смочь угробить себя
"с еще большим удовольствием. Наркотик называется ""Хрустальная мечта""."	больший удовольствие наркотик называться хрустальный мечта
Верите, нет? Его не курят, им не колются.	верить нет он курить колоться
Его не нюхают. Вы хотите знать, что с ним делают?	он нюхать вы хотеть знать делать
Его закапывают в глазки.	он закапывать глазок
И судя по всему глазки начинают видеть совсем другое. Понимаете?	и судить весь глазок начинать видеть другой понимать
И несмотря на весь вот этот декаданс,	и несмотря весь декаданс
мы до сих пор не разнесли себя ядерными бомбами. Удивительно.	сей пора разнести ядерный бомба удивительно
И если нам, немного повезет, то, вполне возможно,	и мы немного повезти то вполне возможно
человечество проживет еще 220 лет.	человечество прожить 220 год
И помня об этом, скажем: С днем рождения, Америка!	и помнить это скажем с днём рождение америка
ХАРЛИ ДЭВИДСОН и КОВБОЙ МАЛЬБОРО	харли дэвидсон ковбой мальборо
Деньги давай! Открой кассу и давай деньги!	деньга давать открыть касса давать деньга
Лежать, не дергаться.	лежать дёргаться
Мне на 10 долларов, на второй колонке. Сьюзи.	я 10 доллар два колонка сьюзи
- А ну, лег на пол, кретин. - Лежать!	а ну лечь половина кретин лежать
Очень мне это как-то на нервы действует.	очень это както нерв действовать
Хороший у тебя магазинчик, чистый свежий воздух.	хороший магазинчик чистый свежий воздух
А вот зайдет пара таких гавнюков, сразу вонь поднимается.	а зайти пара такой гавнюк сразу вонь подниматься
Я сказал - лег на пол, кретин, а то я тебе башку снесу!	я сказать лечь половина кретин ты башка снести
Если бы каждый раз,	если каждый раз
когда какой-то говнюк приставлял к моей голове пистолет,	какойтый говнюк приставлять мой голов пистолет
мне платили по 10 центов,	платить 10 цент
не представляю насколько я бы разбогател.	представлять насколько разбогатеть
Разрез будет глубокий и длинный.	разрез глубокий длинный
Заливайте бензина столько, сколько влезет в бак.	заливать бензин столько сколько влезть бак
Это тоже хороший бизнес.	это хороший бизнес
Эй, мистер. Вас зовут как-нибудь?	эй мистер вы звать какнибыть
Зовут.Харли. Харли Дэвидсон.	зовутхарли харли дэвидсон
Мой старик-отец, прежде чем покинуть этот говенный мир, часто говорил мне:	мой старикотец прежде покинуть говенный мир часто говорить я
хочешь играть на бильярде на интерес - запомни пять правил.	хотеть играть бильярд интерес запомнить пять правило
Итак, урок номер один.	итак урок номер один
Никогда не вынимай сигарету изо рта.	никогда вынимать сигарета из рот
Здесь курить нельзя, кретин.	здесь курить нельзя кретин
Курить я бросил.	курить бросить
Урок номер два.	урок номер два
Прежде чем ударить, как следует изучи стол.	прежде ударить следовать изучить стол
Урок номер три.	урок номер три
Не забудь как следует намелить кий. Перед каждым ударом.	не забыть следовать намелить кий перед каждый удар
Урок номер четыре.	урок номер четыре
Никогда не играй на деньги... если не сможешь потом заплатить| за проигрыш.	никогда играть деньга смочь заплатить проигрыш
Урок номер пять.	урок номер пять
Если проиграл...	если проиграть
держись достойно. И будь мужчиной.	держаться достойно и быть мужчина
В эту лузу...	в луза
Вот и вся наука!	вот весь наука
