cleaned_text	lemm_text
628, Тремонт. 6-2-8, три трупа.	628 тремонт 628 труп
"Нет, ничего особенного. Блин, ""ничего""."	нет особенный блин ничто
В наше время это стало нормой, да? Какой-то парень... как его звать?	в наш время это стать норма да какойтый парень звать
- Не знаю. - Кто знает... какая разница.	не знать кто знать разница
Застрелил жену и сына, и конфетки жрёт.	застрелить жена сын конфетка жрать
Набивает ими рот и выносит себе мозги.	набивать они рота выносить мозги
Паспорта при нём не было, никаких документов.	паспорт он быть никакой документ
Через границу что ли пролез.	через граница пролезть
Здорово, ребят. Новости 10 канала.	здорово ребята новость 10 канал
Вы эта, загородили нам план. Можете чуть вперёд проехать?	вы этот загородить мы план мочь вперёд проехать
- Да, конечно. - Спасибо.	да конечно спасибо
- Готова? - Да. Почти.	готовый да почти
Две минуты. Поснимай ещё задник.	два минута поснимать ещё задник
- На Эмми всё равно не потянем. - На хрен Эмми,	на эмми весь равно потянуть на хрен эмми
- дали бы зарплату. - Просто мой девиз.	дать зарплата просто девиз
<i>Мы скачали это видео из интернета. В один из последних трёх дней.</i>	iмы скачать это видео интернет в последний три днейi
<i>Точно не помню когда.</i>	iточно помнить когдаi
Ты посмотри на него. Посмотри на это рыло.	ты посмотреть он посмотреть это рыло
Хомячит, пока его друзья труп через задние двери затаскивают.	хомячать пока друг труп задний дверь затаскивать
Так, я готова. Начинаем.	так готовый начинать
<i>Часть материала никогда не показывали по телевизору.</i>	iчасть материал показывать телевизоруi
<i>Эту плёнку тайно скопировал и выложил в сеть оператор.</i>	iэта плёнка тайно скопировать выложить сеть операторi
<i>Так он решил рассказать правду о том, что произошло.</i>	iтак решить рассказать правда тот произошлоi
Бри Рено, в прямом эфире из Хоумстеда,	бри рено прямой эфир хоумстед
где в семье иммигрантов произошла трагедия.	семья иммигрант произойти трагедия
Мужчина, чья личность не установлена, застрелил жену и 16-летнего сына...	мужчина чей личность установить застрелить жена 16летний сын
после чего застрелился сам.	застрелиться сам
- Господи! - Что?	господь что
- Не может быть! - Что?	не быть что
Что, с камерой что-то? Чини быстрее.	что камера чтоть чинить быстрый
Она ещё шевелится!	она ещё шевелиться
Броуди, ты чего? Я же говорю...	броудить что я говорить
- Что? - Ну ничего себе...	что ну себя
- Господи, что? - Это что такое?	господь что это такой
- Я думала, они мёртвые. - Должны быть. Да, мёртвые!	я думать мёртвый должный быть да мёртвый
Не знаю, но она вон, на каталке шевелится!	не знать вон каталка шевелиться
- Отойди. Отойди быстрее! - Запрашиваю подкрепление!	отойти отойти быстрый запрашивать подкрепление
Отцепись от него!	отцепиться он
- Ты как? - Господи. Что за ерунда?	ты как господь что ерунда
- Тот лежит. - Второй шевелится!	тот лежать два шевелиться
Тоже встал!	тоже встать
Гаси их!	гасить они
Он не падает. Он не падает!	он падать он падать
Чёрт...	чёрт
Стоять!	стоять
Надо стрелять в голову!	надо стрелять голова
Нет! Нет! Этого не может быть!	нет нет это быть
Этого просто не может быть!	это просто быть
<i>Мы скачали многое из того, что нашли на ТВ, в интернете, в блогах.</i>	iмы скачать многий тот найти тв интернет блогахi
<i>Образы и комментарии первых трёх дней.</i>	iобраз комментарий один три днейi
<i>Чушь, по большей части. Там ничего полезного.</i>	iчушь больший часть там полезногоi
<i>Вот это мы скачали из сети теленовостей.</i>	iвота это скачать сеть теленовостейi
<i>Никто из нас не может точно сказать,</i>	iникто точно сказатьi
<i>что вызвало беспорядки, которые мы сейчас наблюдаем.</i>	iчто вызвать беспорядок который наблюдаемi
<i>Какие-то микробы, какая-то эпидемия...</i>	iкакиеть микроб какаять эпидемияi
<i>Реальная катастрофа или мистификация о неких чудовищах?</i>	iреальный катастрофа мистификация некий чудовищахi
"<i>Мне вспоминается ""Война миров"" Орсона Уэллса -</i>"	iмна вспоминаться война мир орсон уэллс i
<i>возможно величайший в мире розыгрыш.</i>	iвозможный великий мир розыгрышi
<i>Тогда это было по радио, а сейчас - во всех теленовостях, круглые сутки.</i>	iтогда это радио теленовость круглый суткиi
"<i>Это какая-то ""утка"".</i>"	iэтый какаять уткаi
<i>Люди готовы верить почти всему...</i>	iчеловек готовый верить всемуi
<i>Мы сняли фильм, который я вам сейчас представляю.</i>	iмы снять фильм который представляюi
<i>Вообще-то, это Джейсон решил его снять.</i>	iвообщеть это джейсон решить снятьi
<i>Как тот оператор с 10-го канала...</i>	iкак оператор 10го каналаi
<i>он хотел закачать снятое, чтобы рассказать людям... вам, правду.</i>	iон хотеть закачать снятой рассказать человек вы правдуi
<i>Фильм снимался камерами Panasonic HDX-900 и HVX-200.</i>	iфильм сниматься камера panasonic hdx900 hvx200i
<i>Окончательный монтаж на лэптопе Джейсона делала я.</i>	iокончательный монтаж лэптоп джейсон делать яi
<i>Кое-где я добавила музыку, для эффекта, надеясь вас напугать.</i>	iкоегде добавить музыка эффект надеяться напугатьi
<i>Видите ли, я не только хочу рассказать вам правду,</i>	iвидеть ли хотеть рассказать правдуi
<i>но и надеюсь напугать вас.</i>	iно надеяться напугать васi
<i>Возможно тогда вы... очнётесь.</i>	iвозможный вы очнётесьi
<i>Возможно не совершите тех ошибок, которые совершили мы.</i>	iвозможный совершить тот ошибка который совершить мыi
<i>В общем, вот он:</i>	iв общий онi
"<i>""Смерть смерти"" Джейсона Крида.</i>"	iсмерть смерть джейсон кридаi
Нет! Снято! Снято!	нет снятой снятой
Сколько раз тебе повторять, что мёртвые не бегают?	сколько ты повторять мёртвый бегать
Ты же, блин, труп!	ты же блин труп
Если будешь так бегать, у тебя стопы отломятся.	если быть бегать стопа отломиться
Но она же бежит - значит, и мне надо бежать, или как я её поймаю?	но бежать значит бежать её поймать
Ты её поймаешь дальше по фильму. А это только его начало.	ты её поймать далёкий фильм а это начать
Если сейчас её поймаешь - всё, конец.	если её поймать весь конец
Всё, что от тебя требуется, это схватить её за платье, так чтобы...	весь требоваться это схватить её платье чтобы
Чтобы сиськи вывалились? Я не согласна!	чтобы сиська вывалиться я согласный
Вообще, кто мне объяснит...	вообще объяснить
почему в ужастиках девушки обязательно должны спотыкаться, терять туфли и всё такое?	почему ужастик девушка обязательно должный спотыкаться терять туфля весь такой
Это полная тупость.	это полный тупость
И почему с нас обязательно надо срывать платья?	и почему обязательно срывать платье
А я этого очень жду.	а очень ждать
Снимаю. Хороший костюм.	снимать хороший костюм
Надо было устраиваться в авторемонт.	надо устраиваться авторемонт
Блин, ну смотри - у тебя грим отвалился!	блин смотреть грим отвалиться
Да отвянь.	да отвянуть
Да, ты заметил, потому что стоял рядом.	да заметить стоялый ряд
А ему всего-то и надо - вбежать в кадр.	а всеготь вбежать кадр
Нет, не бежать, а ковылять.	нет бежать ковылять
В сценарии написано, мумия ковыляя входит в кадр и останавливается...	в сценарий написать мумия ковылять входить кадр останавливаться
На секунду. На одну секунду.	на секунда на один секунда
Хочешь сказать, ты успеешь заметить?	хотеть сказать успеть заметить
Камера заметит. А что заметит камера, то заметят и зрители.	камера заметить а заметить камера заметить зритель
Какие ещё зрители?	какой ещё зритель
У ужасов всегда есть зрители. У правдоподобных ужасов.	у ужас зритель у правдоподобный ужас
Но кто поверит в мумию, у которой грим отклеился?	но поверить мумия который грим отклеиться
А кто вообще поверит в мумию?	а вообще поверить мумия
Вот тебе совет, гений: сделай план мельче и тогда, может, не запорешь сцену.	вот ты совет гений сделать план мелкий тогда мочь запороть сцена
Я знаю, чего хочу, Тони, и знаю, что делаю.	я знать хотеть тони знать делать
Конечно, делаешь.	конечно делать
Мы где, в конце четвёртого дня съёмок из трёх запланированных?	мы где конец четыре день съёмка три запланировать
Отлично. И ещё даже неизвестно, кому из нас что поставят.	отлично и ещё неизвестно кома поставить
- Я всех вас поставлю в титры. - Я зачёты имею в виду.	я поставить титр я зачёт иметь вид
Это ко мне.	это к я
- Мы уже сняли сцену? - Нет, по-прежнему фигнёй страдаем.	мы снять сцена нет попрежний фигня страдать
По пять зачётов каждому, гарантирую.	по пять зачёт каждый гарантировать
У мистера Крида есть виденье.	у мистер крид виденье
Я просто стараюсь снять страшный фильм.	я просто стараться снять страшный фильм
Это да, мистер Крид.	это да мистер крид
<i>Джейсон всегда хотел стать режиссёром-документалистом.</i>	iджейсон хотеть стать режиссёромдокументалистомi
<i>Но для своего дипломного проекта решил снять фильм ужасов.</i>	iно свой дипломный проект решить снять фильм ужасовi
<i>Его он и снимал в первую ночь.</i>	iий снимать один ночьi
<i>Ночь, когда...</i>	iночь когдаi
<i>всё изменилось.</i>	iвсё изменилосьi
Тупой сраный фильм про мумию.	тупой сраный фильм мумия
С социальной сатирой в подтексте.	с социальный сатира подтекст
Джейсон, я отойду на минуту?	джейсон отойти минута
- Мне надо пописать. - Блин.	я пописать блин
- Джейсон... - Что?	джейсон что
Мне тоже надо пописать.	я пописать
Господи, сейчас всё развалится.	господь весь развалиться
Ребят, тут что-то в новостях говорят. Что-то серьёзное...	ребята чтоть новость говорят чтоть серьёзный
ну, то есть... думаю, вам стоит посмотреть.	ну есть думать стоить посмотреть
<i>...но похоже, что это произошло.</i>	iно похоже это произошлоi
<i>Два информагентства из двух разных округов, между которыми находятся три штата...</i>	iдва информагентство два разный округ который находиться штатаi
<i>сообщают о группах мертвецов, возвращающихся к жизни.</i>	iсообщать группа мертвец возвращаться жизниi
<i>В одном из сообщений, из Сомерсета, говорится...</i>	iв один сообщение сомерсет говоритсяi
<i>что мёртвый белый мужчина 50-ти лет...</i>	iчто мёртвый белый мужчина 50ть летi
<i>застреленный вчера на улице,</i>	iзастрелить вчера улицеi
<i>поднялся с секционного стола и попытался напасть на судмедэксперта Томаса Мэйтленда.</i>	iподняться секционный стол попытаться напасть судмедэксперт томас мэйтлендаi
- Чушь. - Заткнись, Тони. Это ведь в новостях говорят.	чушь заткнуться тони это новость говорят
В новостях всегда говорят чушь. Всегда всё преподносят хуже, чем есть на самом деле.	в новость говорят чушь всегда весь преподносить худой самый дело
Навешают эту лапшу...	навешать лапша
"а на следующее утро: ""Извините, мы ошиблись""."	следующий утро извинить ошибиться
И кто поверит в эту ерунду, про двух мертвяков...	и поверить ерунда два мертвяк
<i>...Теперь уже пять оживших мертвецов,</i>	iтеперь пять ожить мертвецовi
<i>и подобная информация продолжает поступать отовсюду.</i>	iи подобный информация продолжать поступать отовсюдуi
<i>В Хоуп Мемориал предположительно ожил труп.</i>	iв хоуп мемориал предположительно ожить трупi
<i>Теперь уже 6 сообщений из разных источников.</i>	iтеперь 6 сообщение разный источниковi
Шесть? Как можно ошибиться 6 раз?	шесть как ошибиться 6 раз
Да брось ты, такое рассказывают каждый день.	да бросить ты такой рассказывать каждый день
То у них ураган и планета слишком нагревается,	то ураган планет слишком нагреваться
то террористы хотят сбросить грязную бомбу на Белый дом, и на твой.	террорист хотеть сбросить грязный бомба белый дом твой
Кто-то отравил тебе воду микробами, и почтовый ящик...	ктоть отравить ты вода микроб почтовый ящик
и письмо с предложением поучаствовать в розыгрыше призов.	письмо предложение поучаствовать розыгрыш приз
Хорошая новость - вы выиграли миллион.	хороший новость выиграть миллион
Плохая - завтра утром вы проснётесь мёртвым.	плохой завтра утром проснуться мёртвый
Лучше поверить тому, что мы сейчас слышали.	хороший поверить тот слышать
По радио сказали не о том, что люди просыпаются мёртвыми.	по радио сказать тот человек просыпаться мёртвый
А о том, что мёртвые люди просыпаются.	а тот мёртвый человек просыпаться
Послушайте.	послушать
- Что это? - Где?	что это где
Я сваливаю.	я сваливать
Если я проснусь мёртвым, то в своей спальне.	если проснуться мёртвый свой спальня
Приезжайте ко мне.	приезжать к я
У Элиота есть мой адрес, он покажет дорогу.	у элиот адрес показать дорога
Да, хороший домик. Уютный, размером с пол-Филадельфии.	да хороший домик уютный размер полфиладельфия
Да это не дом, а крепость. Даже меня туда не пускают без приглашения.	да это дом крепость даже туда пускать приглашение
Прости, Джейсон, за кино. Я бы ещё здесь с тобой потусил, но...	простить джейсон кино я ещё ты потусила но
я сваливаю.	сваливать
Повторяю, приезжайте все.	повторять приезжать весь
Серьёзно. Это приглашение.	серьёзно это приглашение
<i>Сегодня днём труп зашевелился...</i>	iсегодня днём труп зашевелилсяi
Я с ним.	я он
- Кто ещё? - Не советую.	кто ещё не советовать
Пока, ребята.	пока ребята
Сраной мумии достались все девчонки.	срана мумия достаться девчонка
Ну а...	ну а
мы что будем делать?	быть делать
<i>Труп стал двигаться...</i>	iтруп стать двигатьсяi
<i>- Но как вы объясните... - Как у медика, у меня нет объяснения.</i>	i но объяснить как медик объясненияi
Не знаю как вы, а я...	не знать вы я
поеду в общагу. Там Деб.	поехать общага там деб
Что бы ни происходило, не хочу, чтобы она была одна.	что происходить хотеть один
<i>...Передали электрический импульс,</i>	iпередать электрический импульсi
<i>силы которого хватает для оживления...</i>	iсила который хватать оживленияi
<i>остатков мышечной ткани мёртвого тела.</i>	iостаток мышечный ткань мёртвый телаi
Так.	так
Так, это женская общага.	так это женский общага
Господи.	господь
