cleaned_text	lemm_text
"""Тринакра Филмс"" представляет"	тринакр филмс представлять
Сильвия Кристел	сильвий кристела
Умберто Орсини	умберто орсинь
"в фильме ""Эммануэль 2"""	фильм эммануэль 2
Также в ролях: Фредерик Лагаш	также роль фредерик лагаша
Катрин Риве	катрина рива
и другие	другой
Оператор Роберт Фрайс	оператор роберт фрайса
Автор сценария Боб Элия	автор сценарий боб элия
Режиссер Франсис Джакобетти	режиссёр франсис джакобетти
Пройдемте со мной, мадам. Это здесь, номер 72.	пройти я мадам это здесь номер 72
- Вы смеетесь? - Нет. Это ведь ваш чемодан?	вы смеяться нет это ваш чемодан
Да, мой, но я заказывала каюту первого класса, а не койку в общей спальне.	да мой заказывать каюта первое класс койка общий спальня
Обычная каюта, специально для девушек.	обычный каюта специально девушка
- Ну, хоть что-то. - Извините, но мы тут не при чем.	ну чтоть извинить чем
Наверное, это была ошибка туристического агентства.	наверное это ошибка туристический агентство
Видите? Номер 73, третья палуба. Это тут.	видеть номер 73 три палуба это тут
Но я заплатила за билет первого класса!	но заплатить билет первое класс
Все что я могу сделать - это аннулировать ваш билет.	весь мочь сделать это аннулировать ваш билет
Первого класса не будет до следующей недели.	первое класс следующий неделя
- Нет, спасибо, уж лучше здесь. - К вашим услугам. Счастливого пути.	нет спасибо здесь к ваш услуга счастливый путь
- Спасибо. - Я тоже первый класс заказывала.	спасибо я один класс заказывать
Идиоты! Можно вашу расческу?	идиот можно ваш расчёска
Да, конечно.	да конечно
Вот, пожалуйста. Еще увидимся.	вот пожалуйста ещё увидеться
Он не знает, что я еду, поэтому я бы хотела позвонить ему.	он знать еда поэтому хотеть позвонить он
Позвонить?	позвонить
Да, моему мужу.	да мой муж
- И где же ваш муж? - В Гонконге.	и ваш муж в гонконг
Наверное, вы не знаете, но отсюда нельзя позвонить. Только отправить сообщение.	наверное знаете отсюда позвонить только отправить сообщение
- Это я и имею в виду - отправить сообщение. - Но это же не одно и то же.	это иметь вид отправить сообщение но это один же
Мы должны отплыть как минимум на 5 километров от берега.	мы должный отплыть минимум 5 километр берег
Необходимо специальное разрешение. Таков морской закон.	необходимый специальный разрешение таков морской закон
Меня уже подвели, когда я узнала, что буду плыть на 3-ей палубе вместо первого класса.	я подвести узнать быть плыть 3ей палуба вместо первое класс
- Ваш морской закон такой же? - Вы в общей спальне? Какой вздор!	ваш морской закон же вы общий спальня какой вздор
- Пожалуйста, присядьте. - Спасибо.	пожалуйста присесть спасибо
Вам надо было обратиться к Игорю.	вы обратиться игорь
- К Игорю? - Игорь - это я.	к игорь игорь это я
Я могу решить любую проблему. Сегодня вы будете спать в моей каюте.	я мочь решить любой проблема сегодня быть спать мой каюта
Спасибо. А вы где будете спать?	спасибо а быть спать
На палубе или в ванной Паши.	на палуба ванна паша
Набирайте ваше сообщение.	набирать ваш сообщение
Я сразу же его отправлю. В первую очередь.	я сразу отправить в один очередь
Какой чувственный почерк.	какой чувственный почерк
- Какие руки. - Спасибо.	какой рука спасибо
Оставьте здесь, я позабочусь об этом.	оставить здесь позаботиться это
Уже давно не видели своего мужа?	уже давно видеть свой муж
- Два месяца. - Это много.	два месяц это много
Это тоже есть в морском законе?	это морской закон
Если передумаете, я в восьмой каюте, на первой палубе.	если передумать восемь каюта один палуба
Сука.	сук
- С тобой все хорошо? - Нет.	с ты хорошо нет
- Ты больна? - Нет.	ты больной нет
- Выпей. - Нет, я не хочу пить.	выпить нет хотеть пить
- Что тогда случилось? - Мне тут страшно.	что случиться я страшно
- Прости, я тебя не слышу. - Мне страшно.	простить слышать я страшно
- Но тут нечему бояться. - Да, но все эти женщины...	но нечего бояться да женщина
Три женщины схватили меня. Ты понимаешь меня?	три женщина схватить я ты понимать я
- Нет. - Меня изнасиловали три женщины.	нет я изнасиловать женщина
- Здесь? - Нет, не здесь, в Макао.	здесь нет здесь макао
Я была в школе-интернате, мне было 16 лет.	я школеинтернат 16 год
Я была девственницей. Даже оргазма ни разу не испытывала.	я девственница даже оргазм раз испытывать
Как-то вечером я с теми тремя девушками была одна в читальном зале.	както вечером тот три девушка один читальный зал
Они хихикали.	они хихикать
Одна держала руки, другая - лицо.	один держать рука другой лицо
Она поцеловала меня взасос. Я хотела укусить ее, но мне было страшно.	она поцеловать взасос я хотеть укусить она страшно
Потом под трусиками я почувствовала чью-то руку.	потом трусик почувствовать чьюто рука
Мне это не нравилось!	я это нравиться
Потом они стали меня все вместе ласкать.	потом стать вместе ласкать
Я почувствовала внутри себя пальцы.	я почувствовать внутри палец
Я кончила. Об этом никто в школе не знал.	я кончить о никто школа знать
И с этого момента, когда они ложились ко мне в кровать, мне нравилось. Понимаешь?	и момент ложиться к кровать нравиться понимать
- Чанг! - Мадам, мы вас не ждали!	чанга мадам ждать
- Ничего страшного. Где месье Жан? - На веранде.	ничто страшный где месье жан на веранда
Спасибо.	спасибо
Какие у тебя мягкие руки, Уонг. Продолжай.	какой мягкий рука уонг продолжать
О, да, месье Жан, я продолжу.	о да месье жан продолжить
- Вам нравится, месье Жан? - Да.	вы нравиться месье жан да
Очень нравится.	очень нравиться
Очень хорошо.	очень хорошо
Мадам Жан!	мадам жан
Какие красивые у вас усы. Но колючие.	какой красивый уса но колючий
- Ты сама просила меня их отрастить. - Да, это так.	ты сам просить отрастить да это так
- Они тебе очень идут. - Правда?	они ты очень идти правда
Я думал ты приедешь дней через десять.	я думать приехать день десять
- Прошло почти два месяца. - 63 дня, если быть точнее.	прошлый месяц 63 день точнее
Мне стало скучно. Я уехала на первом же корабле.	я стать скучно я уехать первое корабль
- У тебя было много приключений? - Очень.	у приключение очень
Например?	например
Приключения молодой одинокой женщины в Бангкоке.	приключение молодая одинокий женщина бангкок
Дикие?	дикий
Очень дикие.	очень дикий
Ты кончил?	ты кончить
Как только Уонг закончила меня брить.	как уонг закончить брить
- Я пойду наверх. - Я подойду через минуту.	я пойти наверх я подойти минута
Уонг.	уонг
Привет. Очень опасно, ставить вентилятор рядом с водой.	привет очень опасный ставить вентилятор ряд вода
Да, я люблю мыться с опасностями.	да любить мыться опасность
- А что ты тут делаешь? - Принимаю ванну.	а делать принимать ванна
Извини, совсем забыл спросить, ты закончил презентации?	извинить забыть спросить закончить презентация
- Нет, но эта девушка спасла мою жизнь. - Эту девушку зовут Эммануэль.	нет этот девушка спасти мой жизнь этот девушка звать эммануэль
- Это ваша жена! - Да.	это ваш жена да
- Очень приятно, мадам. - Очень приятно, месье...	очень приятно мадам очень приятно месье
- Кристофер. - Кристофер? Вы англичанин?	кристофер кристофер вы англичанин
- Наполовину. - Возвращайся в свой бассейн, Линдберг.	наполовину возвращаться свой бассейн линдберг
- Так его зовут Кристофер или Линдберг? - Линдберг! Он летчик.	так звать кристофер линдберг линдберг он лётчик
Летчик? Ясно. Вы всегда спите со своим пропеллером?	лётчик ясно вы спать свой пропеллер
Да. Это красивая история любви. Я расскажу вам о ней.	да это красивый история любовь я рассказать она
Как-нибудь в другой раз, хорошо?	какнибыть раз хорошо
- А что это за история с самолетом? - Да ничего, он контрабандой занимается.	а это история самолёт да ничто контрабанда заниматься
- Опиум? - Нет, думаю, антиквариат.	опиум нет думать антиквариат
Его не опасно тут держать?	он опасный держать
Нет, конечно, не беспокойся.	нет конечно беспокоиться
- Он тут надолго? - Нет, на несколько дней.	он надолго нет несколько день
Трахни меня.	трахнуть я
Ты оделся, чтобы я раздела тебя?	ты одеться раздел ты
Нет, у меня должна быть встреча, которую нужно отменить.	нет должный встреча который нужно отменить
Алло? Алло, мадмуазель.	алло алло мадмуазель
У меня назначена встреча с мистером Пьянгом на полпервого.	у назначить встреча мистер пьянг полпервого
Есть ли возможность перенести ее на другой день?	есть возможность перенести день
Потому что...	потому что
Потому что он уже два месяца не трахался со своей женой.	потому месяц трахаться свой жена
Ты с ума сошла! Алло? Нет, это помехи. Кто-то подключился к разговору.	ты ум сойти алло нет это помеха ктоть подключиться разговор
Его нет? Какая жалость. Спасибо.	он нет какой жалость спасибо
Что случилось?	что случиться
Ты же не хочешь, чтобы мы это делали по быстрому.	ты хотеть это делать быстрый
Теперь Гонконг больше не будет мучить жажда.	теперь гонконг мучить жажда
- Надеюсь, вам понравится статья. - Спасибо большое.	надеяться понравиться статья спасибо большой
Вы преувеличиваете.	вы преувеличивать
А теперь мне придется вас оставить. Спасибо за сигару.	а прийтись оставить спасибо сигара
- До свидания, мадам. - Счастливо, до встречи.	до свидание мадам счастливо встреча
Как я тут выгляжу? Нормально? На первой полосе!	как выглядеть нормальный на один полоса
Не плохо. Но не лучше ли тебе все же сбрить усы?	не плохо но ты сбрить уса
Думаешь, стоит?	думать стоить
Ладно, продолжим. Говоришь, француженка? Красивая?	ладный продолжить говорить француженка красивый
Достаточно красивая. С красивой грудью и телом.	достаточно красивый с красивый грудь тело
- И это ты ее... - Нет, скорее она меня.	и это она нет скорее я
Она начала с рассказа какой-то глупой истории об изнасиловании.	она начало рассказ какойтый глупый история изнасилование
- И это было в общей каюте? - Да.	и это общий каюта да
- И никто вас не видел? - Видели, конечно.	и никто видеть видеть конечно
Мы уже тебя три дня ищем.	мы день искать
Ты знакома с моей женой Эммануэль? Эммануэль - это Лаура.	ты знакомый мой жена эммануэль эммануэль это лаура
- Здравствуй. - Здравствуй.	здравствовать здравствовать
Я тебя по-другому представляла.	я подругий представлять
