cleaned_text	lemm_text
Макиавелли! Ты не поведал мне ничего нового!	макиавелли ты поведать новое
Сюн Тзю, Исскуство Войны.	сюн тзю исскуство война
Стьюи, эти книги не для малышей. Вот. Посмотри телепузиков.	стьюй книга малыш вот посмотреть телепузиковы
Да как ты смеешь! Эта книга могла дать мне ключ к порабощению человечества.	да сметь этот книга мочь дать ключ порабощение человечество
Ух ты.	ух ты
Боже. Чем больше я сопротивляюсь, тем сильнее меня затягивает. Не могу оторваться!	бог чем сопротивляться сильный затягивать не мочь оторваться
<i>Ещё! Ещё!</i>	iещё ещёi
Да! Да! Ещё! Ещё! Боже, ну ещё разочек!	да да ещё ещё бог ещё разочек
Извини, Стьюи.	извинить стьюй
"Сейчас покажут биографию участника группы ""Wham."""	сейчас показать биография участник группа wham
Я свободен! Свободен от чар этих дьявольских телепузиков!	я свободный свободный чара этот дьявольский телепузиковы
Благодарю тебя. Когда я овладею миром, твоя смерть будет быстрой и безболезненной.	благодарить ты когда овладеть мир твой смерть быстрый безболезненный
Минутку внимания.	минутка внимание
Завтра бейсбольная тренировка. Нужно подготовиться к субботнему матчу.	завтра бейсбольный тренировка нужно подготовиться субботний матч
Уже забыли, как в прошлом году нас унизили Патакетские Шутники?	уже забыть прошлое год унизить патакетский шутник
Только взгляните на этих тупых очкариков.	только взглянуть этот тупой очкарик
Блин, как же я их ненавижу.	блин ненавидеть
"Сильнее, чем шпинат, пробки, и последнего сезона ""Госпиталя МЭШ"""	сильный шпинат пробка последний сезон госпиталь мэш
Ну, когда Алан Альда вышел на передний план...	ну алан альда выйти передний план
и шоу стало драматичным и поучительным?	шоу стать драматичный поучительный
Я прав? Вы согласны?	я право вы согласный
В этом году мы нанесём Шутникам поражение, с помошью нашего секретного оружия:	в год нанести шутник поражение помошить наш секретный оружие
Гильермо.	гильермо
Браво!	бравый
Я нанял Гильермо, так как верю, что он станет козырем нашей компании...	я нанять гильермо верить стать козырь наш компания
как на поле, так и на фабрике.	пол фабрика
У вас впечатляющие рекомендации.	у впечатляющий рекомендация
Уверен, для вас найдётся местечко.	уверенный найтись местечко
Теперь за работу.	теперь работа
Мистер Уид, у меня отличная идея для новой линии кукол по мотивам телешоу.	мистер уид отличный идея новый линия кукла мотив телешоу
"Трансформеры ""Правда Жизни"", как вам? Вот, полюбуйтесь."	трансформера правда жизнь вы вот полюбоваться
Изящная, как пуговка...	изящный пуговка
тучная, как корова...	тучный корова
радиоактивный скорпион. Осторожнее, миссис Гаретт. Идёт Блэр.	радиоактивный скорпион осторожный миссис гаретта идти блэр
- Я рассмотрю. - Он рассмотрит!	я рассмотреть он рассмотреть
"А ещё я сделаю, где Натали превращается в одну из ящеров из ""Юрского Парка."""	а ещё сделать натали превращаться один ящер юрский парк
"Пэт, я назову фразу целиком. ""Иди в сад."""	пэт назвать фраза целиком идти сад
Правильно.	правильно
Что-ж, ты почти угадал, Пап.	чтожий угадать папа
"Да уж. Даже и не верится, что мы не угадали про ""Волосатую мышонку."""	да уж даже вериться угадать волосатый мышонок
Пошли, Брайан. Мне на тренеровку по бейсболу.	послать брайан я тренеровка бейсбол
Тренировка? Я думала, что мы пойдем поприветствовать своих новых соседей.	тренировка я думать пойти поприветствовать свой новый сосед
Ну уж нет. Не хочу иметь ничего общего с соседями.	ну нет не хотеть иметь общий сосед
Наш прошлый сосед одолжил у меня тостер. Больше я его не видел.	наш прошлый сосед одолжить тостер большой видеть
Раз эта шлюха хочет полной опеки над детьми, она её получит.	раз этот шлюха хотеть полный опека ребёнок её получить
Питер, а вдруг они и вправду очень милые люди.	питер вправду очень милый человек
"""Очень милыми людьми."" Да, они всегда так говорят."	очень милый человек да говорят
А потом ты открываешь сточный колодец и... Бац! Город Живых Мертвецов!	а открывать сточный колодец и бац город живой мертвец
Извращенец!	извращенец
Не льсти себе, детка. У меня нет потовых желез.	не льстить себя детка у потовой железо
Итак, пора за игру, мои мальчики.	итак пора игра мой мальчик
Твой выход Гильермо.	твой выход гильермо
К сожалению, Джонсон сегодня отсутствует. Его жена рожает.	к сожаление джонсон сегодня отсутствовать он жена рожать
Что? Это он на сносях чтоли? Я буду подавать.	что это сноси чтоль я быть подавать
Даже и не знаю, что более сомнительно, твоя подача или верность Билла Клинтона.	даже знать сомнительно твой подача верность билл клинтон
Чего тут слож...	что сложа
Чего тут сложного, мячик кинуть?	что сложный мячик кинуть
- Хорошо. Беги на базу. - Кто-нибудь, позвоните в скорую.	хорошо бежать база ктонибыть позвонить скорый
Скажите им, что у него аллергия на пенициллин и белое вино!	сказать имя аллергия пенициллин белый вино
Идиот! Если не найдёшь замену Гильермо, будешь уволен!	идиот если найти замена гильермо быть уволить
Блин. Что, если меня уволят? Придётся возвращаться на старую работу...	блин что уволить прийтись возвращаться старый работа
топ моделью к Кельвину Кляйну.	топ модель кельвин кляйн
<i>Я не хочу быть как все.</i>	iя хотеть всеi
<i>Но я не хочу быть другой.</i>	iно хотеть другойi
<i>Я просто хочу быть.</i>	iя просто хотеть бытьi
"<i>Как же звали того злодея из ""Трона""?</i>"	iкак звать злодей тронаi
<i>Это сводит меня с ума!</i>	iэтый сводить умаi
Переезд - настоящее стихийное бедствие.	переезд настоящее стихийный бедствие
Мы пропустим ежегодный пробег в Провиденсе.	мы пропустить ежегодный пробег провиденсе
Но, так как у нас второй на подходе, Джо решил, что пора сменить обстановку.	но два подход джо решить пора сменить обстановка
А я не могу отказать Джо. Ни в чём.	а мочь отказать джо ни что
В Куахоге тоже скучать не приходится.	в куахог скучать приходиться
На прошлой неделе, один лишился глаза при игре в Бинго.	на прошлый неделя лишиться глаз игра бинго
L-17. Вот чёрт.	l17 вот чёрт
Сотню лет в него не играла!	сотня год играть
Молчать! С тех пор, как познакомились, трещите как две тупые сороки!	молчать с тот пора познакомиться трещать два тупой сорока
Я должен сбежать из этого пекла.	я должный сбежать пекло
Какой любознательный.	какой любознательный
Да. Он очень смышлёный.	да он очень смышлёный
Сейчас я был бы рад очутиться на месте ребёнка Чарльза Линдберга.	сейчас рад очутиться место ребёнок чарльз линдберг
Джо, знакомься, наша новая соседка, Лоис Гриффин	джо знакомиться наш новый соседка лоис гриффина
Очень приятно, Лоис. А это что за малышок?	очень приятно лоис а это малышок
Это Стьюи. Золотце, поприветствуй мистера Свонсона.	это стьюй золотце поприветствовать мистер свонсон
На колени.	на колено
Привет. Меня зовут Мег. Я живу по соседству.	привет я звать мег я жить соседство
Знаю. Я давно любуюсь тобой издалека.	знать я давно любоваться ты издалёка
- Будешь со мной встречаться? - С удовольствием.	быть я встречаться с удовольствие
- Да он голубой. - Размечтался!	да голуба размечтаться
Убирайся отсюда, вонючка!	убираться отсюда вонючка
Я считай что уволен.	я считать уволить
