cleaned_text	lemm_text
Автор перевода: Постебайло Евгений, Редактор: Ионанс Максим.	автор перевод постебайло евгений редактор ионанс максим
Что вы желаете, мистер Коттон?	что желать мистер коттон
Шкатулку.	шкатулка
Берите её, она ваша.	брать её ваш
Всегда была вашей.	всегда ваш
Какой-то должен подойти.	какойтый должный подойти
- Я тут окоченею насмерть. - Сейчас, сейчас.	я окоченеть насмерть сейчас сейчас
Может кто-то сменил замок...	мочь ктоть сменить замок
Глупость какая-то. Кто мог сменить замок?	глупость какаять кто мочь сменить замок
Ну, я не знаю. Я просто предположила.	ну знать я просто предположить
А! Наконец-то.	а наконецтый
Вуаля!	вуаля
Ну, вот и она.	ну она
Старая усадьба.	старый усадьба
- Уу! Пахнет влагой. - Ну-у-у, оно... ээ...	уу пахнуть влага нууа оно ээ
Оно пустовало некоторое время, не так ли?	оно пустовать некоторый время ли
Но мы его скоро согреем	но скоро согреть
и сделаем его похожим на дом.	сделать похожий дом
- Как давно ты здесь не был? - Оо, лучшую часть десяти лет.	как давно быть оо хороший часть десять год
Я хотел этот дом продать, после того как старая дама умерла,	я хотеть дом продать старый дама умереть
но я никак не мог уговорить Френка.	никак мочь уговорить фрёнок
Я так понимаю ему нужно что-то типа тайного убежища.	я понимать нужно чтоть тип тайный убежище
Нет, ну ты только посмотри на это?	нет посмотреть это
Не беспокойся, всё это для меня значения не имеет.	не беспокоиться весь это значение иметь
Ничего этого не будет.	ничто быть
Мне кажется половина из этого принадлежит твоему брату.	я кажется половина принадлежать твой брат
Никогда не слышал, чтобы он зарабатывал деньги встав с постели. К тому же...	никогда слышать зарабатывать деньга встать постель к тот же
он скорее всего где-нибудь за решёткой.	скорее гденибыть решётка
Знаешь...	знаешь
мы должны показать этот дом Кёрсти, прежде чем мы приведём его в порядок.	должный показать дом кёрсть прежде привести порядок
Ей понравится.	она понравиться
Ты действительно хочешь сюда переехать?	ты действительно хотеть сюда переехать
Тебе здесь не нравиться?	ты нравиться
Я думаю это лучше, чем Бруклин.	я думать это хороший бруклин
Ооо, не начинай, Джулия.	ооо начинать джулия
- Что не начинать? - Послушай...	что начинать послушать
Мы можем тут всё починить.	мы мочь весь починить
Я только что получил великолепную работу, ты вернёшься к своим скачкам.	я получить великолепный работа вернуться свой скачка
Мы можем быть счастливы.	мы мочь счастливый
- Ладно, ладно. - Так в чем дело-то?	ладный ладный так делото
- Ни в чём!. - О, Боже!	ни что о бог
Дорогая...	дорогой
Вот фигня!	вот фигня
Ларри!	ларри
Ларри!	ларри
Ты где?	ты где
Тут.	тут
Скуоттеры? <i>[люди, которые незаконно заселяют жильё и требуют на него прав. Здесь и далее - примечания переводчика]</i>	скуоттер iчеловек который незаконно заселять жильё требовать право здесь далее примечание переводчикаi
Фрэнк.	фрэнк
- Он здесь? - Был здесь.	он здесь быть здесь
Ты не поверишь ещё тому, что на кухне твориться.	ты поверить ещё тот кухня твориться
Он, очевидно, сбежал - он так обычно делает.	он очевидно сбежать обычно делать
Что за херь?	что херить
Кто это?	кто это
Папа?	папа
