cleaned_text	lemm_text
Прости меня.	простить я
"""Извлечение"""	извлечение
Том, время ежедневных воспоминаний.	тот время ежедневный воспоминание
Начни, когда будешь готов.	начать быть готовый
Меня зовут Том Джейкобс.	я звать тот джейкобс
Родился 2-ого ноября 1972 года.	родиться 2ий ноябрь 1972 год
Моих родителей зовут Марк и Джудит.	мой родитель звать марк джудит
Мою жену зовут Эбби.	мой жена звать эбби
Я бы всё отдал чтобы услышать, как она зовёт меня по имени.	я весь отдать услышать звать имя
Я узник тюрьмы, которую создал сам.	я узник тюрьма который создать сам
- Минни, мне снова скучно. - Том, чем ты хочешь заняться сейчас?	минний снова скучно тот хотеть заняться сейчас
- Перенеси меня в другое место. - Подготовка, 6 минут до перехода.	перенести другой место подготовка 6 минута переход
И что теперь? Его всё устроило?	и теперь он весь устроить
Выходит так. Я безумно обрадовался.	выходить так я безумно обрадоваться
Больше не прийдется жить в нищете и прозябать в гараже.	большой прийтись жить нищета прозябать гараж
"Когда я впервые пригласил тебя на свидание, я сказал: ""В конечном итоге мне воздастся сторицей""."	когда впервые пригласить свидание сказать в конечный итог воздаться сторицей
- Ты сказала что у тебя есть парень. - Нет. - Сказала.	ты сказать парень нет сказать
- Нет, не говорила. - Хорошо, как скажешь.	нет говорить хорошо сказать
- Что это? - Открывай.	что это открывать
- Но для нас это слишком дорого. - Пока да.	но это слишком дорого пока да
Но мы справимся.	но справиться
Ты должна сегодня это надеть.	ты должный сегодня это надеть
Будешь выглядеть шикарно.	быть выглядеть шикарно
Вы обе.	вы оба
- Осталось пять минут, Том. - Итак, у нас есть покупатель.	остаться пять минута тот итак покупатель
- Прекрасно. - Не радуйся раньше времени.	прекрасно не радоваться ранний время
Они хотят понять насколько точен прибор. Например, как быть с ложными воспоминаниями?	они хотеть понять насколько точный прибор например ложный воспоминание
Прибор ведёт себя как полиграф: определяет разницу между подлинными и ложными воспоминаниями.	прибор вести полиграф определять разница подлинный ложный воспоминание
Промывание мозгов непростая штука, но я знаю как в этом разобраться.	промывание мозги непростой штука знать разобраться
Если в процессе сканирования выявляется мысли навязанные вследствии промывания мозгов,	если процесс сканирование выявляться мысль навязать вследствие промывание мозги
например гипноза, или влияние секты, или еще чего-то, прибор определяет это в первую очередь.	например гипноз влияние секта чеготь прибор определять это один очередь
Если ничего такого не обнаруживается, воспоминания истинные.	если такой обнаруживаться воспоминание истинный
Послушай, у клиента есть идея.	послушать клиент идея
Ничего сложного, как думаешь можно ли с помощью прибора проникнуть в сознание другого человека?	ничто сложный думать помощь прибор проникнуть сознание другой человек
- Зачем им это делать? - Ну, для многих вещей.	зачем это делать ну многий вещий
Например: Так можно было бы выявить жестокое обращение с детьми, болезнь Альцгеймера...	например так выявить жестокий обращение ребёнок болезнь альцгеймер
Ричард, я четко объяснил что мне нужно.	ричард чётко объяснить нужно
- Я знаю, ты можешь это сделать. - Я просто прошу продать прибор, больше ничего.	я знать мочь это сделать я просто просить продать прибор ничто
А я пытался их убедить, но у них свои идеи.	а пытаться убедить свой идея
- У кого, у них? - У всех!!	у кто они у весь
Они тебе не заплатят столько, сколько ты хочешь, если ты не пойдешь на компромисс.	они ты заплатить столько сколько хотеть пойти компромисс
Если ты хочешь помогать людям, занимайся этим бесплатно.	если хотеть помогать человек заниматься это бесплатно
Сколько они предлагают?	сколько предлагать
- Но это неэтично. - Это будет всего лишь демонстрация. - Ты создал его чтобы помогать людям.	но это неэтичный это лишь демонстрация ты создать помогать человек
- И он будет помагать. - Они не позволят тебе контролировать процесс.	и помагать они позволить ты контролировать процесс
- Конечно я буду руководить процессом. - Это ты сейчас так думаешь.	конечно быть руководить процесс это думать
У нас куча догов, и у нас будет ребенок, что мне прикажешь делать?	у куча дог ребёнок приказать делать
- В конце концов найдётся какой-то покупатель. - Мне не нужен просто какой-то покупатель.	в конец конец найтись какойтый покупатель я нужный просто какойтый покупатель
Три минуты до перехода.	три минута переход
450 тысяч: Первый из многих.	450 тысяча один многий
Я принёс тебе деньги.	я принести ты деньга
Для начала хватит?	для начало хватить
Да, этого хватит.	да хватить
- Послушай Ричард, а кто нас спонсирует? - Кто-то, кто увидел потенциал.	послушать ричард спонсировать ктоть увидеть потенциал
Запомни, за тобой остается право контролировать процесс.	запомнить ты оставаться право контролировать процесс
У него есть пара вопросов по новому прибору.	у пара вопрос новый прибор
Как пользоваться прибором? Нормально ли он работает? И в программу	как пользоваться прибор нормальный работать и программа
нужно будет ввести кое-какие изменения. Они хотят добавить новые возможности.	нужно ввести коекакий изменение они хотеть добавить новое возможность
Человек должен иметь возможность перемещаться туда, куда ему заблагорассудится.	человек должный иметь возможность перемещаться туда заблагорассудиться
- Итак, мы проникаем в подсознание... - Ричард, ты меня слышишь?	итак проникать подсознание ричард слышать
- Да, Я слышу тебя, Том. - Так вот как он работает.	да я слышать ты тот так работать
Нет, сначала нам нужно научиться сортировать воспоминания.	нет сначала мы нужно научиться сортировать воспоминание
Мы создадим возможность регулировать перемещения в памяти.	мы создать возможность регулировать перемещение память
- Какой должна быть исходная точка? - Может это место?	какой должный исходный точка мочь это место
- Этот дом? - Да, пока мы не подберём что-нибудь получше.	этот дом да пока подобрать чтонибыть хороший
- Что-нибудь поинтереснее? - Да.	чтонибыть интересный да
Ладно, я займусь этим.	ладный заняться это
- Нам нужен голосовой помошник. - Я озвучу.	мы нужный голосовой помошник я озвучить
- Что? - Может что-нибудь более приятное?	что мочь чтонибыть приятный
Может наймём актрису? Думаю, так будет лучше.	мочь нанять актриса думать хороший
- А у меня что, неприятный голос? - Нет.	а что неприятный голос нет
- Ну как? - Хорошо, теперь Зе и достаточно.	ну как хорошо зе достаточно
Ну как, получается?	ну как получаться
- Прекрасно. - Подкоректируй немного звучание.	прекрасно подкоректировать немного звучание
Да, конечно.	да конечно
Выбранное воспоминание готово.	выбрать воспоминание готовый
- Том, выбранное воспоминание готово. - Вперёд.	тот выбрать воспоминание готовый вперёд
Итак я в исходной точке, выбираю воспоминание в которое я хочу попасть, и я уже там?	итак исходный точка выбирать воспоминание который хотеть попасть там
- Да? Всё так просто? - Да, ничего сложного.	да весь просто да сложный
- Насколько глубоко можно проникнуть в память? - Насколько позволит память.	насколько глубоко проникнуть память насколько позволить память
Вплоть до граници воспоминания, которая представляет собой непроницаемые врата.	вплоть граници воспоминание который представлять себя непроницаемый врата
Весь мир, это комбинация того что по-правде существует, и того что машина случайно генерирует.	весь мир это комбинация поправда существовать машина случайно генерировать
Люди и предметы.	человек предмет
А насчёт вас, не останется и следа на этом мире, то есть, вас там даже нету.	а насчёт вы остаться след мир есть нету
- Теперь главный вопрос, как оттуда выбраться? - С помощью экстрактора.	теперь главный вопрос оттуда выбраться с помощь экстрактор
А если что-то пойдёт не так?	а чтоть пойти так
Мы над этим работаем.	мы это работать
- Минни? - Да, Том. Начинай процесс самоликвидации.	минний да тот начинать процесс самоликвидация
Самоликвидация через 5, 4...	самоликвидация 5 4
До свидания, Том.	до свидание тот
Самоликвидация не удалась, Том. Должна тебе напомнить, что я не зло.	самоликвидация удаться тот должный ты напомнить зло
Проверить еще раз?	проверить раз
- Сколько я уже здесь торчу, Минни? - 4 года, 2 месяца, 2 дня.	сколько торчать минний 4 год 2 месяц 2 день
Поехали?	поехать
Я не знаю жив ли я еще там, снаружи.	я знать живой там снаружи
И знает ли кто-нибудь, что я существую.	и знать ктонибыть существовать
Алло?	алло
Дорогой, это Ричард.	дорогой это ричард
Алло.	алло
Завтра вечером? Но у нас есть еще полтора месяца.	завтра вечером но полтора месяц
Да, но они передумали, чтобы получить деньги мы должны презентовать прибор сейчас.	да передумать получить деньга должный презентовать прибор сейчас
Только мы его еще не протестировали, нам нужно испытать его. Незнакомые детали...	только протестировать мы нужно испытать он незнакомый деталь
- Забытые лица. - Используй своё изображение в качестве манекена.	забытый лицо использовать свой изображение качество манекен
- Картины, фото? - Какая разница, используй какую угодно абстракцию, Ричард всё поймёт.	картина фото какой разница использовать какой угодный абстракция ричард весь понять
Я категорически против. Нам нужен еще месяц чтобы закончить тестирование.	я категорически против мы нужный месяц закончить тестирование
Твой протест услышан. Теперь давай за работу.	твой протест услышать теперь давать работа
- Готов? - Да.	готовый да
