cleaned_text	lemm_text
"<i>*Субтитры к сериалу ""Земля: последний конфликт"" - частный любительский проект.*</i>"	iсубтитр сериал земля последний конфликт частный любительский проектi
<i>*Любое коммерческое использование, а также распространение субтитров без ведома авторов КАТЕГОРИЧЕСКИ ЗАПРЕЩАЕТСЯ.*</i>	iлюбой коммерческий использование также распространение субтитр ведомо автор категорически запрещаетсяi
Сообщениe для Центра Сподвижников в Вашингтоне.	сообщениe центр сподвижник вашингтон
Введите текст.	ввести текст
Нельзя этого делать!	нельзя делать
Дурацкая, необдуманная затея!	дурацкий необдуманный затея
Но процесс уже начат.	но процесс начать
Мы плохо знакомы с их системами!	мы плохо знакомый система
Всё может выйти из-под контроля...	весь выйти изпод контроль
Сфера действия вируса ограничится только Вашингтонским центром.	сфера действие вирус ограничиться вашингтонский центр
Ты в этом уверен, Авгур?	ты уверенный авгур
Активирую вирус.	активировать вирус
Никому не известны принципы работы тейлонских технологий.	никто известный принцип работа тейлонской технология
А это здание - живой организм.	а это здание живой организм
Но главное то, что мы подвергаем риску жизни невинных людей!	но главный то подвергать риска жизнь невинный человек
Джонатан! Чего вы хотите этим добиться?	джонатан что хотеть это добиться
Поскольку тейлоны обладают техникой высочайшего уровня,	поскольку тейлона обладать техника высокий уровень
единственный способ достичь превосходства - узнать их уязвимые места.	единственный способ достигнуть превосходство узнать уязвимый место
- Отключив здание? - Именно!	отключить здание именно
В случае успеха мы получим бесценную информацию,	в случай успех получить бесценный информация
узнаем, как функционируют их системы.	узнать функционировать система
Но какой ценой?..	но цена
Вирус aктивирован. Приступаю к загрузке.	вирус aктивировать приступать загрузка
Ну, Авгур,	ну авгур
теперь-то ты совсем задерешь нос...	теперьто задрать нос
У тебя есть запасной план на случай, если вирус выйдет из-под контроля?	у запасный план случай вирус выйти изпод контроль
У меня есть антивирус. Он должен быть эффективным.	у антивирус он должный эффективный
Должен быть?!	должный быть
Перестаньте беспокоиться о тейлонских системах,	перестать беспокоиться тейлонской система
пришло время подумать, наконец, и о нашем движении.	пришлый время подумать наконец наш движение
Загрузка вируса завершена.	загрузка вирус завершить
<b>ЗЕМЛЯ: ПОСЛЕДНИЙ КОНФЛИКТ</b>	bземля последний конфликтb
<i>Они пришли три года назад,</i>	iонить прислать год назадi
<i>навсегда изменив будущее человечества...</i>	iнавсегда изменить будущее человечестваi
<i>Уильям Бун, чья жизнь была разрушена,</i>	iуильям буна чей жизнь разрушенаi
<i>оказался между двух миров:</i>	iоказаться два мировi
<i>он официальный защитник Сподвижников</i>	iон официальный защитник сподвижниковi
<i>и секретный агент движения Сопротивления.</i>	iи секретный агент движение сопротивленияi
<i>Тейлонский церебральный имплант усиливает его ментальные возможности</i>	iтейлонский церебральный имплант усиливать ментальный возможностиi
<i>и дает контроль над биологическим оружием небывалой мощи.</i>	iи давать контроль биологический оружие небывалый мощиi
<i>Уильям Бун: в поисках истины.</i>	iуильям буна поиск истиныi
Перевод с английского - Xandra © 2006, синхронизация - Sky, Xandra © 2006 редактор - Loriel © 2007	перевод английский xandra © 2006 синхронизация sky xandra © 2006 редактор loriel © 2007
"http://www.efc.ucoz.ru Команда ""Прибежище тейлонов"" Team ""Taelon Sanctuary"""	httpwwwefcucozru команда прибежище тейлоновый team taelon sanctuary
" 1 сезон, 16 серия ""ГНЕВ АХИЛЛЕСА"""	1 сезон 16 серия гнев ахиллес
Ты меня разочаровала.	ты разочаровать
Ты меня - тоже.	ты тоже
Личные отношения с Да'аном отражаются на твоей работе,	личный отношение дааном отражаться твой работа
хуже всего, что ты этого даже не замечаешь!..	худой всего замечать
Речь идет о знаниях! Каждый день я узнаю что-то новое!	речь идти знание каждый день узнавать чтоть новое
Ведь именно в знаниях ключ к нашему спасению, а не в вирусе!	ведь именно знание ключ наш спасение вирус
Подобно другим противникам, тейлоны начнут с нами считаться	подобно другой противник тейлона начать мы считаться
только тогда, когда убедятся в нашей силе.	тогда убедиться наш сила
Цель нынешней миссии - добиться уважения!	цель нынешний миссия добиться уважение
Я должен отправиться в Вашингтон,	я должный отправиться вашингтон
предупредить их, пока вирус не успел распространиться.	предупредить они пока вирус успеть распространиться
Тебе придётся добираться туда самостоятельно.	ты прийтись добираться туда самостоятельно
В последний раз спрашиваю:	в последний спрашивать
ты уверена, что готова к любым последствиям?	уверить готовый любой последствие
Да. Я готова!	да я готовый
Слушаю.	слушать
Бун, Да'ан должен лететь в Сан-Франциско,	буна даана должный лететь санфранциско
но его пилот болен.	пилот больной
Мы отзываем капитана Маркетт.	мы отзывать капитан маркетта
Когда?	когда
Немедленно.	немедленно
Вас встретит охрана.	вы встретить охрана
Вы выяснили причину помех при передаче?	вы выяснить причина помеха передача
Нет, помехи появились только сейчас...	нет помеха появиться сейчас
Мы уже начали диагностическую проверку.	мы начать диагностический проверка
Я отправляюсь в Вашингтон с капитаном Маркетт,	я отправляться вашингтон капитан маркетта
помогу с проверками систем. Буду через пять минут.	помочь проверка система быть пять минута
Бун, в этом нет необходимости.	буна необходимость
Еще как есть!	ещё есть
Нарушения в системах угрожают безопасности тейлонов,	нарушение система угрожать безопасность тейлоновый
необходимо бросить все силы на решение этой проблемы.	необходимый бросить сила решение проблема
Хорошо.	хорошо
Помни, ради Сопротивления я готова на всё.	помнить ради сопротивление готовый весь
Как и я.	как я
Проблемы, капитан?	проблема капитан
Нет, Да'ан.	нет даана
Готовность к взлету.	готовность взлёт
Такие помехи при связи случались прежде?	такой помеха связь случаться прежде
Нет.	нет
Похоже, неполадки ограничиваются только системой коммуникации.	похоже неполадка ограничиваться система коммуникация
Вы правы.	вы правый
Нет... подождите... нужно проверить и систему охраны!	нет подождать нужно проверить система охрана
Входим в гиперпространство.	входить гиперпространство
Сбои в охранной системе... значит, весь комплекс неисправен.	сбоить охранный система значит весь комплекс неисправный
Единственный выход - отключить всё.	единственный выход отключить весь
Бун, мы не можем рисковать безопасностью Да'ана.	буна мочь рисковать безопасность даана
Но это единственный способ найти причину сбоев!	но это единственный способ найти причина сбой
Шаттл США-2	шаттл сша2
Да'ан, в здании Тейлонского Центра нарушена работа всех систем.	даана здание тейлонской центр нарушить работа система
Скорее всего, поврежден тейлонский центральный процессор.	скорее всего повредить тейлонский центральный процессор
Какие будут указания?..	какой быть указание
Вы можете управлять шаттлом, капитан?	вы мочь управлять шаттл капитан
Системы управления реагируют очень медленно.	система управление реагировать очень медленно
Да'ан! Вы не ранены?	даана вы раненый
Обнаружена неисправность в системе управления шаттла.	обнаружить неисправность система управление шаттл
Капитан Маркетт делает всё возможное для её устранения.	капитан маркетта делать весь возможный её устранение
Прошу вас, сосредоточьтесь на ваших проблемах, агент Сандовал.	просить вы сосредоточиться ваш проблема агент сандовал
Проверьте систему безопасности ещё раз.	проверить система безопасность ещё раз
Шаттл США-2! Вызывает Центр Сподвижников в Оттаве.	шаттл сша2 вызывать центр сподвижник оттава
Мы получили ваш сигнал бедствия.	мы получить ваш сигнал бедствие
Оттава, почему отвечаете вы?	оттава почему отвечать вы
Связь с Вашингтонским Центром прервана,	связь вашингтонский центр прервать
ваш сигнал был автоматически переадресован в ближайший тейлонский Центр.	ваш сигнал автоматически переадресовать ближний тейлонский центр
Системы связи заражены! Немедленно прервите контакт!	система связь заразить немедленно прервать контакт
И не выходите на связь с другими Тейлонскими Центрами!	и выходить связь другой тейлонской центр
Оттава, приём!	оттава приём
Что вас беспокоит относительно систем связи, капитан Маркетт?	что беспокоить относительно система связь капитан маркетта
Возможно, сбой в Вашингтонском Центре повлиял на системы управления шаттла.	возможно сбой вашингтонский центр повлиять система управление шаттл
Существует угроза заражения систем других Тейлонских Центров.	существовать угроза заражение система другой тейлонской центр
Это логично.	это логично
Авария систем угрожает жизни людей, работающих в здании.	авария система угрожать жизнь человек работать здание
Я проверю центральный процессор.	я проверить центральный процессор
А я организую эвакуацию.	а организовать эвакуация
Агент Ласситер! Объявите тревогу,	агент ласситереть объявить тревога
приступайте к полной эвакуации.	приступать полный эвакуация
Немедленно, сэр.	немедленно сэр
Надеюсь, ты доволен. В системах царит полный хаос.	надеяться довольный в система царить полный хаос
В вирус, который загрузила Лили, был встроен и антивирус!	в вирус который загрузить лить встроить антивирус
Его можно активировать через команду инфопотока.	он активировать команда инфопоток
Вряд ли... Инфопоток умирает.	вряд ли инфопоток умирать
Видимо, он заражён. Активируй антивирус с центрального процессора.	видимо заразить активировать антивирус центральный процессор
Связь с Лили прервана!	связь лить прервать
Возможно, ей удалось связаться с другим тейлонским центром...	возможно удаться связаться другой тейлонской центр
Проверь.	проверить
В чем дело, Авгур?	в дело авгур
Мы не предусмотрели возможности контакта с другими тейлонскими центрами!	мы предусмотреть возможность контакт другой тейлонской центр
То есть, при контакте с шаттлом системы других тейлонских центров тоже заразятся?	то есть контакт шаттл система другой тейлонской центр заразиться
Такое возможно. Даже очень.	такой возможно даже очень
Выяснишь, как включить антивирус, свяжись со мной!	выяснить включить антивирус связаться я
Центральный процессор ещё работает.	центральный процессор ещё работать
Я не смог обнаружить источник заражения.	я смочь обнаружить источник заражение
Слушаю.	слушать
Эвакуация завершена, командер.	эвакуация завершить командёр
Вам с агентом Сандовалом следует немедленно покинуть здание.	вы агент сандовал следовать немедленно покинуть здание
Уже уходим.	уже уходить
Возможно, нам следует...	возможно мы следовать
Импульсы гипердрайва хаотичны.	импульс гипердрайв хаотичный
Приготовьтесь к выходу из гиперпространства.	приготовиться выход гиперпространство
Падение через 6 секунд.	падение 6 секунда
Вы в порядке?	вы порядок
Да...	да
Я не могу связаться с шаттлом.	я мочь связаться шаттл
Нужно узнать, что с Да'аном.	нужно узнать дааном
Сэр, вы не ранены?	сэр раненый
Нет. Где находится Да'ан?	нет где находиться даана
Неизвестно, сэр.	неизвестно сэр
Тейлонские системы наблюдения отключены,	тейлонской система наблюдение отключить
а обычный радар не может отследить шаттл в гиперпространстве.	обычный радар отследить шаттл гиперпространство
Что происходит со зданием?	что происходить здание
Все системы отключены, но...	весь система отключить но
творится что-то странное.	твориться чтоть странный
Продолжайте.	продолжать
Системы не работают, однако здание живое...	система работать однако здание живой
Похоже, структура самоизолировалась от окружающего мира.	похоже структура самоизолироваться окружающий мир
Свяжитесь с Центром в Оттаве,	связаться центр оттава
Да'ана можно найти с помощью их систем наблюдения.	даана найти помощь система наблюдение
В Оттаве - такие же проблемы, сэр.	в оттава такой проблема сэр
При крушении системы сигнал бедствия автоматически посылается в другие тейлонские Центры.	при крушение система сигнал бедствие автоматически посылаться другой тейлонской центр
Попробуйте связаться с Мехико.	попробовать связаться мехико
Мы перепробовали все Центры, сэр. Безуспешно.	мы перепробовать центр сэр безуспешно
<i>Вашингтонский Центр Сподвижников полностью парализован,</i>	iвашингтонский центр сподвижник полностью парализованi
<i>он самоизолировался от окружающего мира.</i>	iон самоизолироваться окружающий мираi
<i>Аналогичные крушения систем произошли в Центрах Сподвижников</i>	iаналогичный крушение система произойти центр сподвижниковi
<i>в Европе, Индии и Южной Америке.</i>	iв европа индия южный америкеi
<i>Полагают, что бедствие, принявшее мировой масштаб,</i>	iполагать бедствие принять мировой масштабi
<i>началось в Североамериканском Центре.</i>	iначаться североамериканский центреi
<i>До сих пор нет сведений о судьбе шаттла,</i>	iдо сей пора сведение судьба шаттлаi
<i>на борту которого находятся Да'ан и его пилот, капитан Лили Маркетт.</i>	iна борт который находиться даана пилот капитан лить маркеттi
Возможно, локализатор Лили сломался, когда шаттл рухнул...	возможно локализатор лить сломаться шаттл рухнуть
Настройте приборы на приём самых слабых сигналов,	настроить прибор приём самый слабый сигнал
проверьте каждую квадратную милю!	проверить каждый квадратный миля
Я изменяю алгоритм антивируса.	я изменять алгоритм антивирус
Торопись. Жертвы недопустимы!	торопиться жертва недопустимый
Мне не встать... меня прижало обломками.	я встать прижать обломок
У вас три сломанных ребра и внутреннее кровотечение,	у сломать ребро внутренний кровотечение
без помощи медиков вы можете умереть.	помощь медик мочь умереть
- Вы ранены? - Нет.	вы раненый нет
В данный момент главное - помочь вам.	в данный момент главный помочь вы
Реактор сейчас взорвется!	реактор взорваться
Если цепная реакция началась, у нас остались секунды!	если цепной реакция начаться остаться секунда
Вам меня отсюда не вытащить, спасайтесь!	вы отсюда вытащить спасаться
Спешите!	спешить
<i>В Австралии, в результате крушения систем Центра, пострадали два сотрудника...</i>	iв австралия результат крушение система центр пострадать сотрудникаi
<i>В Тель-Авиве по той же причине эвакуирован Тейлонский медицинский центр.</i>	iв тельавив тот причина эвакуировать тейлонский медицинский центрi
<i>Власти озабочены угрозой для земных учреждений, связанных с тейлонскими системами.</i>	iвласть озаботить угроза земной учреждение связанный тейлонской системамиi
<i>Глава ООН Соня Алондес созвала совещание Совета Безопасности по преодолению кризиса.</i>	iглава оон соня алондес созвать совещание совет безопасность преодоление кризисаi
<i>Мы ждем обращения к нации президента Томпсона.</i>	iмы ждать обращение нация президент томпсонаi
Спасайтесь! Времени не осталось!	спасаться время остаться
Я не могу так поступить.	я мочь поступить
Мы должны покинуть здание.	мы должный покинуть здание
Нет. Вирус заражает тейлонские системы по всему миру,	нет вирус заражать тейлонской система весь мир
А началось всё здесь.	а начаться весь здесь
Здесь и решение проблемы.	здесь решение проблема
Я беспокоюсь о Да'ане, Бун.	я беспокоиться даана буна
Сидя в изолированном здании, ему не помочь.	сидеть изолировать здание помочь
А вот теперь самое время уйти...	а самый время уйти
Вам необходима медицинская помощь.	вы необходимый медицинский помощь
А вы должны вернуться в Синод и бороться с кризисом.	а должный вернуться синод бороться кризис
Вышлете за мной помощь.	выслать я помощь
Вы должны понимать, что погибнете, если я вас здесь оставлю,	вы должный понимать погибнуть оставить
а также - то, что я вас не оставлю.	также то оставить
Однако вы продолжаете настаивать. Почему?	однако продолжать настаивать почему
Здесь вы уязвимы. Я должна заботиться о вашей безопасности.	здесь уязвимый я должный заботиться ваш безопасность
Будь я ранен, вы ведь поступили бы точно так же?	быть раненый поступить точно же
Конечно.	конечно
Как и каждый солдат.	как каждый солдат
Как любой из тейлонов.	как люба тейлоновый
Повязка необходима, чтобы поддержать ребра и замедлить внутреннее кровотечение.	повязка необходимый поддержать ребро замедлить внутренний кровотечение
Здание считает нас чужаками. Вирусом!	здание считать чужак вирус
Ирония судьбы... Мы - и в роли чужаков!	ирония судьба мы роль чужак
Агент Ласситер!	агент ласситереть
- Вы обнаружили Да'ана? - Нет, сэр.	вы обнаружить даана нет сэр
Попробую прорваться через южный вход, -	попробовать прорваться южный вход
он дальше всего от центрального процессора;	далёкий центральный процессор
выбросы энергии там должны быть слабее.	выброс энергия должный слабый
Мы должны бороться с вирусом ЗДЕСЬ, вместе!	мы должный бороться вирус здесь вместе
Это единственный шанс на успех.	это единственный шанс успех
Вы не имеете представления, как с ним бороться!	вы иметь представление бороться
Наш единственный шанс - связаться с Да'аном.	наш единственный шанс связаться дааном
Но мы даже не знаем, жив ли он!..	но знать живой он
Я собрал топливо... И пищу.	я собрать топливо и пища
Вы не теряли времени даром.	вы терять время даром
Очень важно как можно скорее двинуться к нашей цели.	очень важный скорее двинуться наш цель
Я понимаю.	я понимать
Как же вы научились?..	как научиться
Читал ваши книги.	читать ваш книга
Я знаю способ попроще.	я знать способ простой
Есть сигнал!	есть сигнал
Очень слабый, но это, несомненно, Лили.	очень слабый это несомненно лить
Они в Аппалачах, 80 миль к юго-западу от Ноксвилла.	они аппалачи 80 миля югозапасть ноксвилл
Какой там рельеф?	какой рельеф
- Сплошные лесные заросли. - Черт!	сплошной лесной заросль черта
Трудно посадить вертолёт.	трудно посадить вертолёт
Придется приземлиться здесь, а дальше - пешком.	прийтись приземлиться здесь далёкий пешком
Как узнать, жива ли она?	как узнать живой она
Боюсь, никак. Сигнал не перемещается.	бояться никак сигнал перемещаться
Ясно. Капитан, вам ясен приказ.	ясно капитан ясный приказ
В путь.	в путь
На вашей планете есть огонь?	на ваш планета огонь
Да, есть.	да есть
Но, в отличие от вас, мы не используем пламя для приготовления еды.	но отличие вы использовать пламя приготовление еда
Только для обогрева?	только обогрев
У нас есть более эффективные методы для обеспечения комфортных температур.	у эффективный метод обеспечение комфортный температура
Тейлонам огонь нужен только для эстетического удовольствия.	тейлоно огонь нужный эстетический удовольствие
Это наилучший повод развести костёр.	это хороший повод развести костёр
Я изучал коренных жителей этих территорий,	я изучать коренной житель этот территория
они использовали травы и ягоды для исцеления больных и раненых.	использовать трава ягода исцеление больной раненый
Я пытаюсь следовать их примеру.	я пытаться следовать пример
Благодарю.	благодарить
Неплохо!	неплохо
Авгур!	авгур
Сделай громче.	сделать громкий
<i>Моя администрация делает всё, чтобы обеспечить безопасность граждан.</i>	iмыть администрация делать весь обеспечить безопасность гражданi
<i>В отсутствие Американского Сподвижника, Да'ана,</i>	iв отсутствие американский сподвижник даанаi
<i>мы, вместе с представителем Тейлона в ООН, Зо'ором,</i>	iмы вместе представитель тейлоно оон зооромi
<i>работаем, чтобы вернуть системы Сподвижников в рабочее состояние.</i>	iработать вернуть система сподвижник рабочий состояниеi
<i>И я, и лидеры других держав призываем вас к спокойствию!</i>	iи я лидер другой держава призывать спокойствиюi
<i>С помощью - Божьей и Сподвижников - мы справимся с этой проблемой.</i>	iс помощь божий сподвижник справиться проблемойi
- Отключить звук. - Такой вот совет. Соблюдать спокойствие.	отключить звук такой совет соблюдать спокойствие
Авгур!	авгур
Он даже не представляет масштаба угрозы!	он представлять масштаб угроза
На очереди - аварии в тейлонских научных центрах,	на очередь авария тейлонской научный центр
а их системы напрямую связаны с нашей спутниковой сетью!	система напрямую связать наш спутниковый сеть
Вы же понимаете, о чём идет речь, Дорс!	вы понимать что идти речь дорс
Спутниковые системы управления оружием!	спутниковый система управление оружие
Авгур, истерики бесполезны! Не отвлекайся!	авгур истерика бесполезный не отвлекаться
Не отвлекаться?	не отвлекаться
Да, не отвлекаться!	да отвлекаться
Ведь люди погибнут! И это лишь вопрос времени, Джонатан,	ведь человек погибнуть и это лишь вопрос время джонатан
а виноват во всем я!..	виноватый весь я
Объясни, как ты пытаешься остановить вирус.	объяснить пытаться остановить вирус
Вы что, не понимаете?	вы что понимать
Я НЕ МОГУ его остановить! Я пытался!	я не мочь остановить я пытаться
Покажи мне!	показать я
В чём дело?	в что дело
Тейлонское Сообщество зовёт меня.	тейлонский сообщество звать я
Никогда раньше я не ощущал их присутствия так остро.	никогда ранний ощущать присутствие остро
Но, в то же время, я так далеко от них...	но время далеко они
Вы чувствуете их присутствие телепатически?	вы чувствовать присутствие телепатичёска
Мы ощущаем присутствие друг друга на множестве различных уровней.	мы ощущать присутствие друг друг множество различный уровень
В своих мыслях мы никогда не одиноки.	в свой мысль одинокий
Наши расы - такие разные...	наш раса такой разный
Для многих землян дороже всего - возможность	для многий землянин дорогой возможность
находиться наедине со своими мыслями.	находиться наедине свой мысль
Каждый из нас может отключиться от ментального сообщества, если пожелает,	каждый отключиться ментальный сообщество пожелать
но никто этого не делает.	никто делать
Вы... страшитесь оказаться наедине со своими мыслями?	вы страшиться оказаться наедине свой мысль
Полагаю, да.	полагать да
Прибывает спасательная команда,	прибывать спасательный команда
нужно подать им сигнал.	нужно подать сигнал
Боюсь, это было бы неразумно.	бояться это неразумно
Сначала нужно разобраться, кто они такие.	сначала нужно разобраться такой
Но как наши враги узнают, где нас искать?	но наш враг узнать искать
Не будем предполагать худшее, однако	не быть предполагать плохой однако
сейчас мы беззащитны.	беззащитный
Я поймал частоту локализатора капитана Маркетт.	я поймать частота локализатор капитан маркетта
Помните, она должна притворяться, что защищает Да'ана.	помнить должный притворяться защищать даана
Мы же должны притворяться, что она - враг.	мы должный притворяться враг
А что с тейлоном?	а тейлоно
Главное для нас - капитан Маркетт.	главный капитан маркетта
Мы делаем все возможное для её безопасности.	мы делать возможный её безопасность
Вирус по-прежнему распространяется?	вирус попрежний распространяться
Да, сэр. Сообщили, что заражены Лиссабонский и Сингапурский Центры.	да сэр сообщить заразить лиссабонский сингапурский центр
И ещё 46 Тейлонских Центров по всему миру.	и ещё 46 тейлонской центр весь мир
Есть жертвы?	есть жертва
Раненые; погибших нет.	раненый погибший нет
Большинство Центров эвакуировано.	большинство центр эвакуировать
Однако есть ещё проблема, сэр...	однако ещё проблема сэр
Говорите.	говорить
Многие Тейлонские Центры неразрывно	многие тейлонской центр неразрывно
связаны с человеческими системами.	связать человеческий система
И... земные системы тоже заражаются?	и земной система заражаться
В Сантьяго Тейлонский Центр связан с аэропортом.	в сантьяго тейлонский центр связать аэропорт
Диспетчерские системы отключились, чудом удалось избежать трёх падений. Аэропорт закрыли.	диспетчерский система отключиться чудом удаться избежать три падение аэропорт закрыть
Будьте на связи.	быть связь
Тейлонские системы - живые организмы!	тейлонской система живой организм
Они вынуждают вирус мутировать, изменяться,	они вынуждать вирус мутировать изменяться
поэтому все антивирусы становятся неэффективными!	поэтому антивирус становиться неэффективный
Я работаю вслепую!	я работать вслепую
Попробуй взглянуть на проблему под другим углом:	попробовать взглянуть проблема другой угол
