cleaned_text	lemm_text
У нас проблема	у проблема
Мы отрезаны	мы отрезать
- Отрезаны от чего? - От нашего взвода, Саймон	отрезать что от наш взвод саймон
Мы окружены отрядом сепаратистов	мы окружить отряд сепаратист
и мы никогда не вернемся к нашему взводу	вернуться наш взвод
Нам придется прибегнуть к каннибализму	мы прийтись прибегнуть каннибализм
Что-то быстро. Разве у нас нет провизии или чего еще?	чтоть быстро разве провизия ещё
Они пропали. Нам придется есть людей	они пропасть мы прийтись человек
Разве ты не должна готовиться к твоему сольному концерту?	разве должный готовиться твой сольный концерт
Я все разучила Это неправильно	я разучить это неправильно
Так в книге, Ривер	так книга ривер
Нет. Книга ошибается. Все это заключение ошибочно	нет книга ошибаться весь это заключение ошибочно
Так, и как же сепаратисты нас отрезали?	так сепаратист отрезать
У них были динозавры	у динозавр
Следите за языком, молодой человек	следить язык молодая человек
Прости, папа. Сепаратисты атаковали нас на динозаврах.	простить папа сепаратист атаковать динозавр
Саймон лишился головы в пылу боя	саймон лишиться голов пыл бой
Раз уж там были замешаны динозавры, я думаю, сделаем вид, что ничего не было	раз замешать динозавр думать сделать вид
- Ты получил мое сообщение? - Получил. Твой текст сокращен	ты получить мой сообщение получить твой текст сократить
Я получил полный экземпляр на собрании совета директоров. Спасибо.	я получить полный экземпляр собрание совет директор спасибо
Если бы у меня выделенный инфобокс, он не был бы сокращен	если выделить инфобокс сократить
Я бы не потерял половину реферата	я потерять половина реферат
Да, и ты бы получил доступ ко всему, что попало туда из кортекса	да получить доступ к весь попасть туда кортекс
Я категорически запрещаю это - Пап! - Пап!	я категорически запрещать это папа папа
В моем доме этого не будет	в мыть дом
Но так как ваша мать уже заказала вам один...	но ваш мать заказать один
Думаю, я должен бросить мысль, будто этот дом принадлежит мне.	думать должный бросить мысль дом принадлежать я
- Ты шутишь? - Отплатишь тем, что станешь блестящим доктором	ты шутить отплатить тем стать блестящий доктор
Это сделка	это сделка
Выделенный инфобокс- блестящий доктор.	выделить инфобокс блестящий доктор
- А когда я- - Через много лет	а я через год
Пап, это так Это нереально-	папа это это нереально
Я знаю. Думаешь, что я позволю тебе работать с чем-то второсортным?	я знать думать позволить ты работать чемтый второсортный
- Спасибо - Ты заслужил это	спасибо ты заслужить это
Вот, как вы думаете, способны ли два гения, то есть вы,	вот думать способный гений вы
обеспечить вашему усталому старому отцу пару минут тишины?	обеспечить ваш усталый старое отец пара минута тишина
Нет! Нет! Я не хочу туда!	нет нет я хотеть туда
- Все в порядке - Все не в порядке!	весь порядок весь порядок
Ты не можешь просто копаться в моей голове, совать острые иголки в мои глаза и спрашивать, что я вижу!	ты мочь просто копаться мой голов совать острый иголка мой глаз спрашивать видеть
Все хорошо Мы не будем	весь мы быть
Смотри. Сегодня никаких тестов	смотреть сегодня никакой тест
Никаких поганых тестов	никакой поганый тест
Тупой сукин сын разодел меня как проклятую куклу	тупой сукин сын разодеть проклятый кукла
Никаких тестов, никаких уколов. Пойдем.	никакой тест никакой укол пойти
Я просто дам тебе средство помягче-	я просто дать ты средство мягкий
Ривер!	ривер
Не его	не
Итак, она добавила ругательства и швыряние предметами в свой репертуар	итак добавить ругательство швыряние предмет свой репертуар
- Она действительно талант - Просто плохой день	она действительно талант просто плохой день
Нет. Плохой день - это когда чьи-то вопли пугают скот.	нет плохой день это чьитый вопль пугать скот
Понятно? Когда-нибудь видел бегство коров, когда им некуда бежать?	понятно когданибудь видеть бегство корова некуда бежать
Что-то вроде мясорубки, и из-за этого мы потеряем половину стада	чтоть вроде мясорубка изз потерять половина стадо
- Она и близко к стаду не подходит - Нет	она близко стадо подходить нет
Да, но если ты не заметил, голос у нее довольно громкий	да заметить голос довольно громкий
Мы в двух милях над поверхностью, и ее могут услышать там внизу	мы два миля поверхность мочь услышать внизу
Как только мы разгрузимся, она может орать покуда у нас уши не лопнут	как разгрузиться орать покуда ухо лопнуть
хотя я бы проявил ей признательность, если она не будет	хотя проявить признательность
Человеческий организм может быть обескровлен за 86 секунд, используя соответствующие вакуумные системы	человеческий организм обескровить 86 секунда использовать соответствующий вакуумный система
Видишь, ненормальная и пугающая, я с ней проблем не хочу.	видеть ненормальный пугать проблема хотеть
Пока она ведет себя таким образом	пока вести такой образ
Это параноидальная шизофрения, Капитан, дело рук правительственных ученых,	это параноидальный шизофрения капитан дело рука правительственный учёный
