cleaned_text	lemm_text
Они отложат мою игру.	они отложить мой игра
На неопределенный срок.	на неопределённый срок
В предыдущих сериях Halt and Catch Fire...	в предыдущий серия halt and catch fire
Rover не разрабатывают браузер.	rover разрабатывать браузер
Они индексируют сеть.	они индексировать сеть
Я бы хотел занять денег.	я хотеть занять деньга
Ты не знаешь, каково это - быть на пенсии.	ты знаешь каков это пенсия
Я не хочу, чтобы все заканчивалось так.	я хотеть заканчиваться так
Можно вернуться назад, есть ли у нее управленческий опыт?	можно вернуться назад управленческий опыт
Если это то, что нужно Rover, у меня есть идеальный человек.	если это то нужно rover идеальный человек
- Что это? - Ну, язык разметки довольно прост.	что это ну язык разметка довольно простой
Не как С++.	не с
представь себе, что-то вроде сайта всех сайтов,	представить себя чтоть вроде сайт сайт
который приведет тебя туда, куда тебе нужно.	который привести туда ты нужно
Дело не в нем.	дело немой
Мне было грустно.	я грустно
И мне нужно было куда-то девать эту грусть,	и нужно кудато девать грусть
и он…	он…
оказался там.	оказаться там
Я находился с ним в одной комнате.	я находиться один комната
Я все время вспоминаю все, что он сказал мне.	я время вспоминать весь сказать я
Ты приняла его сторону.	ты принять сторона
Ты любишь его.	ты любить он
Это не так.	это так
Почему я должен тебе верить?	почему должный ты верить
Потому что…	потому что…
Джо нельзя любить.	джо любить
Его невозможно любить.	он невозможно любить
Он пуст и…	он пустой и…
он просто становится	просто становиться
тем, чего требуют обстоятельства.	тем требовать обстоятельство
Кто ты?	кто ты
Джо!	джо
Ух ты. Просто идеально.	ух ты просто идеально
Ты времени не теряла, да?	ты время терять да
Он здесь?	он здесь
На работе!	на работа
Ты не слышишь меня.	ты слышать я
Нет, это возможность для тебя.	нет это возможность ты
Мы готовы реструктурировать сделку, Джон.	мы готовый реструктурировать сделка джон
Слушай, просто удели мне пять минут своего времени.	слушай просто уделить пять минута свой время
Гордон, прости.	гордон простить
Я понятия не имел о том, что произошло.	я понятие иметь тот произойти
Только что говорил с Волпи.	только говорить волпи
Ну, конечно, с тобой он разговаривает.	ну конечно ты разговаривать
Он уперся!	он упереться
Я пытаюсь дозвониться до PacBell.	я пытаться дозвониться pacbell
Там нечего ловить. Ты опоздал.	там нечего ловить ты опоздать
Единственное, что нам остается -	единственный мы оставаться
продать, пока мы чего-то стоим.	продать пока чеготь стоять
Не говори так. Мы еще можем что-нибудь придумать...	не говорить так мы мочь чтонибыть придумать
Избавь меня от представлений, Джо.	избавить представление джо
Если ты разговаривал по телефону хоть пять минут, значит, ты все знаешь!	если разговаривать телефон пять минута значит знаешь
Это не то, что я хочу слышать от тебя сейчас.	это то хотеть слышать сейчас
Как Кэмерон?	как кэмерон
Да, я заглянул к тебе сегодня утром.	да заглянуть ты сегодня утром
Она выглядела… хорошо устроившейся.	она выглядела… устроиться
Знаешь, можешь представить мое удивление.	знаешь мочь представить мой удивление
Ты пропадаешь, я думаю, что расстроил тебя,	ты пропадать думать расстроить ты
а потом оказывается, что ты спрятался ото всех с замужней женщиной.	оказываться спрятаться от замужний женщина
Она разведена.	она развести
Почти.	почти
Почти разведена!	почти развести
- Как прекрасно. - Почему мы говорим о Кэмерон?	как прекрасно почему говорить кэмерон
Потому что я вас знаю!	потому знать
Это как… как…	это как… как…
Ты поезд и она поезд,	ты поезд поезд
и ты думаешь: “Мы два поезда.	думать “мы поезд
Мы будем отлично ладить!”	мы быть отлично ладить”
Но потом оба поезда на одних путях,	но оба поезд один путь
и они направляются друг на друга,	направляться друг друг
и угадай что…	угадать что…
оба поезда везут динамит.	оба поезд везти динамит
Слушай, я видел это тысячу раз.	слушай видеть это тысяча раз
Я знаю, чем это заканчивается.	я знать это заканчиваться
- Ладно. Они взорвутся! - Да, да, да.	ладный они взорваться да да да
- Это не… - Мы не подходим друг другу,	это не… мы подходить друг друг
- и все знакончится плохо. - Да!	знакончиться плохо да
Что это?	что это
"Переведено специально для сообщества ""Безудержный свун по Ли Пейсу"""	перевести специально сообщество безудержный свун ли пейс
Переводчики: Tanya852, isamat, Parasite God.	переводчик tanya852 isamat parasite god
Технический перевод: isamat.	технический перевод isamat
Коррекция: ularula.	коррекция ularula
http://leepaceswoon.diary.ru https://vk.com/leepaceswoon	httpleepaceswoondiaryru httpsvkcomleepaceswoon
Привет! Я приготовила тебе завтрак.	привет я приготовить ты завтрак
Яйцо с сыром.	яйцо сыр
Яйцо с сыром!	яйцо сыр
Мне…	мне…
жаль, что я не смогу прийти сегодня.	жаль смочь прийти сегодня
Мы обговариваем последние детали продажи,	мы обговаривать последний деталь продажа
и Гордон немножко… опечален, как мне кажется.	гордон немножко… опечалить кажется
Честно, все нормально.	честно нормальный
Это такая ерунда.	это такой ерунда
Я буду изображать послушного робота,	я быть изображать послушный робот
вот и все.	весь
Тебе надо заглянуть к нам после этого.	ты заглянуть мы это
Гордон успокоится.	гордон успокоиться
Да все нормально, потому что мне нужно…	да нормальный нужно…
прошу прощения.	просить прощение
После панели у меня	после панель
переговоры с Atari,	переговоры atari
обсудим следующие шаги по Pilgrim, так что...	обсудить следующий шаг pilgrim что
О, это должно пройти гладко.	о это должный пройти гладко
Да, я думаю, они одумаются.	да думать одуматься
Я… у меня для тебя подарок.	я… подарок
Для меня?	для я
Для твоих видеоигр.	для твой видеоигра
Что ж, это...	что ж это
пассивно-агрессивно.	пассивноагрессивный
В самом деле?	в самый дело
Потому что я… я стремился к тупой	потому я… стремиться тупой
- бескомпромиссной ясности. - Ой. Ты промахнулся.	бескомпромиссный ясность ой ты промахнуться
Ты шумная.	ты шумный
Все, что ты делаешь - шумно	весь делать шумно
- и беспорядочно. - Прости.	беспорядочно простить
Что напоминает мне,	что напоминать я
что сегодня ты должна распаковать коробки.	сегодня должный распаковать коробка
Я так сожалею о вмешательстве	я сожалеть вмешательство
в твой идеально упорядоченный мирок.	твой идеально упорядочить мирок
Я чувствую, ты… ты считаешь это оскорблением?	я чувствовать ты… считать это оскорбление
Ты урод. Ты ведь знаешь это, так?	ты урод ты знаешь это так
Распаковать.	распаковать
Ты словно Говард Хьюз, которому кто-то дал...	ты словно говард хьюз который ктоть дать
- Распаковать … наши коробки. - … копию “Сиддхартха”.	распаковать … наш коробка … копия “сиддхартха”
и он просто стал жить по ней.	просто стать жить она
Ты в трех шагах,	ты три шаг
от создания идеально-стерильных покоев.	создание идеальностерильный покой
Видишь? Боже, они отлично работают.	видеть бог отлично работать
Я не слышу ни слова.	я слышать слово
Ты так раздражаешь.	ты раздражать
Ваш автомобиль будет здесь через 20 минут.	ваш автомобиль 20 минута
Ребята из StrongBox выступают в 10-00.	ребята strongbox выступать 1000
- Также… - У тебя есть предложение от MultiLink?	также… у предложение multilink
Оно у вас на столе, но...	оно стол но
Доброе утро.	добрый утро
Привет.	привет
Э, парни из TuneWorx сегодня прислали это	э парень tuneworx сегодня прислать это
в знак благодарности за IPO.	знак благодарность ipo
Они знают, что я играю.	они знать играть
Я говорил с ребятами из Spyglass.	я говорить ребята spyglass
Я думала, они не принимают венчурный капитал.	я думать принимать венчурный капитал
Если я прочел это правильно,	если прочесть это правильно
они собираются лицензировать код Mosaic,	собираться лицензировать код mosaic
и если они возьмут чьи-то деньги,	взять чьитый деньга
это должны быть наши деньги.	это должный наш деньга
Пару недель назад тебя не интересовали игры в браузеры.	пара неделя назад интересовать игра браузер
Ну, в общем, ты знаешь,	ну общий знаешь
у правильного браузера могут быть ноги.	правильный браузер мочь нога
Пару лет брал уроки.	пара год брать урок
Имею в виду, я хорошо играю.	иметь вид играть
Но я никогда не стану великим.	но стать великое
О, не говори так.	о говорить так
Я буду держать тебя в курсе насчет Spyglass.	я быть держать курс насчёт spyglass
Мы могли бы работать в паре.	мы мочь работать пара
Спасибо.	спасибо
Посылка для Кэмерон.	посылка кэмерон
Отлично.	отлично
Больше вещей.	большой вещий
Это от Тома.	это том
Еще пару раз.	ещё пара раз
Ты в порядке?	ты порядок
У нас были связаны руки.	у связать рука
Мы продали дорого.	мы продать дорого
Получилось вдвое больше, чем мы думали.	получиться вдвое большой думать
Полагаю, ты все еще можешь ориентироваться в мире бизнеса,	полагать мочь ориентироваться мир бизнес
когда ты мотивирован.	мотивировать
У нас есть капитал, чистый лист.	у капитал чистый лист
Мне нравилось это место	я нравиться это место
Я знаю, сейчас так не кажется, но...	я знать кажется но
это начало чего-то.	это начать чеготь
Наш момент истины скоро будет здесь.	наш момент истина скоро здесь
В чем дело?	в дело
Джо хотел бы поговорить с тобой о про...	джо хотеть поговорить ты про
Указатель, который ты сделала,	указатель который сделать
проводник, список кoмет.	проводник список кoмета
Мне нравится.	я нравиться
Спасибо.	спасибо
Более того, он нравится и другим.	более тот нравиться другой
Трафик поразителен.	трафик поразительный
Да, дорогая, это действительно хорошая идея.	да дорогой это действительно хороший идея
Идея, очевидно, была моя - индексация.	идея очевидно индексация
Несколько лет я работал над ней вручную.	несколько год работать вручную
Твой папа хотел сказать,	твой папа хотеть сказать
что реализация идеи замечательна,	реализация идея замечательный
и мы хотим ее у тебя купить.	хотеть купить
О, Джо, притормози.	о джо притормозить
Джо.	джо
Я хочу превратить ее в нечто...	я хотеть превратить нечто
реальное… без обид.	реальное… обида
Я бы сразу разместил его на собственный выделенный сервер,	я сразу разместить собственный выделить сервер
так, чтобы произошел плавный переход,	так произойти плавный переход
без прерывания в обслуживании.	прерывание обслуживание
Я сделал бы это сегодня.	я сделать это сегодня
Я уже сделал это.	я сделать это
Вы хотите это купить?	вы хотеть это купить
Он хочет сказать… Джо…	он хотеть сказать… джо…
Послушай, ты… ты все это сделала,	послушать ты… это сделать
поэтому вполне естественно, что мы купим это у тебя.	поэтому вполне естественно купить это ты
Так… Так… Так это и работает.	так… так… так это работать
Хорошо. Купите за сколько?	хорошо купить сколько
Мы бы начали…	мы начали…
Я думаю, разумная цена - $20,000.	я думать разумный цена 20000
Можно быстренько переговорить с тобой?	можно быстренько переговорить ты
Слушай, я думал ты предложишь ей типа	слушай думать предложить тип
сертификат в Blockbuster,	сертификат blockbuster
или сотню баксов или типа того.	сотня бакс тип тот
Ты хочешь обдурить собственную дочь?	ты хотеть обдурить собственный дочь
Нет, Джо.	нет джо
Ты сказал “номинальная плата”. Ей 14 лет.	ты сказать “номинальный плата” она 14 год
- Ты не можешь дать 14-летнему подростку $20,000. - У этого сайта…	ты мочь дать 14летний подросток 20000 у сайта…
- Я раздавлю твою голову. - ...12,000 посетителей за две недели.	я раздавить твой голова 12000 посетитель два неделя
Это невероятно.	это невероятно
Мне плевать.	я плевать
Ей 14 лет.	она 14 год
Через 10 лет ей будет 24 года,	через 10 год 24 год
а эта идея может стоить миллиарды долларов.	этот идея стоить миллиард доллар
Мы не будем давать ей деньги.	мы быть давать деньга
Ясно? Мы можем придумать что-нибудь другое,	ясно мы мочь придумать чтонибыть другой
или создать фонд или типа того, но мы не будем давать ей…	создать фонд тип тот быть давать ей…
Да, звучит здорово.	да звучать здорово
Да, поместим $20,000 в фонд.	да поместить 20000 фонд
Мы поговорили.	мы поговорить
И мы подумали, что $5,000…	и подумать 5000…
Мне не нужны деньги.	я нужный деньга
Я хочу над этим работать.	я хотеть это работать
- Договорились. - Что?	договориться что
Я хочу приходить сюда и работать,	я хотеть приходить сюда работать
вместо одного урока в школе.	вместо один урок школа
Ну, мы могли бы…	ну мочь бы…
Это может быть моим самостоятельным уроком.	это мой самостоятельный урок
Без проблем. Мы сейчас же все организуем.	без проблема мы организовать
Как понимаю, тебе нужно возвращаться на английский,	как понимать ты нужно возвращаться английский
так что обсудим это после школы.	обсудить это школа
Гордон, встретимся у тебя?	гордон встретиться ты
Конечно.	конечно
Их файервол так же мощен, как говорят?	они файервол мощный говорят
Третье поколение, прикладной уровень.	третье поколение прикладной уровень
Они очень талантливы.	они очень талантливый
И показали хорошее представление.	и показать хороший представление
Кстати, о представлениях…	кстати представлениях…
Посмотри на него.	посмотреть он
Несмотря на его причуды, хорошо, что он наш партнер.	несмотря причуда хорошо наш партнёр
Он приносит сделки.	он приносить сделка
Он пытается обойти меня на браузерном фронте.	он пытаться обойти браузерно фронт
Несколько недель назад он поливал Millenium грязью.	несколько неделя назад поливать millenium грязь
А теперь подлизывается к Spyglass?	а подлизываться spyglass
Ну, мне он ничего не говорил.	ну говорить
Может быть, ему хочется работать с тобой.	мочь быть хотеться работать ты
Там Нина Кляйн.	там нина кляйн
Мне надо пойти поздороваться.	я пойти поздороваться
Ты иди. А я…	ты идти а я…
