cleaned_text	lemm_text
Давай.	давать
<i>Широко распахнуты черные глаза Пришла пора признать.</i>	iшироко распахнуть чёрный глаз пришлый пора признатьi
<i>В жизни нет правил И все ждут тебя.</i>	iв жизнь правило и ждать тебяi
<i>Ну а я растворяюсь в телефонной трубке.</i>	iну растворяться телефонный трубкеi
<i>Мне одиноко Я выпал из обоймы.</i>	iмна одиноко я выпасть обоймыi
Джек! Джексон! Нет!	джек джексон нет
Роджер.	роджер
Ты чудесный человек, да, и ты отличный адвокат.	ты чудесный человек да отличный адвокат
Но нам не судьба быть вместе.	но мы судьба вместе
Нет, я не хочу за тебя замуж. Ты совсем, что ли?	нет хотеть замуж ты совсем ли
Да что с тобой такое?	да ты такой
Роджер, всё кончено.	роджер весь конченый
Господи.	господь
Черт!	черта
Чертовы мужики!	чертовый мужик
- Он рыдал? - Плакал, смеялся.	он рыдать плакать смеяться
- Орал на меня. Ну и по фиг! - Ты ему сердце разбила.	орало я ну фига ты сердце разбить
- Давно надо было расстаться с ним... - Элли! Мусор!	давно расстаться он элли мусор
Может, кто-нибудь вынесет его вместо меня?	мочь ктонибыть вынести вместо я
Ей на сцену пора!	она сцена пора
Твоя гребаная очередь!	твой гребаный очередь
- Господи! - Он совсем офигел!	господь он офигел
Ладно, жди меня на улице.	ладный ждать улица
Ты чего, Брайан, у нее вечером выступление!	ты что брайан вечером выступление
Ну давай! Туда бы еще твою пасть выкинуть в мусорку!	ну давать туда твой пасть выкинуть мусорка
- Можешь идти, когда всю работу доделаешь! - А ты чисти зубы каждый день, ясно?	мочь идти работа доделать а чистить зуб каждый день ясно
<b>ЗВЕЗДА РОДИЛАСЬ</b>	bзвезда родиласьb
Ну и где мы, мать твою?	ну мы мать твой
Мы в восточной части города.	мы восточный часть город
- А еще есть? - Нет.	а есть нет
Нет, прости, Джек. Где-то через час сорок с учетом пробок будем на месте.	нет простить джек гдеть час сорок учёт пробка быть место
- Правда? - Да.	правда да
Можно и тут зайти куда-нибудь.	можно зайти куданибудь
