cleaned_text	lemm_text
Только упрямый гринго... Приехал бы сюда...	только упрямый гринго приехать сюда
Со спасательной операцией... СОВСЕМ ОДИН	с спасательный операция совсем один
Этот гринго не собирается говорить.	этот гринго собираться говорить
Тогда прикончи его.	тогда прикончить он
Давай, нас ждет генерал.	давать ждать генерал
Твоим пистолетом нельзя...	твой пистолет нельзя
...Пристрели его из его же пистолета.	пристрелить пистолет
А он не стреляет.	а стрелять
У этого говнюка пистолет без ударника.	у говнюк пистолет ударник
Оставь его.	оставить он
Собаки уже давно не убивали ради еды.	собака давно убивать ради еда
О, я такой плохой католик.	о плохой католик
Нет, ты больной на голову.	нет больной голова
Не забудь деньги генерала.	не забыть деньга генерал
Гринго подкупил не того копа...	гринго подкупить копа
...и пришел с пушкой без ударника.	и прийти пушка ударник
ПОЛКОВНИК ГАННИБАЛ СМИТ	полковник ганнибал смит
ОТСЛЕЖИВАНИЕ	отслеживание
БОСКО БИ ЭЙ БАРАКУС	боско би эй баракус
ЖАЛЬ	жаль
ДУРЕНЬ	дурень
ЛЕЙТЕНАНТ «КРАСАВЧИК» ПЕК	лейтенант «красавчик» пек
Хочу, чтобы огонь увидели марсиане.	хотеть огонь увидеть марсианин
Ты приходишь сюда...	ты приходить сюда
...чтобы перекинуть меня в мешке через границу...	чтобы перекинуть мешок граница
...а вместо этого спишь с моей женой.	а вместо спать мой жена
Мы скормили его псам.	мы скормить пёс
Никто не знал, где ты прячешься...	никто знать прятаться
У нас не было разведданных... до сегодняшнего дня, урод.	у разведдать сегодняшний день урод
Госпиталь Сан Висенте де Пауло МЕДЦЕНТР АРМИИ США СОНОРА	госпиталь сан висенте де пауло медцентр армия сша сонора
КАПИТАН ЭЙЧ ЭМ МЕРДОК	капитан эйч эм мердок
ОТСЛЕЖИВАНИЕ	отслеживание
8 ЛЕТ И 80 УСПЕШНЫХ МИССИЙ СПУСТЯ	8 год и 80 успешный миссия спустя
ПОБ «ОХОТНИК ЗА ГОЛОВАМИ» ЗАВЕРШЕНИЕ ВЫВОДА ВОЙСК ИЗ ИРАКА	поб «охотник за головами» завершение вывод войско из ирак
ГЕНЕРАЛ РАССЕЛЛ МОРРИСОН КОМАНДУЮЩИЙ БАЗЫ	генерал расселла моррисон командующий база
КАБУЛ, АФГАНИСТАН	кабул афганистан
ФЕДЕРЕЛЬНАЯ ТЮРЬМА ПЕНСАКОЛА, ФЛОРИДА	федерельный тюрьма пенсакола флорида
АВАРИЙНЫЙ	аварийный
ВЫХОД СЕЙЧАС	выход сейчас
АВАРИЙНЫЙ ВЫХОД	аварийный выход
ВЕЛИЧАЙШИЙ ПОБЕГ	великий побег
КАК Я ВОЖУ?	как я возить
Это нечестно по отношению к рыбе!	это нечестно отношение рыба
Ты жульничаешь!	ты жульничать
Твое постоянное ворчание...	твой постоянный ворчание
...отпугивает рыбу!	отпугивать рыба
ЕВРОПЕЙСКОЕ КОМАНДОВАНИЕ ВС США, ШТУТГАРТ	европейский командование вс сша штутгарт
ЦЕНТРАЛЬНЫЙ ВОКЗАЛ ФРАНКФУРТА	центральный вокзал франкфурт
ГОСПОДИ!	господь
У НЕГО ПИСТОЛЕТ!	у он пистолет
ВОН ТАМ! У НЕГО ПИСТОЛЕТ!	вон там у он пистолет
ПИСТОЛЕТ!	пистолет
КЁНИГСБАНК-ТАУЭР ФРАНКФУРТ, ГЕРМАНИЯ	кёнигсбанктауэр франкфурт германия
«КЁНИГСБАНК»	«кёнигсбанк»
ВРЕМЯ ДО МИШЕНИ	время до мишень
 ПОСОЛЬСТВО США	посольство сша
