cleaned_text	lemm_text
Финальное очко!	финальный очко
Гейм.	гейм
Хорошо поиграли.	хорошо поиграть
Эй, Тати.	эй тать
О, Макси!	о макси
О, послушайте, Людивин.	о послушать людивина
Она моя кузина. Может быть.	она кузина мочь быть
В конце концов, она может оказаться моей родственницей.	в конец конец оказаться мой родственница
- И, наверное, это все-таки слишком? - Нет.	и наверное это всетаки слишком нет
Половина французских аристократов...	половина французский аристократ
...крутила романы со своими двоюродными сестрами.	крутило роман свой двоюродный сестра
Бог ты мой, тогда все понятно.	бог мой понятно
Нет, не пойдет.	нет пойти
Вино, вино.	вино вино
"Что угодно, только не ""Ля Сирок""."	что угодный ля сирок
Без этикетки. Выглядит многообещающе.	без этикетка выглядеть многообещающий
- Так. - Осторожнее на ступеньках.	так осторожный ступенька
- И что же ты там видишь? - Фервере.	и видеть фервера
Ты говоришь на неведомом языке, чтобы меня запутать, малыш?	ты говорить неведомый язык запутать малыш
Фервере. Это латинское слово.	фервера это латинский слово
"В переводе означает ""бурлить""."	в перевод означать бурлить
Дрожжи превращают сахар, содержащийся в винограде, в спирт.	дрожжи превращать сахар содержаться виноград спирт
Высвобождающийся углекислый газ создает эффект бурления.	высвобождаться углекислый газ создавать эффект бурление
Наверное, у меня начинается слабоумие.	наверное начинаться слабоумие
Я не помню, чтобы когда-нибудь тебе об этом рассказывал.	я помнить когданибудь ты рассказывать
Это не ты. Это мне объяснил мсье Дюфло.	это ты это объяснить мсьё дюфть
Славно. Еще одно подтверждение...	славно ещё один подтверждение
...что мудростью порой обладают те, от кого ее не ждешь.	что мудрость порой обладать тот кто ждать
Возьми, к примеру, Дюфло, который опускается на колено...	взять пример дюфть который опускаться колено
...чтобы полоть землю. Что может быть прозаичнее?	чтобы полоть земля что прозаичный
Но какой высокой поэзией исполнено его преданное служение каждой лозе.	но высокий поэзия исполнить предать служение каждый лоза
Возможно, когда-нибудь он вдохновит тебя...	возможно когданибудь вдохновить ты
...и ты тоже станешь преданно и ревностно служить тому делу...	и стать преданно ревностно служить тот дело
...которым будешь зарабатывать себе на жизнь.	который быть зарабатывать жизнь
Когда я вырасту, я стану профессиональным игроком в покер.	когда вырасти стать профессиональный игрок покер
Или комиком.	или комик
Максимиллиан, спроси меня, что самое главное в хорошей шутке?	максимиллиана спросить я самый главный хорошеть шутка
- Что самое главное в хорошей шутке? - Главное - правильно выбрать момент.	что самый главный хорошеть шутка главный правильно выбрать момент
Правильно выбрать момент.	правильно выбрать момент
- Ты уже пробовал папино вино? - О да, конечно.	ты пробовать папин вино о да конечно
Оно просто отвратительно, не правда ли?	оно просто отвратительный правда ли
Но я очень рекомендую его для вымывания краски из-под ногтей.	но очень рекомендовать вымывание краска изпод ноготь
- Значит, ты уже в курсе. - Я больше предпочитаю коньяк.	значит курс я предпочитать коньяк
Для любителя вина я слишком нетерпелив.	для любитель вино слишком нетерпеливый
Если я хочу напиться, мне не нравится тратить на это едва ли не всю ночь.	если хотеть напиться нравиться тратить это едва ночь
Попробуй вот это.	попробовать это
Намного лучше.	намного хороший
Это что-то исключительное.	это чтоть исключительный
"Как ""Бордо"", только вкус мягкий, словно бархат..."	как бордо вкус мягкий словно бархат
...а не колючий, как шерсть. - Так, так, так...	а колючий шерсть так так так
...а она разбирается в вине.	а разбираться вина
Дома в Напа мы время от времени ездим на дегустации...	дом нап время время ездить дегустация
...полоскать рот и сплевывать вино в урны.	полоскать рота сплёвывать вино урна
Тебя послушать, та еще забава.	ты послушать тот забава
А это вино сделано здесь? В поместье?	а это вино сделать здесь в поместье
"""Куан Пердю"". Сомневаюсь."	куан пердь сомневаться
Бутылка другая, а пробка та же самая.	бутылка другой пробка тот самый
Маленькая загадка, не так ли?	маленький загадка ли
Ну, Генри и сам был в некотором роде загадкой.	ну генри некоторый род загадка
В смысле?	в смысл
Ну, он любил Англию, а сам жил во Франции.	ну любить англия жить франция
Любил женщин...	любить женщина
...но каждую - какой-то определенный промежуток времени.	но каждый какойтый определённый промежуток время
Никогда не был женат.	никогда женатый
Любил приключения, но я не могу припомнить его дальше...	любить приключение мочь припомнить далёкий
...чем в ста шагах от этого самого места.	чем сто шаг самый место
А у тебя остались хорошие воспоминания?	а остаться хороший воспоминание
Нет.	нет
Замечательные.	замечательный
Я пойду наверх. Хочу дочитать книгу.	я пойти наверх хотеть дочитать книга
"""Смерть в Венеции"". Это моя книга."	смерть венеция это книга
Только не рассказывай, чем все кончится.	только рассказывать кончиться
Да я ее так и не закончил.	да закончить
Привет, старик. Как ты?	привет старик как ты
- Один вопрос. - Сейчас, постой. Ширли.	один вопрос сейчас постоять ширлить
- Да? - Это ты должен знать.	да это должный знать
Согласно французским законам...	согласно французский закон
...я могу трахнуть свою кузину?	я мочь трахнуть кузина
- Только если она красотка. - Понятно.	только красотка понятно
Проклятье.	проклятие
Лэнс Армстронг!	лэнс армстронг
Да вы что, смеетесь? Я вам заранее позвонил.	да что смеяться я заранее позвонить
- У меня заказан столик на 7:30! - Я знаю! Простите!	у заказать столик 730 я знать простить
- Простите! - Мы приехали издалека...	простить мы приехать издалёка
- Хорошо, хорошо, хорошо. - Что это такое?	хорошо хорошо хорошо что это такой
30 минут. Прошу прощения.	30 минута просить прощение
- Вы позволите... Это просто смешно. - Я понимаю, понимаю.	вы позволить это просто смешно я понимать понимать
Вы сказали, что нас усадят как только мы приедем.	вы сказать усадить приехать
Вы знаете, я... Мы весь день ничего не ели...	вы знаете я мы весь день есть
Я понимаю. Хорошо. Я принесу вам выпить.	я понимать хорошо я принести выпить
"За счет ресторана ""Оле"". И через 20 минут у вас будет столик, хорошо?"	за счёт ресторан оля и 20 минута столик хорошо
- Ну ладно, договорились. - Я подойду через минуту.	ну ладный договориться я подойти минута
- Хорошо. - Я хочу вот что.	хорошо я хотеть что
Приготовились, сосредоточились, пишем. Двойной май-тай.	приготовиться сосредоточиться писать двойной майтая
Каролин.	каролин
Немного оливок за ваше терпение.	немного оливка ваш терпение
Прошу, мадам.	просить мадам
Мсье, я вернусь через 10 минут.	мсьё вернуться 10 минута
Я полагаю, еда у вас просто замечательная.	я полагать еда просто замечательный
Потому что обслуживание откровенно паршивое.	потому обслуживание откровенно паршивый
Я вас умоляю, мсье. Я слишком занята, чтобы намеренно вас игнорировать.	я умолять мсьё я слишком занятый намеренно игнорировать
- А где же все официанты, милочка? - Слушайте, у меня...	а официант милочка слушать я
...и без ваших издевок дел невпроворот.	и ваш издёвка дело невпроворот
"Понятно? Ближайший ""МакДоналдс"" - в Авиньоне."	понятно ближний макдоналдс авиньон
"""Фиш энд Чипс"" - в Марселе."	фиш энд чипс марсел
Что вы делаете?	что делать
Не бойтесь, душа моя. Я этим уже занимался.	не бояться душить мой я это заниматься
- Где? - Учась в университете...	где учиться университет
...я подрабатывал в лучших ресторанах Лондона.	я подрабатывать хороший ресторан лондон
Мсье.	мсьё
Ладно. Ладно, подавайте.	ладный ладный подавать
И запомните, во Франции при возникновении любых жалоб...	и запомнить франция возникновение любой жалоба
...клиент всегда не прав.	клиент право
