cleaned_text	lemm_text
Чего тебе?	что ты
Пиво	пиво
У меня только теплое, как моча, Chango	у тёплый моча chango
Моя любимая марка!	мой любимый марка
Хммм... неплохо!	хммм неплохо
Я хотел сказать, что это лучшее пиво, которое я пробовал.	я хотеть сказать это хороший пиво который пробовать
Действительно...	действительно
Надо что то еще?	надо ещё
Я просто рад, что жив еще.	я просто рад живой ещё
Я пришел из города неподалеку. Ты знаешь место с названием Саргоса?	я прийти город неподалёку ты знаешь место название саргоса
Я заглянул там в один бар. Не такой как этот. Они там подают пиво.	я заглянуть бар не этот они подавать пиво
Не такое как здесь, но почти похожее	не такой здесь похожий
И я видел там такое, во что ты вряд ли поверишь.	и видеть такой вряд поверить
Я вот спокойно сижу здесь	я спокойно сидеть
Но тот бар...	но бар
...был полон всяких ублюдков.	быть полный всякий ублюдок
Совсем не так как здесь	совсем
Я чувствовал себя там плохо	я чувствовать плохо
Как здесь чувствую себя совсем неплохо	как чувствовать неплохо
Я сам по себе. Иду себе, никого не трогаю.	я себя идти себя никто трогать
Иногда что то да происходит.	иногда происходить
Некоторые незаконные вещи. Ничего особенного...	некоторый незаконный вещий ничто особенный
... но и не очень скрытного	очень скрытный
Итак...	итак
Я сижу себе спокойно...	я сидеть спокойно
... и тут входит ...	входить
... такой огромный Мексиканец которого я никогда не видел...	огромный мексиканец который видеть
... идет так, как будто он владелец этого места ...	идти так владелец место
Никто даже и не зачем он здесь и что дальше будет	никто далёкий
Но он был здесь, и он продолжал идти	но здесь продолжать идти
Он был темный	он тёмный
Это не значит, что он был темнокожий	это значит темнокожий
Это совсем по другому	это другой
Это выглядит так, как будто он все время был в тени.	это выглядеть так время тенить
Каждый раз, когда он шагал в луч света...	каждый раз шагать луч свет
... и вы должны были увидеть его лицо то этого не происходило.	должный увидеть лицо происходить
Это было, как будто свет...	это быть свет
... просто избегал его.	просто избегать он
Похоже кто то уже обгадился.	похоже обгадиться
Итак, этот парень.	итак парень
... подходит к стойке бара ...	подходить стойка бар
... заказывает себе содовую, садится, ничего не говоря ...	заказывать содовый садиться говорить
Он заказал содовую?	он заказать содовый
Мне не было интересно, что он будет пить.	я интересно пить
Мне было интересно, что он принес с собой.	я интересно принести себя
Выглядело как футляр, очень тяжелый	выглядеть футляр очень тяжёлый
И он бережно положил его, как будто это была девчонка.	и бережно положить он это девчонка
И тогда этот ублюдок внезапно заговорил.	и ублюдок внезапно заговорить
Знаешь похоже он говорил о деле, поскольку бармен был сильно расстроен.	знаешь похоже говорить дело поскольку бармен сильно расстроить
Особенно, когда он упомянул...	особенно упомянуть
... он сказал что то вроде :	сказать вроде
"""Битч"" или ..."	битч
"... ""Буччо"""	буччо
Да, точно, это было	да точно это
Буччо!	буччо
Бармен просто в штаны наложил.	бармен просто штаны наложить
И некоторые из тех темных личностей...	и некоторый тот тёмный личность
не такие славные парни как здесь, но они тоже нассали в штаны	такой славный парень здесь нассать штаны
Начали доставать всякие там ножи и пушки. Короче началось полное дерьмо.	начать доставать всякий нож пушка короче начаться полный дерьмо
Тогда странник...	тогда странник
... спрыгнул со стула.	спрыгнуть стул
Нырнул в центр комнаты вместе со своим футляром.	нырнуть центр комната вместе свой футляр
наклонился над ним	наклониться
я не знаю, что он там делал, но в два движения футляр открылся...	знать делать движение футляр открыться
и он поднялся с ТАКОЙ ОГРОМНОЙ ручной пушкой, какой я никогда не видывал	подняться такой огромный ручной пушка видывать
Вот тут то все и началось	вот начаться
И ты просто сидел там? Не спрятался под стол и не убежал? Или присоединился к нему?	и просто сидеть там не спрятаться стол убежать или присоединиться он
Я просто замер на месте	я просто замереть место
Все что я мог сделать, только наблюдать...	весь мочь сделать наблюдать
...присохнув к своему месту	присохнуть свой место
Это было удивительно.	это удивительно
Эти бандиты и головорезы подыхали своей заслуженной смертью.	этот бандит головорез подыхать свой заслужить смерть
Не поймите меня неправильно, к вам это не относится	не понять неправильно это относиться
Совсем не так.	совсем так
Но эти парни были первокласными ублюдками	но парень первокласный ублюдок
Мне было жаль их, но они получили то, что заслужили	я жаль они получить то заслужить
Это была Судная Ночь в этом месте	это судный ночь место
Он схватил одного из них...	он схватить один они
... он еще мог дышать.	мочь дышать
И начал допрашивать его.	и начать допрашивать он
И как я понял...	и понять
... этот парень выложил ему все что знал	парень выложить знать
Выложил все грехи. Просто признался во всем.	выложить грех просто признаться весь
Все рассказал.	весь рассказать
Все?	весь
Можно мне чистую кружку? Эта грязная.	можно чистый кружка этот грязный
Иди ты!	идти ты
Эта чище чем я дам.	этот чистый дать
Так вот...	так вот
... без предупреждения ...	предупреждение
... без любого намека ...	любой намёк
... странник оглянулся вокруг ...	странник оглянуться вокруг
... и он заметил ...	заметить
... меня	
Ты запомнил его лицо?	ты запомнить лицо
Его лицо?	он лицо
Нет.	нет
Его глаза.	он глаз
И он ничего тебе не сделал?	и ты сделать
Ничего такого. Он повернулся к парню на полу.	ничто такой он повернуться парень пол
Странник пристрелил его...	странник пристрелить он
... подошел к бармену, расплатился, и пошел к выходу	подойти бармен расплатиться пойти выход
Так бармен остался жив?	так бармен остаться живой
Барменов никогда не убивают!	бармен убивать
Но...	но
... когда он был уже у двери ...	дверь
Нет, парень, бармену не повезло больше всех.	нет парень бармен повезти весь
Вот.	вот
За счет заведения...	за счёт заведение
... если вспомнишь его лицо	вспомнить лицо
Спасибо, но нет.	спасибо нет
Я убираюсь отсюда.	я убираться отсюда
Потому что мне кажется...	потому кажется
что он направлялся по дороге сюда.	направляться дорога сюда
Спасибо, парни!	спасибо парень
Будь осторожен!	быть осторожный
Отойди ка	отойти ка
Стой где стоишь	стоять стоять
Кто там?	кто там
Это только твой друг.	это твой друг
Не думаешь ли ты, что ты перегибаешь палку с осторожностью.	не думать ты перегибать палка осторожность
Отсиживаясь здесь, ты совсем потерял способность думать.	отсиживаться здесь потерять способность думать
Что тебе надо?	что ты надо
Он здесь.	он здесь
Я произнес его имя и они испугались	я произнести имя испугаться
Буччо здесь?	буччо здесь
Ты слышал, что я сказал секунду назад?	ты слышать сказать секунда назад
... но когда я упомянул о нем ...	упомянуть немой
... они превратились в слух	превратиться слух
И у них тут же появился большой интерес к тому кто ты и где ты.	и появиться большой интерес тот ты
Так что я выложил историю, хорошую и полную.	так выложить история хороший полный
Насколько?	насколько
Очень полную.	очень полный
Ты просто огромный Мексиканец, какого я еще не видел.	ты просто огромный мексиканец какой видеть
Чудесно	чудесно
Правда я слегка сгустил краски. Но они поверили.	правда слегка сгустить краска но поверить
Они со страха чуть не обгадились, клянусь!	они страх обгадиться клясться
Куда мне идти?	куда идти
"Бар ""Тараско"" будет хорошим началом."	бар тараско хороший начало
Только не надо превращать его в кровавую бойню, как в прошлый раз.	только превращать кровавый бойня прошлый раз
Это не моя вина.	это вино
Конечно нет.	конечно нет
Они первые начали.	они один начать
Просто помни ...	просто помнить
... у Буччо много головорезов, но без них он просто труп.	буччо головорез просто труп
Побереги пули.	поберечь пуля
Внезапно...	внезапно
...ты стал моим старшим братом.	ты стать мой старший брат
Я чувствую некоторую ответственность за тебя.	я чувствовать некоторый ответственность ты
- Могу я тебя спросить кое о чем? - Что?	мочь спросить кой чем что
Что будет дальше, когда он будет мертв?	что далёкий мёртвый
Когда Буччо подохнет...	когда буччо подохнуть
... все закончится.	закончиться
Он - последний	он последний
Конец расплаты. Глаз за глаз.	конец расплата глаз глаз
И ты будешь полностью удовлетворен?	и быть полностью удовлетворить
Я думаю - да.	я думать да
Надеюсь на это.	надеяться это
Я не могу больше переваривать это.	я мочь переваривать это
Ты никогда не выносил этого.	ты выносить это
А ты мог.	а мочь
Буччо, я звонил в Бар в Сарагоса.	буччо звонить бар сарагоса
Там никто не отвечает.	там никто отвечать
Дай мне знать, если узнаешь что нибудь.	дать знать узнать нибыть
Я хочу, чтобы мы были более бдительны в наших делах.	я хотеть бдительный наш дело
Это означает, дважды проверять, трижды проверять всех, включая постоянных покупателей.	это означать дважды проверять трижды проверять весь включая постоянный покупатель
Я прослежу за этим.	я проследить это
Где моя машина?! Они закончили? Сколько я еще должен ждать?!	где машина они закончить сколько должный ждать
Я отослал ее обратно.	я отослать обратно
Опять?! Я должен опять все делать сам.	опять я должный делать сам
- И что это такое? - Это мой племянник.	и это такой это племянник
Ему нужна работа, и он хотел бы показать тебе как он умеет драться.	он нужный работа хотеть показать ты уметь драться
Ты пригласил на встречу, драться снова с Пипоном?	ты пригласить встреча драться снова пипоном
Если он не сможет побить Кристоса, значит он мне не нужен. Иди сюда.	если смочь побить кристоса значит нужный идти сюда
Эй, Пипон, убирайся отсюда!	эй пипон убираться отсюда
Он не выглядит как то особенно издалека.	он выглядеть особенно издалёка
Надери ему задницу!	надрать задница
Вот что я люблю.	вот любить
Он больше не сможет танцевать.	он смочь танцевать
- Слишком круто для Кристоса. - Говорил тебе.	слишком круто кристоса говорить ты
Послушай. Это то что я хочу сделать.	послушать это хотеть сделать
Возьми дополнительно людей и размести их в Тараско и Ла Ацтека	взять дополнительно человек размести тараско ла ацтек
Эти колумбийцы хорошие пока я могу контролировать больше чем они.	этот колумбиец хороший пока мочь контролировать они
Они наблюдают за нами.	они наблюдать мы
- Эй. - Что?	эй что
Насчет него?	насчёт он
Пускай лечит ногу... И добро пожаловать в семью.	пускай лечить нога и добро пожаловать семь
Сколько это будет в долларах?	сколько это доллар
Около 18 тысяч	около 18 тысяча
Бля!	бля
Я должен заплатить ... или убить их за эти деньги?	я должный заплатить убить деньга
Это много для нас...	это мы
Такая арендная плата.	такой арендный плат
Убить бы их всех!	убить весь
Простите	простить
Но...	но
... я раньше работала в баре ...	ранний работать бар
... так что я знаю, что должно нравится людям, которые ждут.	знать должный нравиться человек который ждать
И я хочу сказать вам, что ваш сервис...	и хотеть сказать вы ваш сервис
...нуждается в некоторых улучшениях.	нуждаться некоторый улучшение
Что ты имеешь в виду?	что иметь вид
Что я хочу сказать?	что хотеть сказать
Наш официант...	наш официант
... где он?	он
Не надо говорить мне, что он все еще в туалете.	не говорить я туалет
Он никогда не подходит поинтересоваться, надо ли нам что то еще.	он подходить поинтересоваться мы ещё
Он не принес нам счет.	он принести мы счёт
Мы хотим наш счет, чтобы мы могли убраться к черту отсюда	мы хотеть наш счёт мочь убраться черта отсюда
Вот.	вот
Это должно быть достаточно.	это должный достаточно
И не ждите чаевых.	и ждать чаевой
