cleaned_text	lemm_text
Вы низачто не поверите -	вы низачто поверить
- Но это все началось, когда я повесил плакат.	но это начаться повесить плакат
Только лист от автомобильного постера папы.	только лист автомобильный постер папа
Вот, как это началось.	вот это начаться
Мое имя Ходдер Емануэль Якобсен.	мой имя ходдёр емануэль якобсен
Я - обычный мальчик, который живет с папой.	я обычный мальчик который жить папа
Хорошая работа, Ходдер.	хороший работа ходдёр
Я думаю, что это напоминает цветок.	я думать это напоминать цветок
Это - фея.	это фея
Или птица, возможно. - Нет, фея.	или птица возможно нет фея
Ну хорошо.	ну хорошо
Вперед, команда! - Вперед, команда!	вперёд команда вперёд команда
У нас нет мамы. То есть, у папы нет жены -	у мама то есть папа жена
Ну и, также у меня нет мамы.	ну и также мама
Папа расклеивает плакаты по ночам.	папа расклеивать плакат ночь
Автомобильные плакаты, туристические, все виды рекламы.	автомобильный плакат туристический вид реклама
Я могу слышать его мотоцикл еще долго, после того, как он свернет за угол.	я мочь слышать мотоцикл долго тот свернуть угол
Я люблю ромовые ватрушки.	я любить ромовый ватрушка
Я съедаю внешнюю сторону днем -	я съедать внешний сторона днём
И оставляю серединку на ночь.	и оставлять серединка ночь
Внутри мы все одинаковые.	внутри одинаковый
В то же время, внешне мы такие разные. Не так ли, Ходдер?	в время внешне такой разный не ли ходдёр
Внутри мы - все одинаковые, Мисс Аста К.	внутри одинаковый мисс аста к
Да! И замечательная вещь -	да и замечательный вещь
- каждый отдельный орган выполняет свою функцию...	каждый отдельный орган выполнять функция
Внешне мы отличаемся, но внутри мы все одинаковые.	внешне отличаться внутри одинаковый
Я и Филип, который может так двинуть, что твои кости запоют, -	я филип который двинуть твой костя запеть
- И Алекс, у которого хорошие манеры... Мы все получили сердца, легкие, почки.	и алекс который хороший манера мы получить сердце лёгкое почка
Даже Камма из Исландии.	даже камма исландия
Взгляните! - Нет, Камма Гудмундсдорф!	взглянуть нет камма гудмундсдорф
Это - то, что действительно напоминает почка овцы.	это то действительно напоминать почка овца
Мы в Исландии едим их сырыми. - Убери это в свою коробку для завтрака!	мы исландия есть сырой убрать это коробка завтрак
Вот дела. Это настолько странно для нас.	вот дело это настолько странно мы
Вынуждена сидеть рядом с тобой, Ходдер... Я была рождена под несчастливой звездой.	вынудить сидеть ряд ты ходдёр я родить несчастливый звезда
А я родился в больнице.	а родиться больница
Я вошел в мир с пуповиной, семь раз обмотаной вокруг моей шеи.	я войти мир пуповина семь обмотаный вокруг мой шея
Акушерка сказала, что меня ждет большое будущее.	акушерка сказать ждать большой будущее
Ты чего, Ходдер?	ты что ходдёр
Пытался достать это. - Вау!	пытаться достать это вау
Ходдер спасает каштан! Филип, поехали!	ходдёр спасать каштан филип поехать
Не то, что я настроен против других. Просто предпочитаю ходить домой один.	не то настроить против другой просто предпочитать ходить домой один
Я так привык.	я привыкнуть
Изучали что - нибудь в школе сегодня? - Да. Мы должны изучить покровы.	изучать школа сегодня да мы должный изучить покров
Внутренние и внешние.	внутренний внешний
Да, это важно.	да это важный
Одна материя, однако.	один материя однако
Смотри, не хватает 50 крон. У нас изменились цены.	смотреть хватать 50 крона у измениться цена
Ладно, принесешь в следующий раз.	ладный принести следующий раз
Тут она сидит, ждет. Ты никогда не знаешь, где любовь настигнет, -	тут сидеть ждать ты знаешь любовь настигнуть
сказала она мне однажды.	сказать однажды
Знаешь, о чем я подумал? Как насчет новой кухни?	знаешь подумать как насчёт новый кухня
Побольше света, новые цвета.	большой свет новое цвет
Опс! Долой все старое.	опс долой старое
Ты думаешь, что я не решусь, а? Только посмотри на эти обои...	ты думать решиться а только посмотреть обои
Боже мой! Хорошо, так...	бог мой хорошо так
Ты не очень хорошо приклеивал.	ты очень приклеивать
Я думаю, твоя мама приклеивала их.	я думать твой мама приклеивать они
Как насчет новой жены?	как насчёт новый жена
Через мгновение папа скажет, что ему нужно подумать.	через мгновение папа сказать нужно подумать
Нам вместе нужно немного подумать, да? Ходдер?	мы вместе нужно немного подумать да ходдёр
Я уверен, что он хотел бы новую жену.	я уверенный хотеть новый жена
Но он работает в то время, когда все возможности спят.	но работать время возможность спать
МЕЧТА - ВАШ ПУТЬ К СКАЗОЧНОЙ СТРАНЕ	мечта ваш путь к сказочный страна
Останови автомобиль здесь и не переедь всех тех детей!	остановить автомобиль переедь тот ребёнок
Не говори со мной так, хорошо?	не говорить я так хорошо
Не будет вреда, если наш сын услышит, какие у нас отношения.	не вред наш сын услышать какой отношение
Поторопись... - Не кричи на Филипа.	поторопиться не кричать филип
Поторопись, Филип. Не забудь свой рюкзак.	поторопиться филип не забыть свой рюкзак
Не хлопай дверью. Поторопись!	не хлопать дверь поторопиться
Привет, Филип...	привет филип
Теперь действительно интересный орган. Поджелудочная железа -	теперь действительно интересный орган поджелудочный железо
- которая производит ферменты, позволяющие нам переваривать -	который производить фермент позволять мы переваривать
- нашу пищу. И еще одна вещь...	наш пища и один вещь
Камма, убери эту вещь в свою сумку, Сейчас не время ланча...	камма убрать вещь сумка сейчас время ланча
Я только хотела продемонстрировать пищеварение.	я хотеть продемонстрировать пищеварение
Это - обычная еда, которую мы едим в Исландии.	это обычный еда который есть исландия
Копченый мозг овцы.	копчёный мозг овца
Вы чувствуете недомогание, мисс Аста К.?	вы чувствовать недомогание мисс аста к
Хорошо, мы знаем, кого благодарить за это.	хорошо знать кто благодарить это
Так в каждом классе. Один человек всегда остается виноватым.	так каждый класс один человек оставаться виноватый
В моем классе Это, случается... со мной.	в мыть класс это случается я
Ходдер... как всегда.	ходдёр всегда
Мы приходим сюда, чтобы учиться, и мы не можем делать это, если ты срываешь наши уроки...	мы приходить сюда учиться мочь делать это срывать наш урок
Так что иди, и извинись перед ней. Покажи, какой ты воспитанный.	так идти извиниться она показать воспитанный
Давай!	давать
Мисс Аста К.? - Что ты здесь делаешь?	мисс аста к что делать
Урок идет.	урок идти
Есть какой-то вопрос?	есть какойтый вопрос
Ты хотел что-то сказать?	ты хотеть чтоть сказать
Да. Вы пахнете.	да вы пахнуть
Вы хорошо пахнете.	вы пахнуть
""" Вы пахнете ""? Ты это произнес? Это было сказано?"	вы пахнуть ты это произнести это сказать
Я только сказал, что она пахла.	я сказать пахнуть
Наверное, лучше было сказать, что тебе понравились ее духи.	наверное сказать ты понравиться дух
Я сказал, что она пахла хорошо. Но это только рассердило ее еще больше.	я сказать пахнуть хорошо но это рассердить большой
Женщин иногда трудно понять.	женщина трудно понять
Она пахла хорошо, не так ли? - Ничего неприятного в ее запахе.	она пахнуть хорошо ли ничто неприятный запах
Интересуешься? - Давай снимай мокрую одежду.	интересоваться давать снимать мокрый одежда
А то подхватишь простуду.	а подхватить простуда
Ходдер?	ходдёр
Ходдер Емануэль Якобсен?	ходдёр емануэль якобсен
Ходдер, ты был избран. Спасти мир.	ходдёр избранный спасти мир
Вы беспокоитесь о будущем?	вы беспокоиться будущее
Ты избранный. Ты должен спасти мир.	ты избранный ты должный спасти мир
Но я живу своей жизнью вместе с папой. Попросите Филипа из моего класса вместо меня.	но жить свой жизнь вместе папа попросить филип мой класс вместо я
Он намного сильнее меня. И у него есть папа и мама.	он намного сильный я и папа мама
Но ты избран. Это-ты, ты должен спасти мир.	но избранный этота должный спасти мир
Ходдер Емануэль Якобсен.	ходдёр емануэль якобсен
Куда Вы исчезли?	куда вы исчезнуть
Если бы ты не спал -	если спасть
- Я бы рассказал тебе, что фея приходила ко мне ночью. Увидимся, папа.	я рассказать ты фея приходить к ночью увидеться папа
Привет, Филип. Знаешь, что случилось сегодня ночью?	привет филип знаешь случиться сегодня ночью
Ты ведь идешь в школу? - Да, конечно.	ты идти школа да конечно
Ну и иди! Вперед, Ходдер!	ну идти вперёд ходдёр
Хорошо? Иди! - Если ты поведешь, я пойду пешком.	хорошо идти если повести пойти пешком
Веди себя перед своим сыном, как подобает взрослому.	вести свой сын подобать взрослый
Поехали, Филип? Или ты тоже пойдешь пешком?	поехать филип или пойти пешком
Иду, мама.	идти мама
Ни слова об этом никому. - О чем?	ни слово никто о чем
Эй, Филип? Я не расскажу тебе, что произошло сегодня ночью.	эй филип я рассказать ты произойти сегодня ночью
Фея? Она могла говорить?	фея она мочь говорить
О, да. Она сказала мне, что я должен спасти мир.	о да она сказать я должный спасти мир
И что я один был избран. Она сказала мое полное имя.	и избранный она сказать мой полный имя
Ходдер Емануэль Якобсен.	ходдёр емануэль якобсен
Давай Ходдер, садись уже.	давать ходдёр садиться уже
Это была очень странная ночь.	это очень странный ночь
Я мог чувствовать духи на всем ее пути к учительской.	я мочь чувствовать дух весь путь учительский
Если у меня когда-нибудь будет новая мама, я подарю ей 10 литров этих духов.	если когданибудь новый мама подарить 10 литр этот дух
УЧИТЕЛЬСКАЯ	учительский
Простите... - Ходдер?	простить ходдёр
Я могу вас кое о чем спросить? - О фее?	я мочь кой спросить о фея
Ходдер сказал, что Фея приходила к нему вчера ночью.	ходдёр сказать фея приходить он вчера ночью
Нет, я только хотел спросить вас о ваших духах.	нет хотеть спросить ваш дух
Моих духах?	мой дух
Да. Как они называются?	да как называться
Ходдер, я должна сказать тебе пару слов.	ходдёр должный сказать ты пара слово
Ходдер, на прошлой неделе ты спросил меня, провожу ли я выходные в одиночестве.	ходдёр прошлый неделя спросить я провозить выходной одиночество
Нет, конечно. - Нет, конечно нет.	нет конечно нет нет
Ты также спросил меня вышли ли у меня камни из желчного пузыря...	ты также спросить выйти камень жёлчный пузырь
Да. - Да, что касается моих духов,-	да да касаться мой дух
- Я рассматриваю это, как абсолютно мое собственное дело.	я рассматривать это абсолютно мой собственный дело
Это не касается никого, уже не говоря об ученике.	это касаться никто говорить ученик
