cleaned_text	lemm_text
Oh! My Goddess Movie v1.9 Fansub	oh my goddess movie v19 fansub
Timed by CRAZYIvan	timed by crazyivan
Сделал как смог.	сделать смочь
C Английских сабов Edwarda Changa	c английский сабов edwarda changa
Рип - AE Genesis.	рипа ae genesis
Не для продажи или просмотра =)	не продажа просмотр
Приятного просмотра.	приятный просмотр
Ты, которая обращается за помощью, ты, которая разделяет мои идеалы, дай мне на время твою силу.	ты который обращаться помощь ты который разделять мой идеал дать время твой сила
Тебя заключили сюда разгневанные боги и богини и ты ещё строишь какие-то планы?	ты заключить сюда разгневать бог богиня ещё строить какиеть план
Ты всё поймёшь, если мы станем одним целым.	ты весь понять стать один целое
Верданди...	верданди
Эй, Верданди.	эй верданди
Верданди?	верданди
Верданди.	верданди
Ты не знаешь, где сейчас Верданди?	ты знаешь верданди
Как красиво...!	как красиво
У моей сестры так всё изумительно получается, за чтобы она не взялась.	у мой сестра весь изумительно получаться взяться
Она ведь Богиня Высшей Степени и это естественно.	она богиня высокий степень это естественно
Если бы я могла также петь как она	если мочь также петь
"""то смогла бы найти настоящую любовь."""	то смочь найти настоящий любовь
Урд, ты хочешь сказать, что ТЫ умеешь петь?	урд хотеть сказать ты уметь петь
Это дерево, кажется, уже давно погибло, хотя оно всё ещё продолжает цвести.	это дерево кажется давно погибнуть хотя оно весь ещё продолжать цвести
Это твоих рук дело?	это твой рука дело
Нет, я всего лишь услышала его голос.	нет лишь услышать голос
Оно сказало мне, что хочет как можно дольше существовать в этом лесу.	оно сказать я хотеть долгий существовать леса
С этими стремлениями оно подпитывает себя энергией на существование.	с этот стремление оно подпитывать энергия существование
Я только немного помогла ему.	я немного помочь он
Кейичи? Ты, случайно, не искал Верданди?	кейй ты случайно искать верданди
Ах да, чуть не забыл.	ах да забыть
Верданди, сегодня я хочу пораньше уехать.	верданди сегодня хотеть ранний уехать
Поняла.	понять
Скулд, если хочешь, мы можем потренироваться с тобой петь, но чуть позже.	скулд хотеть мочь потренироваться ты петь поздний
Серьёзно?	серьёзно
Умело петь это замечательно, но если ты будешь вкладывать всю душу, у тебя тоже получится.	уметь петь это замечательный быть вкладывать душить получиться
Если эти чувства у тебя есть, не волнуйся, у тебя всё получится.	если чувство есть волноваться весь получиться
Поняла! Сестра.	понять сестра
Скулд, выглядит такой счастливой.	скулд выглядеть счастливый
Когда я была маленькой, рядом со мной был человек, который научил меня и направил на правильный путь.	когда маленькая ряд я человек который научить направить правильный путь
Я тоже хочу быть такой, как он.	я хотеть такой он
