cleaned_text	lemm_text
(звук мобильного телефона)	звук мобильный телефон
"""ОСТАТЬСЯ В ЖИВЫХ"""	остаться в живой
НЕУДЕРЖИМЫЕ	неудержимый
ОСТРОВ ВИЛЕНА	остров вилен
<i>Эриэль!</i>	iэриэльi
<i>Мы взяли предателей!</i>	iмы взять предателейi
<i>Ты меня обокрал!</i>	iты обокралi
<i>Прошу Вас, Ваше превосходительство!</i>	iпросить вы ваш превосходительствоi
<i>Я никогда вас не обкрадывал!</i>	iя обкрадывалi
<i>Все, что растет из земли принадлежит не тебе!</i>	iвсё расти земля принадлежать тебеi
<i>Оно моё! Ты ведь это знаешь?</i>	iоно мой ты это знаешьi
<i>Клянусь жизнью моих детей!</i>	iклясться жизнь мой детейi
<i>Понимаю, но я не могу заглянуть тебе в душу...</i>	iпонимать мочь заглянуть ты душуi
<i>Откуда мне знать что ты говоришь правду?</i>	iоткуда знать говорить правдуi
ГРИНПИС	гринпис
(говорят по-испански)	говорят поиспански
<i>Хотите выпить что-нибудь?</i>	iхотеть выпить чтонибудьi
<i>Нет, спасибо.</i>	iнуть спасибоi
"""ВОЕННЫЙ ОБЪЕКТ"" ПРОХОД ЗАПРЕЩЁН"	военный объект проход запретить
<i>Стоп!</i>	iстопi
<i>Стоп!</i>	iстопi
<i>Что он тут делает?</i>	iчто делаетi
<i>Тебе было сказано никогда сюда не приезжать!</i>	iтеб сказать сюда приезжатьi
<i>Почему?</i>	iпочемуi
<i>Вилена принадлежит не вам.</i>	iвилен принадлежать вамi
<i>Тебя предупреждали!</i>	iтести предупреждалиi
<i>Даже дочь генерала можно пристрелить!</i>	iдажа дочь генерал пристрелитьi
<i>Я не ваша собственность!</i>	iя ваш собственностьi
<i>Доставьте ее к отцу!</i>	iдоставить отцуi
<i>Ты кто такой?</i>	iты такойi
(говорят по-испански)	говорят поиспански
<i>Идиотка!</i>	iидиоткаi
<i>Почему ты не сбежала?!</i>	iпочему сбежалаi
<i>Ты всех убил!</i>	iты убилi
<i>Почему бы не убить и меня?</i>	iпочему убить меняi
<i>Почему не меня?</i>	iпочему меняi
<i>Ты всех убил! Почему не убил и меня?</i>	iты убить почему убить меняi
<i>Убей меня!</i>	iубить меняi
<i>Меня!</i>	iменяi
<i>Убийца!</i>	iубийцаi
АЭРОДРОМ	аэродром
<i>Ты уверен, что она нас не узнает?</i>	iты уверенный узнаетi
<i>Она нас не видит. Повеселимся!</i>	iон видеть повеселимсяi
<i>Этой предательнице всё равно умирать!</i>	iэтой предательница весь равно умиратьi
(говорят по-испански)	говорят поиспански
(кричит по-испански)	кричать поиспански
<i>Ты - та, кем должен был стать я!</i>	iты тот кто должный стать яi
<i>Американские захватчики хотят погубить нашу страну!</i>	iамериканский захватчик хотеть погубить наш странуi
<i>Простите меня! Простите за то, что был человеком!</i>	iпростить я простить то человекомi
<i>Что был эгоистом!</i>	iчто эгоистомi
