cleaned_text	lemm_text
Ну что, всем всё понятно?	ну что весь весь понятно
Что бы ни стряслось, что бы ни случилось...	что стрястись случиться
Никто не звонит.	никто звонить
Повеселись, Хэрри.	повеселиться хэрри
Я беру отпуск не для веселья.	я брать отпуск веселие
А для того, чтобы пострелять птиц.	а тот пострелять птица
Хэрри!	хэрри
- Чан... как-то там, верно? - Чанхуа.	чан както там верно чанхуа
Хуа, точно. Хуа.	хуа точно хуа
Привет. Как поживаешь?	привет как поживать
До встречи.	до встреча
Чанхуа?	чанхуа
Адам. Здравствуй.	адам здравствовать
Привет.	привет
Привет. Что... Здравствуйте.	привет что здравствовать
Это Джан и Йан Чен.	это джан йан чен
Они из Пекина.	они пекин
Адам Бранч.	адам бранч
- Здравствуйте. - Приятно познакомиться.	здравствовать приятно познакомиться
Им нужен адвокат.	имя нужный адвокат
Их отправил ко мне друг друга, который...	они отправить к друг друг который
Я решила, может быть, ты сможешь помочь им.	я решить быть смочь помочь имя
Хорошо. Что происходит?	хорошо что происходить
Наша дочь, Мин... Её похитили.	наш дочь мина её похитить
Что значит - похитили?	что значит похитить
Она - наш второй ребенок, а таких детей...	она наш два ребёнок такой ребёнок
Местное правительство	местный правительство
похищает детей у тех,	похищать ребёнок тот
"кто нарушил политику ""одного ребёнка""."	нарушить политика один ребёнок
Этих детей устраивают в приют,	этот ребёнок устраивать приют
который вскоре продаёт малышей на усыновление за границу.	который вскоре продавать малыш усыновление граница
Они похитили у нас нашу дочь, когда ей было два годика.	они похитить наш дочь годик
Мы отследили ее до одной семьи здесь, в Огайо.	мы отследить один семья здесь огайо
И мы хотели бы, чтобы вы помогли нам вернуть её.	и хотеть бы помочь мы вернуть её
<b>Harry's Law</b> s02e07 American Girl / Маленькая американка русские субтитры <b>TrueTransLate.tv</b>	bharrys lawb s02e07 american girl маленький американка русский субтитр btruetranslatetvb
Ну, вот.	ну вот
Доброе утро, мэм.	добрый утро мэм
Было добрым.	быть добрый
Пожалуйста, ваши права и регистрацию, мэм.	пожалуйста ваш право регистрация мэм
Можно узнать, почему вы меня остановили?	можно узнать почему остановить
Я ехала около 50 км в час.	я ехать около 50 километр час
А ограничение - 55 км.	а ограничение 55 километр
Мэм, когда вы пересекли последнюю милю,	мэм пересечь последний миля
вы въехали на территорию Лэнгфорд-Сити.	въехать территория лэнгфордсити
Да, такое случается,	да такой случается
когда едешь в Лэнгфорд.	ехать лэнгфорд
Вы также нарушили постановление	вы также нарушить постановление
властей Лэнгфорд-Сити за номером 302.25.	власть лэнгфордсити номер 30225
