cleaned_text	lemm_text
В целом я пытаюсь провести различие	в целое пытаться провести различие
между тем, что называют будущим и «l’avenir», грядущим.	тем называть будущий «l’avenir» грядущий
Будущее – это то, что будет: завтра, позже,	будущее – это то быть завтра поздний
в следующем столетии.	следующий столетие
Есть будущее, являющееся предсказуемым,	есть будущее являться предсказуемый
запрограммированным, расписанным, предвидимым.	запрограммировать расписать предвидеть
Но есть и иное будущее - l’avenir, то, что должно наступить,	но иной будущее l’avenir то должный наступить
которое отсылает к чему-то грядущему,	который отсылать чемуть грядущий
чье пришествие является полностью неожиданным.	чей пришествие являться полностью неожиданный
Для меня это как раз и есть настоящее будущее,	для это настоящее будущее
то, которое оказывается полностью непредсказуемым.	то который оказываться полностью непредсказуемый
Это Другой, появляющийся, когда я	это другой появляться
не готов предвидеть его пришествие.	готовый предвидеть пришествие
Если есть подлинное будущее,	если подлинный будущее
то оно по ту сторону предсказуемого будущего,	оно тот сторона предсказуемый будущее
и это будущее - l’avenir, грядущее, в котором появляется Другой,	это будущее l’avenir грядущий который появляться другой
когда я совершенно не готов предвидеть его пришествие.	совершенно готовый предвидеть пришествие
Жаки, у тебя есть ключи?	жак ключ
Да, есть.	да есть
<i>Этот век дал нам высокопробных знаменитых философов	iэтота век дать мы высокопробный знаменитый философ
<i>таких как Гуссерль и Бергсон,	iтакий гуссерль бергсон
<i>Витгенштейн и Хайдеггер,	iвитгенштейн хайдеггер
<i>Рикёр и Левинас.	iрикёр левинас
<i>Казалось бы, что следует закрыть	iказаться бы следовать закрыть
<i>список величайших мыслителей столетия.	iсписок великий мыслитель столетие
<i>Кто ещё мог бы сравниться с ними?	iкто ещё мочь сравниться они
<i>Но уже сегодня этот перечень выдающихся мыслителей	iно сегодня перечень выдающийся мыслитель
<i>не мог бы быть полным без Жака Деррида.	iне мочь полный жак деррид
Прости, что я даже не поздоровался.	простить поздороваться
Это немного трудно...	это немного трудно
Добрый вечер. Чуть позже в сегодняшней программе	добрый вечер чуть поздний сегодняшний программа
нас ждёт встреча с французским философом Жаком Деррида -	ждать встреча французский философ жак деррид
основателем пост-структуралистского подхода,	основатель постструктуралистский подход
известного как деконструкция -	известный деконструкция
и всемирно признанным одним из наиболее оригинальных	всемирно признать один наиболее оригинальный
фигур современной философии.	фигура современный философия
Хорошо. Я достал свои ключи.	хорошо я достать свой ключ
Так вы собираетесь пойти за мной?	так собираться пойти я
Когда мы перебрались сюда, здесь был гараж,	когда перебраться сюда гараж
и я должен был объясняться с людьми из парикмахерской	должный объясняться человек парикмахерский
по поводу парковки их машин.	повод парковка машина
Имя Жака Деррида, рождённого в Эль-Биаре в Алжире,	имя жак деррид родить эльбиаре алжир
известно теперь на пяти континентах.	известно пять континент
Его можно назвать мыслителем ярких идей,	он назвать мыслитель яркий идея
его работа подобна работе шахтёров,	работа подобный работа шахтёр
которые трудятся, подрывая балки, поддерживающие их шахты.	который трудиться подрывать балка поддерживать шахта
Режиссеры: Кирби Дик и Мэтью Кларк	режиссёр кирби дик мэтью кларк
ДЕРРИДА	деррид
Я считаю, что американцы живут с целью быть заснятыми	я считать американец жить цель заснять
или полагают, что это их участь.	полагать это участь
- Да. - Это их естественные условия.	да это естественный условие
Вы видите, как я сейчас американизируюсь.	вы видеть американизироваться
Осторожно.	осторожно
Она смотрит всюду вокруг меня, но она полностью слепа.	она смотреть всюду вокруг я полностью слепой
Это образ философа, который провалился в яму. Так?	это образ философ который провалиться ям так
- Да. - Любуясь на звёзду.	да любоваться звёзд
- Посмотрите туда.	посмотреть туда
Осторожно...	осторожно
Эти люди окружают меня всё время - днём и ночью.	этот человек окружать весь время днём ночью
Где бы я ни был, в течение двух недель они постоянно	где быть течение два неделя постоянно
следуют за мной.	следовать я
Вы собираетесь воспользоваться лифтом?	вы собираться воспользоваться лифт
- Иногда я забываю. Я просто забываю. - Да?	иногда забывать я просто забывать да
Нам не следует игнорировать тот факт, что есть биографии,	мы следовать игнорировать факт биография
написанные людьми, которые имеют власть в академических кругах,	написать человек который иметь власть академический круг
и которые в итоге переносят эту власть на книгу,	который итог переносить власть книга
а она иногда целыми столетиями,	целое столетие
после смерти самого автора представляет истину.	смерть самый автор представлять истина
Истину. Некто, интересующийся биографией,	истина некто интересоваться биография
пишет...	писать
«Жизнь и труды Хайдеггера».	«жизнь труд хайдеггера»
Хорошо документированную,	хорошо документированный
ясно составленную,	ясно составить
и она – единственная,	– единственный
выпущенная в авторитетном издательстве...	выпустить авторитетный издательство
Так? И затем, образ Хайдеггера,	так и затем образ хайдеггер
представление о его жизни	представление жизнь
зафиксированы и установлены на века.	зафиксировать установить век
Вот почему я бы сказал, что иногда	вот почему сказать
тот, кто читает текст философа,	тот читать текст философ
к примеру, крошечный параграф,	пример крошечный параграф
и интерпретирует его строгим,	интерпретировать строгий
изобретательным и	изобретательный
действительно глубоким образом, -	действительно глубокий образ
это более настоящий биограф,	это настоящий биограф
чем тот, кто знает всю историю целиком.	тот знать история целиком
Это мой синий пиджак.	это синий пиджак
Симпатичный.	симпатичный
Но он не подходит к штанам - они чёрные, а не синие. Так?	но подходить штаны чёрный синий так
- И я обычно не... - Я знаю.	и обычно не я знать
Разрешите… Мы не будем снимать нижнюю часть. Могу я посмотреть, как он выглядит?	разрешите… мы быть снимать нижний часть мочь посмотреть выглядеть
Можно? Извините за беспокойство.	можно извинить беспокойство
Как вам известно, традиционная философия исключает биографию,	как известно традиционный философия исключать биография
считает её чем-то внешним по отношению к мысли.	считать её чемтый внешний отношение мысль
Помните…	помните…
высказывание Хайдеггера	высказывание хайдеггер
про Аристотеля?	аристотель
Хайдеггера однажды спросили:	хайдеггер однажды спросить
"""Что есть... или какой была жизнь Аристотеля?"""	что есть жизнь аристотель
Как мы могли бы ответить на этот вопрос: «Какой была жизнь Аристотеля?»	как мочь ответить вопрос «кака жизнь аристотеля»
Ответ очень прост.	ответ очень простой
Аристотель был философом.	аристотель философ
Ответ содержится в одном предложении:	ответ содержаться один предложение
"""Он родился, он мыслил и он умер."""	он родиться мыслить умереть
А всё остальное есть чистый анекдот.	а весь остальной чистый анекдот
Могилу его матери осквернили.	могила матерь осквернить
Его родители не прочли ни одной его книги.	он родитель прочесть один книга
"Он выкрикивал: ""Мама, мне страшно!"", -"	он выкрикивать мама страшно
каждую ночь, пока она не позволяла ему лечь на диване рядом с ними.	каждый ночь пока позволять лечь диван ряд они
Половина лица парализована уже три недели…	половина лицо парализовать недели…
и глаз все время открыт, не моргая.	глаз время открытый моргать
Его отец составил своё завещание	он отец составить свой завещание
прямо перед тем, как умер от рака.	прямо тем умереть рак
Он был исключён из школы из-за еврейской национальности.	он исключить школа изз еврейский национальность
Он продолжает учиться, в честь еврейского пророка Илии	он продолжать учиться честь еврейский пророк илия
ему было дано тайное имя Илай, которого не было в его свидетельстве о рождении.	дать тайный имя илай который свидетельство рождение
Он провалил свой первый вступительный экзамен в университет.	он провалить свой один вступительный экзамен университет
В 15 лет он написал свой первый роман	в 15 год написать свой один роман
о краже дневника и его возврате.	кража дневник возврат
Он претворяется, что учит древнееврейский, чтобы читать на нём, но не понимает его.	он претворяться учить древнееврейский читать он понимать он
Его арестовали в Праге и бросили в тюрьму на 24 часа	он арестовать прага бросить тюрьма 24 час
за перевоз наркотиков, которые подбросили сами власти.	перевоз наркотик который подбросить сам власть
Он принял вызов того, кто назвался	он принять вызов тот назваться
"""Мартини"" Хайдеггер."	мартини хайдеггер
Он отказался от предложения Маргарит Дюрас	он отказаться предложение маргарит дюраса
сыграть роль в одном из её фильмов.	сыграть роль один её фильм
В юности он мечтал стать профессиональным футболистом.	в юность мечтать стать профессиональный футболист
Он не сделал обрезание своим сыновьям,	он сделать обрезание свой сын
сильно разочаровав своих отца и мать.	сильно разочаровать свой отец мать
Он страдает от бессонницы и нервного тика,	он страдать бессонница нервный тик
от избыточного употребления снотворного и амфетаминов.	избыточный употребление снотворный амфетамин
Его старший брат прожил только семь дней,	он старший брат прожить семь день
умерев за год до его рождения.	умереть год рождение
Классические философы	классический философ
обычно избегают автобиографий.	обычно избегать автобиография
Из-за того, что они считают это нескромным.	изз тот считать это нескромный
Т.е. философ не должен говорить о себе как об эмпирическом субъекте.	тот философ должный говорить эмпирический субъект
И эта бестактность, или эта тактичность	и этот бестактность этот тактичность
и есть сама философия, в принципе.	сам философия принцип
Если мы хотим порвать	если хотеть порвать
с этой философской аксиомой, классической философской аксиомой,	философский аксиома классический философский аксиома
согласно которой философу не следует представлять себя,	согласно который философ следовать представлять себя
или	
начинать автобиографию,	начинать автобиография
то нам придётся быть непорядочными в некоторой степени.	мы прийтись непорядочный некоторый степень
Мы не будем дальше рассматривать биографию философа	мы быть далёкий рассматривать биография философ
как набор эмпирических случайностей,	набор эмпирический случайность
живущих под одним именем,	жить один имя
и которые сами по себе не стоит предъявлять к философскому прочтению,	который сам стоить предъявлять философский прочтение
единственным видом чтения осталось философски легитимированное.	единственный вид чтение остаться философски легитимировать
Ни изучение философских систем,	ни изучение философский система
ни внешнее эмпирическое прочтение	внешний эмпирический прочтение
никогда само по себе не вопрошало о динамике	сам вопрошать динамика
той границы между трудами и жизнью,	тот граница труд жизнь
между системой и субъектом этой системы.	система субъект система
