cleaned_text	lemm_text
Результаты все еще случайны.	результат случайный
Я ввел “Даллас плюс Ковбои”.	я ввести “даллас плюс ковбои”
Уверен, что первый результат - это дурацкий фан-сайт NFL,	уверенный один результат это дурацкий фансайт nfl
но второй сайт?	два сайт
Да. Ну, может, Rover знает,	да ну мочь rover знать
что тебе наплевать на футбол?	ты наплевать футбол
Да, я забыл, что ты	да забыть
типичный американец, чью родословную можно проследить аж до Калифорнии.	типичный американец чей родословный проследить аж калифорния
Эй, один раз я ходил на матч.	эй ходить матч
Я лишь говорю, что у Rover проблемы с релевантностью.	я лишь говорить rover проблема релевантность
- Эй, саентология - это религия или культ? - Культ.	эй саентология это религия культ культ
В октябре они получили некоммерческий статус.	в октябрь получить некоммерческий статус
Неважно, я разберусь, куда его добавить.	неважно разобраться добавить
Эти результаты в лучшем случае посредственны.	этот результат хороший случай посредственный
Итоговая оценка “гениальной” поисковой системы Rover - тройка с минусом.	итоговый оценка “гениальной” поисковый система rover тройка минус
Двойка с минусом.	двойка минус
Это необходимо?	это необходимый
Звук нехороший.	звук нехороший
- Похоже, бензопровод… - Я разберусь!	похоже бензопровод… я разобраться
Ладно.	ладный
Не то, чтобы я в буквальном смысле вырос в автомастерской.	не то буквальный смысл вырасти автомастерская
Это пока дождь не закончится.	это пока дождь закончиться
Я своих мыслей не слышу.	я свой мысль слышать
Слушай, если они исправят проблему с релевантностью,	слушай исправить проблема релевантность
мы можем получить конкурента.	мочь получить конкурент
Знаешь, поищи…	знаешь поищи…
Это Rover?	это rover
Мы поставили им тройку с минусом.	мы поставить тройка минус
Так плохо?	так плохо
Ты правда не видела?	ты правда видеть
Нет, правда.	нет правда
Постой…	постой…
А, да. Понимаю, о чем вы.	а да понимать вы
Даже с процессором правил	даже процессор правило
результаты отстойные, поисковый робот слишком статичен.	результат отстойный поисковый робот слишком статичный
Однако, способ обработки заголовков довольно умный.	однако способ обработка заголовок довольно умный
- Ладно, спасибо… - Эй, я просто проверю HTML,	ладный спасибо… эй просто проверить html
это займет секунду.	это занять секунда
Да.	да
Алгоритм слишком тупой, чтобы знать,	алгоритм слишком тупой знать
что существуют эквивалентные синонимы для запрашиваемой фразы,	существовать эквивалентный синоним запрашивать фраза
или различные варианты написания.	различный вариант написание
Например, “цвет, c-o-l-o-r”,	например “цвета color”
а английское написание с “u”.	английский написание “u”
Все же, я поставлю им четверку с минусом.	весь же поставить четвёрка минус
Нет, твердая четверка за идею,	нет твёрдый четвёрка идея
но минус за плохое исполнение.	минус плохой исполнение
Вы сами спросили.	вы сам спросить
- Вообще-то, не спрашивали. - Нет, не спрашивали.	вообщеть спрашивать нет спрашивать
Никто из нас не спрашивал.	никто спрашивать
Их будет несложно обойти, понимаете?	они несложно обойти понимать
Вам просто нужно придумать	вы просто нужно придумать
более хитроумный алгоритм.	хитроумный алгоритм
Это не наш подход.	это наш подход
Людям нужен экспертный каталог,	человек нужный экспертный каталог
руководство по неорганизованному лабиринту сети…	руководство неорганизованный лабиринт сети…
а не куча безликой математики.	куча безликий математика
Во-первых, для меня математика - это очень личное.	вопервое математика это очень личный
- Конечно, я просто хотел сказать… - А во-вторых,	конечно просто хотеть сказать… а вовторое
эксперты - это хорошо, когда у вас 500 сайтов,	эксперт это хорошо 500 сайт
или 5000.	5000
Но что вы будете делать, когда их будет 5 миллионов?	но быть делать 5 миллион
Как вы тогда укажете людям верный путь?	как указать человек верный путь
Мы говорим, какой сайт самый лучший.	мы говорить сайт самый хороший
Вся компания построена на человеческом подходе.	весь компания построить человеческий подход
- Порно тревога. - Ага. Ага. Иду.	порно тревога ага ага идти
Следую протоколу компании	следовать протокол компания
- и отхожу от машины. - Иду. Иду.	отходить машина идти идти
- Ты злишься. - Нет.	ты злиться нет
- Нет. - Я не думал, что ты хочешь работать над этим,	нет я думать хотеть работать это
но если хочешь, тогда…	хотеть тогда…
- Не хочу. - Ладно.	не хотеть ладный
Я… я лишь говорю, что	я… лишь говорить
математика не может назвать качественное различие	математика назвать качественный различие
между хорошим и плохим.	хороший плохой
Компьютер не может сказать мне, чего я хочу.	компьютер сказать я хотеть
Пока не может.	пока мочь
Ладно.	ладный
У нас проблемы с функциональностью.	у проблема функциональность
Пользователи не получают ничего полезного в первых результатах,	пользователь получать полезный один результат
поэтому покидают сайт.	поэтому покидать сайт
Честно говоря, мы слишком рано запустились...	честно говорить слишком рано запуститься
У нас был крупный конкурент в лице Comet…	у крупный конкурент лицо comet…
Ладно, давайте постараемся не сводить все к Comet.	ладный давать постараться сводить comet
- На них свет клином не сошелся... - Вот именно.	на свет клин сойтись вот именно
Мы должны были показать свое присутствие.	мы должный показать свой присутствие
Comet - не конкурентоспособны…	comet конкурентоспособны…
- Что я только что сказала? - Простите.	что сказать простить
Похоже, мы были нетерпеливы.	похоже нетерпеливый
Нет. Нет. Нет, это хорошо, что мы в сети.	нет нет нет это хорошо сеть
Да.	да
Рост придет.	рост прийти
По мере использования алгоритм Rover улучшится.	по мера использование алгоритм rover улучшиться
Нам нужны были пользователи для отслеживания,	мы нужный пользователь отслеживание
данные помогут нам улучшить алгоритм.	дать помочь мы улучшить алгоритм
Мы должны оставаться конкурентоспособными…	мы должный оставаться конкурентоспособными…
Говорю тебе, у нас преимущество перед Comet...	говорить ты преимущество comet
- Прошу прощения. - Сайтами-каталогами.	просить прощение сайтамикаталог
Спасибо.	спасибо
Если бы только у нас была вера в нашу систему…	если вера наш систему…
У меня есть вера.	у вера
Поэтому я и запустил чертову штуку.	поэтому запустить чёртов штука
Сайт уже в сети,	сайт сеть
так что спорить о сроках бессмысленно.	спорить срок бессмысленно
Прошу, не приходите и не спорьте передо мной.	просить приходить спорить перед я
- У меня куча других забот. - Хорошо.	у куча другой забота хорошо
Как вы можете управлять эффективно,	как мочь управлять эффективно
если вы говорите на разных языках?	говорить разный язык
Соберитесь.	собраться
- Спасибо. - Понятно.	спасибо понятно
Сейчас поисковик - это захват земли.	сейчас поисковик это захват земля
И как только мы захватим всю землю,	и захватить земля
тогда сможем подумать о добавлении нового кода.	смочь подумать добавление новое код
Кэм права.	кэм право
Текущая модель не масштабируема.	текущий модель масштабировать
Мы втроем не поспеем за расширением.	мы втроём поспеть расширение
Но нам не новый код нужно добавлять.	но мы новый код нужно добавлять
- Людей нужно добавить. - Сколько?	человек нужно добавить сколько
В смысле, мы не можем платить всем вафлями Necco.	в смысл мочь платить весь вафля necco
Знаешь, нанять инженера - это одно…	знаешь нанять инженер это одно…
Какой раздел у нас самый сильный?	какой раздел самый сильный
- Наверное, комедии. - Именно.	наверное комедия именно
Хейли любит комедии,	хейль любить комедия
поэтому это наиболее тщательный, хорошо организованный раздел.	поэтому это наиболее тщательный организовать раздел
Ну, тогда нам нужны эксперты.	ну мы нужный эксперт
Знаешь, кто-то…	знаешь ктото…
кто помешан на…	помешанный на…
- Спорте. - ...спорте.	спорт спорт
Именно.	именно
Нам нужны еще Хейли.	мы нужный хейль
Проклятье!	проклятие
<i>Если бы вы жили здесь, то сейчас были бы дома.</i>	iести жить здесь домаi
"Переведено специально для сообщества ""Безудержный свун по Ли Пейсу"""	перевести специально сообщество безудержный свун ли пейс
Переводчики: Tanya852, isamat, неслучайный гость, seredez	переводчик tanya852 isamat неслучайный гость seredez
Технический перевод: isamat, Flex Ferrum.	технический перевод isamat flex ferrum
Коррекция: ularula.	коррекция ularula
http://leepaceswoon.diary.ru https://vk.com/leepaceswoon	httpleepaceswoondiaryru httpsvkcomleepaceswoon
Да, самое лучшее	да самый хороший
в докторской степени по библиотечному делу -	докторский степень библиотечный дело
это то, что я могу называть себя “библиокограф”.	это то мочь называть “библиокограф”
Значит вы были архиватором фотографий	значит архиватор фотография
в Чикагском институте искусств.	чикагский институт искусство
Звучит офигительно.	звучать офигительный
Звучит обморозительно, на самом деле,	звучать обморозительный самый дело
я выдержала там ровно одну зиму.	выдержать ровно один зима
Я калифорнийская девушка.	я калифорнийский девушка
Но не как у Дэвида Ли Рота.	но дэвид ли рота
Вы могли бы...	вы мочь бы
Вы могли бы привести пример своей методологии?	вы мочь привести пример свой методология
Например,	например
как вы организуете свои компакт-диски?	организовать свой компактдиск
Ну, мой…	ну мой…
мой брат обожает метал,	брат обожать метать
и я помогла ему разобраться с его коллекцией.	помочь разобраться коллекция
На одну полку я поставила все диски с дэт-метал,	на один полка поставить диск дэтметать
начиная с простых групп вроде Obituary и Cannibal Corpse	начинать простой группа вроде obituary cannibal corpse
слева,	слева
до мелодичного и техничного дэт-метала в середине,	мелодичный техничный дэтметать середина
далее блэк-дэт-метал	далее блэкдэтметать
и дэтграйнд и кроссовер,	дэтграйнд кроссовер
а в конце я поставила индастриал-метал,	конец поставить индастриалметать
фолк-метал и типа-дэт-метал.	фолкметать типадэтметать
А затем следующая полка для блэк-метал,	а затем следующий полка блэкметать
со всеми норвежскими музыкантами,	весь норвежский музыкант
вроде Mayhem и Burzum,	вроде mayhem burzum
христианский блэк-метал,	христианский блэкметать
а затем “не совсем блэк-метал, но вроде подходит”,	затем “не блэкметать вроде подходит”
вроде Cradle of Filth.	вроде cradle of filth
И… Вы...	и… вы
Вы хотите, чтобы я продолжала?	вы хотеть продолжать
Есть Raunchy Power…	есть raunchy power…
- Нет, все прекрасно. - Raunchy Power?	нет прекрасно raunchy power
Большинство людей расставляют просто по алфавиту.	большинство человек расставлять просто алфавит
Вы уверены, что это коллекция вашего брата?	вы уверить это коллекция ваш брат
Хорошо, последний вопрос…	хорошо последний вопрос…
Как бы вы категоризировали сайт о “barks”?	как категоризировать сайт “barks”
Зависит от того, о чем речь - о собачьем лае, древесной коре,	зависеть тот речь собачий лай древесный кора
пиве… пиво Barq’s через “q”...	пиве… пиво barq’s “q”
или о лодке.	лодка
Постойте. “Bark” - это лодка?	постоять “bark” это лодка
Технически, это парусник	технически это парусник
с тремя и более мачтами.	три мачта
Мы даже не знаем ответа на собственный хитрый вопрос.	мы знать ответ собственный хитрый вопрос
Доктор Кэти Герман, вы официально приняты	доктор кэти герман официально принять
на должность главного онтолога Comet.	должность главный онтолог comet
Прекрасно.	прекрасно
Давайте представим вас помешанным.	давать представимый помешанный
Или как мы любим их называть...	или любим называть
серферам.	серфер
Каждый день мы получаем сотни писем от людей,	каждый день получать сотня письмо человек
просящих нас добавить их сайты в наш каталог.	просить добавить сайт наш каталог
К тому же, мы постоянно отслеживаем	к тот же постоянно отслеживать
новые сайты для каталогизации.	новое сайт каталогизация
Когда веб-сёрфер находит сайт, он классифицирует его	когда вебсёрфер находить сайт классифицировать
и добавляет в основной список Comet.	добавлять основной список comet
Каждая группа отвечает за расширение каталога	каждый группа отвечать расширение каталог
и описание	описание
первых пяти сайтов в каждой категории.	один пять сайт каждый категория
Да, но проблема в том,	да проблема тот
что мы начали с пяти главных тем.	начать пять главный тем
С появлением новых сайтов,	с появление новый сайт
расставлять их по категориям становится все сложнее и сложнее.	расставлять категория становиться сложный сложный
- Да, для этого существует онтологический термин. - Да… “херова туча”.	да существовать онтологический термин да… “херов туча”
Хорошо, начнем с “Развлечений”.	хорошо начать “развлечений”
Это Реджи из Le Video…	это реджи le video…
Привет.	привет
Он впечатлил Джо	он впечатлить джо
своими обширными познаниями во французской “новой волне”,	свой обширный познание французский “новый волне”
- а также каноном Джона Кэнди. - Да.	также канон джон кэнди да
Вы знали, что он играл Клиффа Мердока -	вы знать играть клифф мердок
- диктора в “Новичок года”, не будучи указанным в титрах? - Правда?	диктор “новичок года” быть указанный титр правда
Да.	да
- Потрясающе. - Очень круто, Реджи. - Берегите себя, хорошо?	потрясающе очень круто реджи беречь себя хорошо
- Видите, энтузиазм питает их. - Да.	видеть энтузиазм питать они да
А это Лорейн и По,	а это лорейн по
из Tower Records и City Lights, соответственно.	tower records city lights соответственно
- Эй, привет. - Привет.	эй привет привет
Эй, а где ваш комедийный фанат?	эй ваш комедийный фанат
- Этот раздел крут. - Хороший выбор.	этот раздел крутой хороший выбор
На самом деле это моя дочь Хейли,	на самый дело это дочь хейль
она член команды.	член команда
Когда не в школе.	когда школа
- А здесь региональные. - Хорошо.	а региональный хорошо
Нужна рекомендация по ресторанам?	нужный рекомендация ресторан
Вам к этим парням.	вы это парень
Не только к парням.	не парень
О, Риса. Мы познакомились в автобусе.	о рис мы познакомиться автобус
Она запустила рейтинг ресторанов,	она запустить рейтинг ресторан
рядом с которым Zagat нервно курит.	ряд который zagat нервно курить
К вашему сведению, у Zagat новый сайт,	к ваш сведение zagat новый сайт
но команда “Бизнес” перехватила его у нас…	команда “бизнес” перехватить нас…
Zagat - крупный бизнес,	zagat крупный бизнес
это международный уровень, а не региональный.	это международный уровень региональный
Это Маки из фитнес-клуба Gold’s Gym.	это маки фитнесклуб gold’s gym
Не поверите, но у этого парня - степень по экономике управления.	не поверить парень степень экономика управление
Маркетинговый босс.	маркетинговый босс
Я подсказал Gold’s запустить веб-сайт…	я подсказать gold’s запустить вебсайт…
И когда они наконец это сделали…	и это сделали…
мы перехватили его у региональных.	перехватить региональный
- Парни. - Ты можешь поставить перекрестную ссылку.	парень ты мочь поставить перекрёстный ссылка
Да. Сделайте это. Итак, вы видите наше затруднительное положение.	да сделать это итак видеть наш затруднительный положение
- Да. - Бизнес, спорт…	да бизнес спорт…
- Я с вами. - Это наш главный кодер. Тед.	я вы это наш главный кодер тед
Он заправляет всем сайтом.	он заправлять весь сайт
Простите, что прерываю,	простить прерывать
