cleaned_text	lemm_text
При всем уважении, госпожа мэр, ваших мер безопасности недостаточно.	при весь уважение госпожа мэр ваш мера безопасность недостаточно
Я не согласна, ведь повсюду снуют люди в форме.	я согласный повсюду сновать человек форма
На трибуне нет пуленепробиваемого щита, на крышах - антиснайперских команд	на трибуна пуленепробиваемый щит крыша антиснайперский команда
и проход в окружающие здания не ограничен! Все это было в моем плане организации охраны!	проход окружающий здание ограниченный весь это мыть план организация охрана
Офис Сподвижников в Вашингтоне одобрил ваше назначение.	офис сподвижник вашингтон одобрить ваш назначение
Несомненно, они уверены в вас.	несомненно уверить вы
Видимо не настолько, чтобы выполнить все мои требования.	видимо настолько выполнить мой требование
Они хотя бы ознакомились с моим планом охраны?	они хотя ознакомиться мой план охрана
В него внесли некоторые изменения.	в внести некоторый изменение
Да? И кто утвердил эти изменения?	да и утвердить изменение
Я.	я
Рональд Сандовал, ФБР,	рональд сандовал фбр
представитель Американского Сподвижника.	представитель американский сподвижник
Мэру даны строгие указания относительно численности команды охраны и ее действий.	мэр дать строгий указание относительно численность команда охрана действие
Зачем утверждать меня для этой операции, если вы сомневаетесь в моей квалификации?	зачем утверждать операция сомневаться мой квалификация
Я понимаю ваше беспокойство.	я понимать ваш беспокойство
Безопасности Сподвижников никогда ничто не угрожало,	безопасность сподвижник ничто угрожать
и Да'ан считает, что дополнительные предосторожности излишни.	даана считать дополнительный предосторожность излишний
Кому повредят дополнительные меры безопасности?	кома повредить дополнительный мера безопасность
Это личное распоряжение Да'ана.	это личный распоряжение даана
Oн не хочет создавать барьера между собой и зрителями.	oн хотеть создавать барьер себя зритель
Он?	он
"""Он"", ""она"" -"	он она
ни то, ни другое на самом деле не применимо.	то другой самый дело применимый
Это для простоты обращения.	это простота обращение
А...	а
Прекрасно. Можете сказать ЕМУ,	прекрасно мочь сказать он
что в следующий раз, когда потребуется координировать меры безопасности,	следующий раз потребоваться координировать мера безопасность
ко мне обращаться не надо!	к обращаться надо
Вы сможете сказать это лично.	вы смочь сказать это лично
Он хочет встретиться с вами после выступления.	он хотеть встретиться вы выступление
Что это такое?	что это такой
Сподвижник скоро прибудет.	сподвижник скоро прибыть
В чем дело?	в дело
В трех буквах. ФБР.	в три буква фбр
Надо же, какая толпа!	надо же толпа
Да.	да
Знаменательный день, о котором потом будут рассказывать детям.	знаменательный день который быть рассказывать ребёнок
15000 миль - за четыре минуты!	15000 миля четыре минута
И ни секундой позже!	и секунда поздний
<i>Они прибыли три года назад</i>	iонить прибыть год назадi
<i>навсегда изменив будущее человечества...</i>	iнавсегда изменить будущее человечестваi
<b>ЗЕМЛЯ: ПОСЛЕДНИЙ КОНФЛИКТ</b>	bземля последний конфликтb
Перевод с английского - Xandra © 2005	перевод английский xandra © 2005
Синхронизация - Хаndra, Lea © 2005, редактор - Loriel © 2006	синхронизация хаndra lea © 2005 редактор loriel © 2006
"http://efc.ucoz.ru Команда ""Прибежище Тейлонов"" Team ""Taelon Sanctuary"""	httpefcucozru команда прибежище тейлоновый team taelon sanctuary
"Субтитры к сериалу ""Земля: последний конфликт"" - частный любительский проект."	субтитр сериал земля последний конфликт частный любительский проект
Любое коммерческое использование, а также распространение субтитров без ведома авторов КАТЕГОРИЧЕСКИ ЗАПРЕЩАЕТСЯ.	любой коммерческий использование также распространение субтитр ведомо автор категорически запрещаться
"<b>1 сезон, 1 серия ""РЕШЕНИЕ""</b>"	b1 сезон 1 серия решениеb
Ладно, Боб.	ладный боб
За работу.	за работа
Хорошо.	хорошо
Не спускать глаз с толпы, ясно?	не спускать глаз толпа ясно
Рад видеть вас снова, капитан.	рад видеть снова капитан
Рада встрече, сэр.	рада встреча сэр
Да'ан!	даана
Шинауи Юхура!	шинауи юхур
Я приветствую вас на моем родном языке.	я приветствовать мыть родной язык
Еще в дни моей юности,	ещё день мой юность
глядя вдаль, на звезды в глубинах космоса,	глядеть вдаль звезда глубина космос
я мечтал о том, что когда-нибудь достигну далекого и прекрасного мира.	мечтать тот когданибудь достигнуть далёкий прекрасный мир
И я счастлив видеть, что обитатели этого мира столь приветливы	и счастливый видеть обитатель мир столь приветливый
и гостеприимны.	гостеприимный
Прибыв на Землю,	прибыть земля
мы поняли и разделили боль тех из вас, кто страдал от голода.	понять разделить боль тот вы страдать голод
Ваши фермеры применили достижения тейлонской науки,	ваш фермер применить достижение тейлонской наука
и теперь ни один ребенок на Земле не ложится спать голодным.	ребёнок земля ложиться спать голодный
С помощью тейлонских технологий вашим медикам	с помощь тейлонской технология ваш медик
удалось победить многие человеческие заболевания.	удаться победить многие человеческий заболевание
На твоем участке ничего не происходит?	на твой участок происходить
Ничего.	ничто
Никогда не видел столько счастливых людей.	никогда видеть столько счастливый человек
Естественной реакцией на прибытие тейлонов были бы страх и недоверие.	естественный реакция прибытие тейлоновый страх недоверие
Но уже в первые мгновения нашего присутствия	но один мгновение наш присутствие
вы встретили нас с распростертыми объятиями,	встретить распростереть объятие
согрев теплом своих сердец.	согрев тепло свой сердце
Мы желаем дальнейшего развития сотрудничества	мы желать дальнейший развитие сотрудничество
между учеными Земли и Тейлона.	учёный земля тейлоно
Вместе с нашим другом, Джонатаном Дорсом,	вместе наш друг джонатан дорсом
мы объединим усилия, чтобы помочь человечеству войти в новую эру.	объединить усилие помочь человечество войти новый эра
Почти конец, я иду к трибуне.	почти конец идти трибуна
Ясно.	ясно
Сегодня я с гордостью объявляю	сегодня гордость объявлять
о создании совместного предприятия	создание совместный предприятие
компании Дорс Интернэшнл и Тейлонского Синода.	компания дорс интернэшнл тейлонской синод
Объединив усилия,	объединить усилие
мы создадим системы и технологии,	создать система технология
которые помогут нашей стране, нашему миру	который помочь наш страна наш мир
войти в новую эпоху, в золотую эру.	войти новый эпоха золотой эра
Тейлонский Синод надеется,	тейлонский синод надеяться
что результатом этого союза станет создание форума,	результат союз стать создание форум
где человеческое сознание сможет овладеть тейлонскими концепциями,	человеческий сознание смочь овладеть тейлонской концепция
чтобы улучшить ваш мир.	улучшить ваш мир
Ложись!	ложиться
Там!	там
За мной!	за я
Туда!	туда
Вы ранены?	вы раненый
Думаю, нет.	думать нет
Срочно вызвать команду медиков!	срочно вызвать команда медик
Наш врач прибудет через две минуты.	наш врач прибыть два минута
Мне нужен этот террорист!	я нужный террорист
Мне - тоже!	я тоже
- Здесь! - Ясно!	здесь ясно
По лестнице, в вестибюль, оцепить здание!	по лестница вестибюль оцепить здание
Ни с места! Полиция!	ни место полиция
Эдди?	эдди
Эдди! Стой!	эдди стоять
Эдди!	эдди
Эдди!	эдди
Адреналин!	адреналин
В трех кварталах отсюда медицинский центр...	в три квартал отсюда медицинский центр
Он умрет при перевозке.	он умереть перевозка
Не действует.	не действовать
Дефибриллятор!	дефибриллятор
Разряд!	разряд
Увеличить!	увеличить
Разряд!	разряд
Еще увеличить!	ещё увеличить
Разряд!	разряд
Он мертв.	он мёртвый
У меня нет слов...	у слово
Уилл, посмотри-ка на это!	уилла посмотрик это
После такого залпа	после такой залп
террорист должен быть мертв.	террорист должный мёртвый
Может, если тут разгрести, мы его обнаружим.	мочь разгрести обнаружить
Ребята!	ребята
Да, сэр?	да сэр
Убийца промахнулся.	убийца промахнуться
Это наверняка вывело его из себя, и он мог допустить ошибку.	это наверняка вывести себя мочь допустить ошибка
Ищите улики.	искать улика
Я понятия не имею о страховке, ее сократили. Я перезвоню.	я понятие иметь страховка сократить я перезвонить
Есть хорошие новости?	есть хороший новость
А как же. На бластере - ничего,	а же на бластер ничто
есть следы пота на креплении.	след пот крепление
Криминалисты обещали выделить ДНК, но шансов мало.	криминалист обещать выделить днк шанс мало
Пройдись со мной.	пройтись я
Позвони в отдел исследований,	позвонить отдел исследование
пусть найдут все статьи с критикой тейлонов за последние два года.	пусть найти статья критика тейлоновый последний год
Может, мы выйдем на кого-нибудь из местных. - Хорошо.	мочь выйти когонибудь местный хорошо
И еще, Боб,	и ещё боб
послушай.	послушать
Когда найдете террориста, сразу же извести меня.	когда найти террорист сразу известь я
Объясни это каждому участнику твоей группы, хорошо? - Ясно.	объяснить это каждый участник твой группа хорошо ясно
Я хочу с ним поговорить	я хотеть поговорить
с глазу на глаз,	глаз глаз
еще до того, как станет известно, что он захвачен.	тот стать известно захватить
Договорились. Я все устрою.	договориться я устроить
Моровски! - Что?	моровск что
А, меня к телефону.	а телефон
Это Моровски, слушаю...	это моровск слушать
Что? Да, он здесь...	что да здесь
- Уилл! - Что?	уилла что
Тебя ждут в федеральном управлении.	ты ждать федеральный управление
Кто?	кто
Да'ан.	даана
Сюда...	сюда
Спасибо.	спасибо
Я приветствую вас, с почтением	я приветствовать вы почтение
и благодарностью, Уильям Бун.	благодарность уильям буна
Спасибо.	спасибо
Только, боюсь, Джонатан Дорс вашей благодарности не разделяет.	только бояться джонатан дорс ваш благодарность разделять
Я лишь хотел соприкоснуться с вашей расой.	я лишь хотеть соприкоснуться ваш раса
Теперь мне известно гораздо больше об опасностях вашего мира.	теперь известно гораздо опасность ваш мир
За ваш опыт заплачено человеческой жизнью.	за ваш опыт заплатить человеческий жизнь
Для развития сотрудничества между нашими расами	для развитие сотрудничество наш раса
необходимы личности с творческим мышлением,	необходимый личность творческий мышление
убежденные, что этот союз принесет процветание.	убедить союз принести процветание
И я верю, что вы,	и верить вы
Уильям Бун,	уильям буна
можете стать одним из таких людей.	мочь стать один такой человек
Мы предлагаем вам возможность повлиять на будущее человечества.	мы предлагать возможность повлиять будущее человечество
Благодарю. Но...	благодарить но
боюсь, мне придется отклонить ваше предложение.	бояться прийтись отклонить ваш предложение
Позвольте спросить, почему?	позволить спросить почему
Мы с женой счастливы здесь.	мы жена счастливый здесь
Мы собираемся завести детей.	мы собираться завести ребёнок
И в данный момент это для меня - главное.	и данный момент это главный
Сейчас неподходящее время для перемен.	сейчас неподходящий время перемена
Мы можем всё обсудить и создать вам условия...	мы мочь весь обсудить создать условие
Послушайте,	послушать
мне не нравятся ваши методы.	нравиться ваш метод
Когда мне дается задание, я выполняю его, как считаю нужным.	когда даваться задание выполнять он считать нужный
Вы же действуете иначе, в чем я убедился сегодня.	вы действовать иначе убедиться сегодня
Возможно, я неясно выразился,	возможно неясно выразиться
вы...	вы
...человек с принципами!	человек принцип
Я сожалею о вашем решении, но уважаю вас за прямоту.	я сожалеть ваш решение уважать прямота
Я надеюсь, в будущем у вас появится возможность	я надеяться будущее появиться возможность
передумать.	передумать
Что произошло?	что произойти
Он понял, как я планировал отход.	он понять планировать отход
Я предупреждал: устраивать покушение на территории под охраной Буна - большая ошибка.	я предупреждать устраивать покушение территория охрана буна большой ошибка
Это уже неважно.	это неважно
Он все вычислит и выйдет на тебя. Это вопрос времени.	он вычислить выйти ты это вопрос время
И что теперь?	и теперь
Сегодня Да'ан и Сандовал пытались его завербовать.	сегодня даана сандовал пытаться завербовать
Мне кажется, он нам подходит.	я кажется мы подходить
Не знаю.	не знать
Эдди, ты его друг,	эдди друг
он тебе доверяет.	ты доверять
Кроме того, ты ведь знаешь, какова альтернатива.	кроме тот знаешь каков альтернатива
Я был его шафером, черт возьми!	я шафер черта взять
Я этого не сделаю!	я сделать
А это и не потребуется.	а это потребоваться
Капитан Бун, ваша жена здесь.	капитан буна ваш жена здесь
Спасибо.	спасибо
Как у тебя дела?	как дело
Нормально.	нормальный
Точно нормально?	точно нормальный
Эдди убил Джонатана Дорса.	эдди убить джонатан дорса
ЧТО?!!	что
Я обходил здание, а он спускался по стене, на каком-то проволочном креплении.	я обходить здание спускаться стена какомтый проволочный крепление
Это невозможно!	это невозможно
Тем не менее, так оно и было. Мы смотрели друг другу в глаза. Я только что с обыска, от него. Он не вернется.	тем менее оно быть мы смотреть друг друг глаз я обыск он он вернуться
Но Эдди - не убийца, Уилл!	но эдди убийца уилла
И какие у него могли быть причины для убийства Да'ана?	и какой мочь причина убийство даана
Не знаю.	не знать
Кстати, сегодня Да'ан предложил мне работу.	кстати сегодня даана предложить работа
Может, Эдди знал об этом.	мочь эдди знать это
Погоди! Сподвижники предложили тебе работу?	погодить сподвижник предложить ты работа
Да.	да
Но я отказался.	но отказаться
Даже не обсудив этого со мной?	даже обсудить я
Я сказал им, что мы планируем завести ребенка и переезд в наши планы не входит.	я сказать имя планировать завести ребёнок переезд наш план входить
Мы можем завести детей когда и где угодно, если уж на то пошло!	мы мочь завести ребёнок угодный пошло
Неправда.	неправда
Я не понимаю, что ты имеешь против Сподвижников.	я понимать иметь против сподвижник
Боже, Уилл, они же уничтожили голод на Земле!	бог уилла уничтожить голод земля
А сколько болезней помогли искоренить!	а сколько болезнь помочь искоренить
Я говорил тебе, Кейти, что никогда и никому не верю, если мне непонятны побуждения.	я говорить ты кейти никто верить непонятный побуждение
Я понимаю.	я понимать
И всегда все упирается именно в это...	и упираться именно это
Почему ты не можешь просто ВЕРИТЬ?	почему мочь просто верить
Я должен продолжить розыски Эдди. У меня на руках улики...	я должный продолжить розыск эдди у рука улика
Пожалуйста... не уходи в таком настроении.	пожалуйста уходить такой настроение
Я думаю, ты - самый упрямый человек из всех, кого я знаю.	я думать самый упрямый человек весь кто знать
Но...	но
Я никогда не встречала никого с таким чувством справедливости, как у тебя.	я встречать никто такой чувство справедливость ты
Можешь быть уверен.	мочь уверенный
КЕЙТЛИН БАРРЕТТ БУН МОЯ ЛЮБИМАЯ ЖЕНА	кейтлина барретта буна мой любимый жена
<i>С искренними соболезнованиями...</i>	iс искренний соболезнованиямиi
<i>Примите соболезнования...</i>	iпринять соболезнованияi
"<i><b>""НЕ ТОРОПИСЬ С ВЫВОДАМИ!""</b></i>"	ibн торопиться с выводамиbi
<i><b>ЭДДИ.</b></i>	ibэддиbi
Капитан Бун!	капитан буна
Да?	да
Вас хочет видеть мэр Руис.	вы хотеть видеть мэр руис
Да, пусть войдет.	да пусть войти
Я оставлю вам эти бумаги на подпись... - Да, конечно.	я оставить бумага подпись да конечно
Это не займет много времени?.. - Разумеется.	это занять время разумеется
Госпожа мэр,	госпожа мэр
Как вы держитесь, Уилл?	как держаться уилла
Иногда держусь, иногда... как получается...	иногда держаться иногда получаться
Я понимаю...	я понимать
- Присаживайтесь. - Нет, спасибо.	присаживаться нет спасибо
Вчера мне позвонили.	вчера позвонить
Оказывается, Да'ан приглашал вас на службу к Сподвижникам.	оказываться даана приглашать служба сподвижник
Да, и я отказался.	да отказаться
Я в курсе.	я курс
Губернатор - личный друг президента Томпсона.	губернатор личный друг президент томпсон
Думаю, Томпсон позвонил ему, и теперь губернатор требует, чтобы вы изменили свое решение.	думать томпсон позвонить он губернатор требовать изменить свой решение
Это имеет для них такое значение?	это иметь такой значение
Похоже, да.	похоже да
Я не хочу терять вас, Уилл, но вы нужны чрезвычайно важным персонам.	я хотеть терять вы уилла нужный чрезвычайно важный персона
Вам следует их выслушать.	вы следовать выслушать
Знаете, это даже смешно. Кейт сказала то же самое.	знаете это смешно кейт сказать самый
Когда они хотят меня видеть?	когда хотеть видеть
Вообще-то, если вы согласны, они уже прислали за вами пилота.	вообщеть согласный прислать вы пилот
Капитан Лили Маркетт.	капитан лить маркетта
Сколько времени занимает подготовка пилота гиперпространственного шаттла?	сколько время занимать подготовка пилот гиперпространственный шаттл
Я помогала создавать программу подготовки.	я помогать создавать программа подготовка
И панель управления, которую вы увидите, как только мы взлетим. Садитесь.	и панель управление который увидеть взлететь садиться
Спасибо.	спасибо
Потрясающе.	потрясающе
Входим в гиперпространство. Думаю, вам понравится.	входить гиперпространство думать понравиться
Странное ощущение.	странный ощущение
С такой легкостью...	с лёгкость
Выходим из гиперпространства.	выходить гиперпространство
Жду вашего возвращения.	ждать ваш возвращение
Приветствую вас, Уильям Бун.	приветствовать вы уильям буна
Приветствую вас, Да'ан.	приветствовать вы даана
Это...	это
это невероятно.	это невероятно
Я рад, что вам здесь нравится.	я рад нравиться
Примите мои соболезнования.	принять мой соболезнование
Вы чувствуете скорбь, как мы?	вы чувствовать скорбь мы
Тейлоны	тейлона
не страшатся естественного перехода на следующий уровень бытия.	страшиться естественный переход следующий уровень бытие
Но, изучая человечество,	но изучать человечество
я приблизился к пониманию ваших страданий.	приблизиться понимание ваш страдание
Я по-прежнему сомневаюсь.	я попрежний сомневаться
И пришел сюда выслушать вас	и прийти сюда выслушать
лишь потому, что моя жена этого хотела бы.	лишь потому жена хотеть бы
Я уважаю мудрость вашей жены.	я уважать мудрость ваш жена
Прошу, скажите, что вас беспокоит.	просить сказать беспокоить
Хорошо.	хорошо
Самое главное:	самый главный
почему тейлоны пришли на Землю?	почему тейлона прислать земля
Ваша планета находится на эволюционном перепутье.	ваш планет находиться эволюционный перепутье
Для человечества настал критический момент, вы должны переступить черту, сделать шаг в неопределенное будущее.	для человечество настать критический момент должный переступить черта сделать шаг неопределённый будущее
Тейлонская раса развивается по-другому.	тейлонской раса развиваться подругий
Присутствие на Земле дает нам знания об испытаниях, предстоящих тейлонам на эволюционном пути.	присутствие земля давать мы знание испытание предстоящий тейлоно эволюционный путь
Относительно работы. Что она из себя представляет?	относительно работа что представлять
Вы будете главой Службы Безопасности	вы быть главый служба безопасность
и отношений между нашими расами. Станете представлять интересы Сподвижников.	отношение наш раса стать представлять интерес сподвижник
Я считаю, для тейлонского Синода это будет достойным альянсом.	я считать тейлонской синод это достойный альянс
Есть еще дополнительный стимул.	есть дополнительный стимул
Сподвижники имплантировали в мой мозг кибервирус, CVI.	сподвижник имплантировать мозг кибервирус cvi
Это частично компьютерный чип, а частично тейлонский вирус.	это частично компьютерный чип частично тейлонский вирус
Вы позволили им ввести что-то вам в мозг?	вы позволить ввести чтоть мозг
Большинство людей используют только 30% своего мозга.	большинство человек использовать 30 свой мозг
Значит, это увеличивает интеллектуальный потенциал и способность восстанавливать события по памяти?	значит это увеличивать интеллектуальный потенциал способность восстанавливать событие память
Он дает БОЛЬШЕ, чем просто фотографическую память.	он давать большой просто фотографический память
Вы оказываетесь ВНУТРИ своих воспоминаний.	вы оказываться внутри свой воспоминание
Ваша жена всегда будет с вами, Бун.	ваш жена вы буна
<i>Всегда.</i>	iвсегдаi
Я серьезно обдумаю ваше предложение, Да'ан.	я серьёзно обдумать ваш предложение даана
Мы будем ожидать вашего ответа...	мы быть ожидать ваш ответ
с надеждой.	надежда
Смерть жены мотивировала Буна сделать следующий шаг в персональной эволюции.	смерть жена мотивировать буна сделать следующий шаг персональный эволюция
Какая горькая ирония.	какой горький ирония
Вам предстоит еще одна встреча.	вы предстоять один встреча
Сандовал не упоминал ни о каких других встречах.	сандовал упоминать какой другой встреча
Один мой друг всегда советует НЕ СПЕШИТЬ С ВЫВОДАМИ.	один друг советовать не спешить с вывод
Это все, что я могу сказать.	это весь мочь сказать
Пойдемте со мной, если хотите.	пойти я хотеть
Решать вам.	решать вы
Я иду с вами.	я идти вы
Что будете пить?	что быть пить
В другой раз.	в раз
Они скоро будут.	они скоро быть
Мне так жаль... Кейт...	я жаль кейт
С каких пор ты стал профессиональным убийцей, Эдди?	с какой пора стать профессиональный убийца эдди
Поверь мне, это не то, что ты думаешь.	поверь я это то думать
Эдди, того, что ты сказал, недостаточно!	эдди тот сказать недостаточно
А ЭТОГО вам достаточно, мистер Бун?	а это достаточно мистер буна
Я рад, что вы не погибли во время моего дежурства.	я рад погибнуть время мой дежурство
Или его исцелило ваше чудодейственное вмешательство, доктор?	или исцелить ваш чудодейственный вмешательство доктор
Инсценировать мою смерть было непросто.	инсценировать мой смерть непросто
Так же, как и отказаться от 32 миллиардов долларов.	так же отказаться 32 миллиард доллар
Так почему вы это сделали?	так почему это сделать
Ответ прост:	ответ простой
я хочу узнать, зачем Сподвижники здесь.	хотеть узнать сподвижник здесь
И, если вас будут считать умершим, это облегчит вам задачу, так?	и быть считать умерший это облегчить задача так
Вот именно.	вот именно
Я был слишком заметен.	я слишком заметный
Мне нужно было получить возможность действовать свободно.	я нужно получить возможность действовать свободно
Уилл, я предан этому движению.	уилла предать это движение
Как и все остальные здесь присутствующие.	как остальной присутствующий
И я знаю: у тебя тоже есть подозрения относительно Сподвижников.	и знать подозрение относительно сподвижник
Никто больше не задается вопросами.	никто задаваться вопрос
Мы превратились в овец,	мы превратиться овца
а пастухам я не доверяю.	пастух доверять
Когда вы узнали Эда, нам пришлось торопиться.	когда узнать эда мы прийтись торопиться
Необходимо действовать уже сейчас.	необходимый действовать сейчас
А мне не нужно спешить. Да, у меня есть вопросы, и я найду ответы. Сам.	а нужно спешить да вопрос найти ответ сам
Тогда начните с вопроса о вашей жене.	тогда начать вопрос ваш жена
Что вы хотите сказать?	что хотеть сказать
Кейт убили Сподвижники.	кейт убить сподвижник
Ты отказался на них работать,	ты отказаться работать
и в тот же вечер Кейт была убита.	вечер кейт убитый
А через два дня они опять вызывают тебя.	а день вызывать ты
Хочешь с ними рассчитаться - присоединяйся к нам.	хотеть они рассчитаться присоединяться мы
Я слушаю.	я слушать
Уверена, что Да'ан не рассказал вам всей правды о киберимплантах.	уверить даана рассказать весь правда киберимплант
Да, они усиливают мозговые функции.	да усиливать мозговой функция
Однако,	однако
они также изменяют вашу систему ценностей.	также изменять ваш система ценность
В пользу Сподвижников.	в польза сподвижник
Так, что ваши приоритеты меняются.	так ваш приоритет меняться
И первым из них становятся интересы Сподвижников.	и один становиться интерес сподвижник
Я модифицировала один из кибервирусов, и убрала этот императив.	я модифицировать кибервирус убрать императив
Сподвижники не будут об этом знать,	сподвижник быть знать
а вы будете находиться среди них.	быть находиться среди они
Проблема в том,	проблема тот
что мы не можем протестировать модифицированный имплант.	мочь протестировать модифицированный имплант
Гарантии, что он будет работать, нет.	гарантия работать нет
Значит, я могу стать таким, как Сандовал?	значит мочь стать такой сандовал
Кейт была не единственной жертвой.	кейт единственный жертва
И не будет последней.	и последний
Это твой шанс помочь множеству людей.	это твой шанс помочь множество человек
У меня два условия:	у условие
Какие?	какой
Убийца Кейт - мой.	убийца кейт мой
Что еще?	что ещё
Если я стану НАСТОЯЩИМ имплантированным,	если стать настоящее имплантированный
обещайте,	обещать
